year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP
clim_down;max;2030;2.6,4064,-18991,clim_down,max,2030,2.6
clim_down;max;2030;4.5,4760,-21738,clim_down,max,2030,4.5
clim_down;max;2030;6,1934,-22286,clim_down,max,2030,6
clim_down;max;2030;8.5,5817,-25193,clim_down,max,2030,8.5
clim_down;max;2050;2.6,1911,-23460,clim_down,max,2050,2.6
clim_down;max;2050;4.5,1541,-22170,clim_down,max,2050,4.5
clim_down;max;2050;8.5,13393,-11091,clim_down,max,2050,8.5
clim_down;max;2070;2.6,1651,-19439,clim_down,max,2070,2.6
clim_down;max;2070;4.5,1100,-29333,clim_down,max,2070,4.5
clim_down;max;2070;8.5,3921,-41446,clim_down,max,2070,8.5
clim_down;max;2080;2.6,665,-16670,clim_down,max,2080,2.6
clim_down;max;2080;4.5,860,-30515,clim_down,max,2080,4.5
clim_down;max;2080;8.5,6009,-38603,clim_down,max,2080,8.5
clim_down;mean;2030;2.6,21580,-23352,clim_down,mean,2030,2.6
clim_down;mean;2030;4.5,23824,-26746,clim_down,mean,2030,4.5
clim_down;mean;2030;6,12580,-33641,clim_down,mean,2030,6
clim_down;mean;2030;8.5,34372,-22782,clim_down,mean,2030,8.5
clim_down;mean;2050;2.6,15750,-32044,clim_down,mean,2050,2.6
clim_down;mean;2050;4.5,13598,-31575,clim_down,mean,2050,4.5
clim_down;mean;2050;6,349,-51099,clim_down,mean,2050,6
clim_down;mean;2050;8.5,31838,-11149,clim_down,mean,2050,8.5
clim_down;mean;2070;2.6,15484,-24364,clim_down,mean,2070,2.6
clim_down;mean;2070;4.5,9366,-44881,clim_down,mean,2070,4.5
clim_down;mean;2070;6,154,-48653,clim_down,mean,2070,6
clim_down;mean;2070;8.5,31181,-49109,clim_down,mean,2070,8.5
clim_down;mean;2080;2.6,9510,-26425,clim_down,mean,2080,2.6
clim_down;mean;2080;4.5,7052,-46865,clim_down,mean,2080,4.5
clim_down;mean;2080;6,12,-66640,clim_down,mean,2080,6
clim_down;mean;2080;8.5,31180,-41324,clim_down,mean,2080,8.5
clim_down;min;2030;2.6,44919,-19507,clim_down,min,2030,2.6
clim_down;min;2030;4.5,53256,-17589,clim_down,min,2030,4.5
clim_down;min;2030;6,28973,-35727,clim_down,min,2030,6
clim_down;min;2030;8.5,58585,-19882,clim_down,min,2030,8.5
clim_down;min;2050;2.6,40262,-27740,clim_down,min,2050,2.6
clim_down;min;2050;4.5,39998,-25102,clim_down,min,2050,4.5
clim_down;min;2050;6,10280,-61897,clim_down,min,2050,6
clim_down;min;2050;8.5,51257,-9082,clim_down,min,2050,8.5
clim_down;min;2070;2.6,36001,-22439,clim_down,min,2070,2.6
clim_down;min;2070;4.5,42289,-33006,clim_down,min,2070,4.5
clim_down;min;2070;6,9517,-59320,clim_down,min,2070,6
clim_down;min;2070;8.5,73118,-33647,clim_down,min,2070,8.5
