year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,415123,-15449,clim_down,max,2030,2.6,whitewater arroyo
clim_down;max;2030;4.5,380123,-11838,clim_down,max,2030,4.5,whitewater arroyo
clim_down;max;2030;6,296864,-18075,clim_down,max,2030,6,whitewater arroyo
clim_down;max;2030;8.5,386283,-14014,clim_down,max,2030,8.5,whitewater arroyo
clim_down;max;2050;2.6,406198,-20996,clim_down,max,2050,2.6,whitewater arroyo
clim_down;max;2050;4.5,375475,-17955,clim_down,max,2050,4.5,whitewater arroyo
clim_down;max;2050;6,347769,-23541,clim_down,max,2050,6,whitewater arroyo
clim_down;max;2050;8.5,376448,-19408,clim_down,max,2050,8.5,whitewater arroyo
clim_down;max;2070;2.6,374534,-23157,clim_down,max,2070,2.6,whitewater arroyo
clim_down;max;2070;4.5,387243,-22861,clim_down,max,2070,4.5,whitewater arroyo
clim_down;max;2070;6,350136,-32359,clim_down,max,2070,6,whitewater arroyo
clim_down;max;2070;8.5,414602,-25803,clim_down,max,2070,8.5,whitewater arroyo
clim_down;max;2080;2.6,363482,-28192,clim_down,max,2080,2.6,whitewater arroyo
clim_down;max;2080;4.5,386878,-34385,clim_down,max,2080,4.5,whitewater arroyo
clim_down;max;2080;6,364732,-36727,clim_down,max,2080,6,whitewater arroyo
clim_down;max;2080;8.5,397293,-28569,clim_down,max,2080,8.5,whitewater arroyo
clim_down;mean;2030;2.6,442027,-31959,clim_down,mean,2030,2.6,whitewater arroyo
clim_down;mean;2030;4.5,407768,-20379,clim_down,mean,2030,4.5,whitewater arroyo
clim_down;mean;2030;6,326931,-22422,clim_down,mean,2030,6,whitewater arroyo
clim_down;mean;2030;8.5,412948,-21906,clim_down,mean,2030,8.5,whitewater arroyo
clim_down;mean;2050;2.6,437316,-31050,clim_down,mean,2050,2.6,whitewater arroyo
clim_down;mean;2050;4.5,401817,-28000,clim_down,mean,2050,4.5,whitewater arroyo
clim_down;mean;2050;6,373549,-32725,clim_down,mean,2050,6,whitewater arroyo
clim_down;mean;2050;8.5,403486,-28304,clim_down,mean,2050,8.5,whitewater arroyo
clim_down;mean;2070;2.6,400460,-31368,clim_down,mean,2070,2.6,whitewater arroyo
clim_down;mean;2070;4.5,418005,-32084,clim_down,mean,2070,4.5,whitewater arroyo
clim_down;mean;2070;6,380734,-36778,clim_down,mean,2070,6,whitewater arroyo
clim_down;mean;2070;8.5,441547,-39411,clim_down,mean,2070,8.5,whitewater arroyo
clim_down;mean;2080;2.6,394436,-29526,clim_down,mean,2080,2.6,whitewater arroyo
clim_down;mean;2080;4.5,423751,-33019,clim_down,mean,2080,4.5,whitewater arroyo
clim_down;mean;2080;6,394422,-40951,clim_down,mean,2080,6,whitewater arroyo
clim_down;mean;2080;8.5,426594,-42039,clim_down,mean,2080,8.5,whitewater arroyo
clim_down;min;2030;2.6,497543,-91101,clim_down,min,2030,2.6,whitewater arroyo
clim_down;min;2030;4.5,459525,-71487,clim_down,min,2030,4.5,whitewater arroyo
clim_down;min;2030;6,399954,-41471,clim_down,min,2030,6,whitewater arroyo
clim_down;min;2030;8.5,464339,-66771,clim_down,min,2030,8.5,whitewater arroyo
clim_down;min;2050;2.6,496298,-75185,clim_down,min,2050,2.6,whitewater arroyo
clim_down;min;2050;4.5,439119,-88140,clim_down,min,2050,4.5,whitewater arroyo
clim_down;min;2050;6,428164,-78458,clim_down,min,2050,6,whitewater arroyo
clim_down;min;2050;8.5,452289,-81880,clim_down,min,2050,8.5,whitewater arroyo
clim_down;min;2070;2.6,470342,-67897,clim_down,min,2070,2.6,whitewater arroyo
clim_down;min;2070;4.5,462647,-85033,clim_down,min,2070,4.5,whitewater arroyo
clim_down;min;2070;6,436836,-75523,clim_down,min,2070,6,whitewater arroyo
clim_down;min;2070;8.5,486436,-91251,clim_down,min,2070,8.5,whitewater arroyo
clim_down;min;2080;2.6,465932,-60386,clim_down,min,2080,2.6,whitewater arroyo
clim_down;min;2080;4.5,468914,-81722,clim_down,min,2080,4.5,whitewater arroyo
clim_down;min;2080;6,434648,-91229,clim_down,min,2080,6,whitewater arroyo
clim_down;min;2080;8.5,476141,-88824,clim_down,min,2080,8.5,whitewater arroyo
clim_up;max;2030;2.6,39339,-2325,clim_up,max,2030,2.6,whitewater arroyo
clim_up;max;2030;4.5,35010,173,clim_up,max,2030,4.5,whitewater arroyo
clim_up;max;2030;6,58764,-1696,clim_up,max,2030,6,whitewater arroyo
clim_up;max;2030;8.5,33199,-1320,clim_up,max,2030,8.5,whitewater arroyo
clim_up;max;2050;2.6,20995,-1025,clim_up,max,2050,2.6,whitewater arroyo
clim_up;max;2050;4.5,42761,259,clim_up,max,2050,4.5,whitewater arroyo
clim_up;max;2050;6,41019,-4578,clim_up,max,2050,6,whitewater arroyo
clim_up;max;2050;8.5,20837,-4612,clim_up,max,2050,8.5,whitewater arroyo
clim_up;max;2070;2.6,27093,-2716,clim_up,max,2070,2.6,whitewater arroyo
clim_up;max;2070;4.5,37470,325,clim_up,max,2070,4.5,whitewater arroyo
clim_up;max;2070;6,28640,-7286,clim_up,max,2070,6,whitewater arroyo
clim_up;max;2070;8.5,28525,-8342,clim_up,max,2070,8.5,whitewater arroyo
clim_up;max;2080;2.6,31927,-1999,clim_up,max,2080,2.6,whitewater arroyo
clim_up;max;2080;4.5,41149,66,clim_up,max,2080,4.5,whitewater arroyo
clim_up;max;2080;6,40760,-9339,clim_up,max,2080,6,whitewater arroyo
clim_up;max;2080;8.5,27923,-6892,clim_up,max,2080,8.5,whitewater arroyo
clim_up;mean;2030;2.6,54695,1148,clim_up,mean,2030,2.6,whitewater arroyo
clim_up;mean;2030;4.5,48028,1018,clim_up,mean,2030,4.5,whitewater arroyo
clim_up;mean;2030;6,81457,2290,clim_up,mean,2030,6,whitewater arroyo
clim_up;mean;2030;8.5,49254,130,clim_up,mean,2030,8.5,whitewater arroyo
clim_up;mean;2050;2.6,30719,287,clim_up,mean,2050,2.6,whitewater arroyo
clim_up;mean;2050;4.5,59623,1025,clim_up,mean,2050,4.5,whitewater arroyo
clim_up;mean;2050;6,57218,-1095,clim_up,mean,2050,6,whitewater arroyo
clim_up;mean;2050;8.5,39301,-1339,clim_up,mean,2050,8.5,whitewater arroyo
clim_up;mean;2070;2.6,42387,-375,clim_up,mean,2070,2.6,whitewater arroyo
clim_up;mean;2070;4.5,52346,1159,clim_up,mean,2070,4.5,whitewater arroyo
clim_up;mean;2070;6,53254,-1813,clim_up,mean,2070,6,whitewater arroyo
clim_up;mean;2070;8.5,48484,-4729,clim_up,mean,2070,8.5,whitewater arroyo
