year_RCP_group,future_value,Gain,Type,MinMax,Year,RCP,disease
clim_down;max;2030;2.6,129108,-116580,clim_down,max,2030,2.6,yellow
clim_down;max;2030;4.5,150098,-99892,clim_down,max,2030,4.5,yellow
clim_down;max;2030;6,141368,-127455,clim_down,max,2030,6,yellow
clim_down;max;2030;8.5,184284,-117021,clim_down,max,2030,8.5,yellow
clim_down;max;2050;2.6,163564,-90289,clim_down,max,2050,2.6,yellow
clim_down;max;2050;4.5,182100,-128664,clim_down,max,2050,4.5,yellow
clim_down;max;2050;6,161966,-213352,clim_down,max,2050,6,yellow
clim_down;max;2050;8.5,172649,-297898,clim_down,max,2050,8.5,yellow
clim_down;max;2070;2.6,150022,-67085,clim_down,max,2070,2.6,yellow
clim_down;max;2070;4.5,173906,-237304,clim_down,max,2070,4.5,yellow
clim_down;max;2070;6,156867,-268216,clim_down,max,2070,6,yellow
clim_down;max;2070;8.5,95321,-472499,clim_down,max,2070,8.5,yellow
clim_down;max;2080;2.6,158885,-175912,clim_down,max,2080,2.6,yellow
clim_down;max;2080;4.5,209323,-159696,clim_down,max,2080,4.5,yellow
clim_down;max;2080;6,177148,-281538,clim_down,max,2080,6,yellow
clim_down;max;2080;8.5,133975,-326744,clim_down,max,2080,8.5,yellow
clim_down;mean;2030;2.6,383084,-108261,clim_down,mean,2030,2.6,yellow
clim_down;mean;2030;4.5,355963,-59682,clim_down,mean,2030,4.5,yellow
clim_down;mean;2030;6,415781,-100822,clim_down,mean,2030,6,yellow
clim_down;mean;2030;8.5,443335,-80509,clim_down,mean,2030,8.5,yellow
clim_down;mean;2050;2.6,339894,-41214,clim_down,mean,2050,2.6,yellow
clim_down;mean;2050;4.5,460680,-81513,clim_down,mean,2050,4.5,yellow
clim_down;mean;2050;6,497908,-88450,clim_down,mean,2050,6,yellow
clim_down;mean;2050;8.5,646657,-149631,clim_down,mean,2050,8.5,yellow
clim_down;mean;2070;2.6,306607,-49153,clim_down,mean,2070,2.6,yellow
clim_down;mean;2070;4.5,584956,-123010,clim_down,mean,2070,4.5,yellow
clim_down;mean;2070;6,602516,-130715,clim_down,mean,2070,6,yellow
clim_down;mean;2070;8.5,707526,-247995,clim_down,mean,2070,8.5,yellow
clim_down;mean;2080;2.6,441136,-47598,clim_down,mean,2080,2.6,yellow
clim_down;mean;2080;4.5,525269,-88412,clim_down,mean,2080,4.5,yellow
clim_down;mean;2080;6,633287,-138173,clim_down,mean,2080,6,yellow
clim_down;mean;2080;8.5,590656,-194941,clim_down,mean,2080,8.5,yellow
clim_down;min;2030;2.6,632745,-6578,clim_down,min,2030,2.6,yellow
clim_down;min;2030;4.5,609771,-6422,clim_down,min,2030,4.5,yellow
clim_down;min;2030;6,645994,-17807,clim_down,min,2030,6,yellow
clim_down;min;2030;8.5,717080,-10729,clim_down,min,2030,8.5,yellow
clim_down;min;2050;2.6,478642,-2392,clim_down,min,2050,2.6,yellow
clim_down;min;2050;4.5,739184,-10268,clim_down,min,2050,4.5,yellow
clim_down;min;2050;6,725338,-17972,clim_down,min,2050,6,yellow
clim_down;min;2050;8.5,1055990,-21210,clim_down,min,2050,8.5,yellow
clim_down;min;2070;2.6,516133,-6170,clim_down,min,2070,2.6,yellow
clim_down;min;2070;4.5,943722,-7791,clim_down,min,2070,4.5,yellow
clim_down;min;2070;6,969943,-16482,clim_down,min,2070,6,yellow
clim_down;min;2070;8.5,1214730,-23476,clim_down,min,2070,8.5,yellow
clim_down;min;2080;2.6,603541,-6508,clim_down,min,2080,2.6,yellow
clim_down;min;2080;4.5,824832,-9831,clim_down,min,2080,4.5,yellow
clim_down;min;2080;6,1002815,-16592,clim_down,min,2080,6,yellow
clim_down;min;2080;8.5,1010293,-33030,clim_down,min,2080,8.5,yellow
clim_up;max;2030;2.6,56679,7665,clim_up,max,2030,2.6,yellow
clim_up;max;2030;4.5,47143,7997,clim_up,max,2030,4.5,yellow
clim_up;max;2030;6,28736,2104,clim_up,max,2030,6,yellow
clim_up;max;2030;8.5,10991,1045,clim_up,max,2030,8.5,yellow
clim_up;max;2050;2.6,52400,6303,clim_up,max,2050,2.6,yellow
clim_up;max;2050;4.5,24125,2346,clim_up,max,2050,4.5,yellow
clim_up;max;2050;6,37479,5158,clim_up,max,2050,6,yellow
clim_up;max;2050;8.5,8965,1860,clim_up,max,2050,8.5,yellow
clim_up;max;2070;2.6,53635,8452,clim_up,max,2070,2.6,yellow
clim_up;max;2070;4.5,12551,2882,clim_up,max,2070,4.5,yellow
clim_up;max;2070;6,12733,3345,clim_up,max,2070,6,yellow
clim_up;max;2070;8.5,13293,4674,clim_up,max,2070,8.5,yellow
clim_up;max;2080;2.6,50084,6167,clim_up,max,2080,2.6,yellow
clim_up;max;2080;4.5,13468,2377,clim_up,max,2080,4.5,yellow
clim_up;max;2080;6,10170,2594,clim_up,max,2080,6,yellow
clim_up;max;2080;8.5,32143,8085,clim_up,max,2080,8.5,yellow
clim_up;mean;2030;2.6,113834,2121,clim_up,mean,2030,2.6,yellow
clim_up;mean;2030;4.5,110410,1873,clim_up,mean,2030,4.5,yellow
clim_up;mean;2030;6,72410,1726,clim_up,mean,2030,6,yellow
clim_up;mean;2030;8.5,32977,1238,clim_up,mean,2030,8.5,yellow
clim_up;mean;2050;2.6,133724,2192,clim_up,mean,2050,2.6,yellow
clim_up;mean;2050;4.5,52832,1360,clim_up,mean,2050,4.5,yellow
clim_up;mean;2050;6,108702,2052,clim_up,mean,2050,6,yellow
clim_up;mean;2050;8.5,28205,1061,clim_up,mean,2050,8.5,yellow
clim_up;mean;2070;2.6,135759,2183,clim_up,mean,2070,2.6,yellow
clim_up;mean;2070;4.5,31571,1224,clim_up,mean,2070,4.5,yellow
clim_up;mean;2070;6,32631,1205,clim_up,mean,2070,6,yellow
