Pathogens,Disease_name,network_pathogen,network_disease_name,who_match_status,who_match_count,who_pathogen_candidates,Family,PHEIC_risk,previous_name,msl39_viral_name,virion_tax_ids,virion_names,matched_name_types,clover_tax_ids,clover_names,network_aliases,influenza_search_mode,influenza_exact_subtypes,influenza_family_fallbacks,influenza_family_policy,manual_query_aliases,target_resolution_type,query_profile,taxid_query,organism_query,all_fields_query,name_query,allow_taxonomy_link_fallback,query_specificity_status,query_specificity_reason,preferred_metadata_source,metadata_source_reason,query_strategy,search_query,geo_query,pathogen_run_id,pathogen_log_path,pathogen_records_path
Mammarenavirus juninense,Argentine hemorrhagic fever,Mammarenavirus juninense,Argentine hemorrhagic fever,exact_pair,1,Mammarenavirus juninense,Arenaviridae,High,Junin virus,Mammarenavirus juninense,2169991,mammarenavirus juninense,Pathogens; msl39_viral_name,,,Mammarenavirus juninense,,,,,Mammarenavirus juninense,exact_candidate,exact_candidate,txid2169991[Organism:exp],"""Mammarenavirus juninense""[Organism] OR ""Junin virus""[Organism] OR ""mammarenavirus juninense""[Organism]",,"""Mammarenavirus juninense""[Organism] OR ""Junin virus""[Organism] OR ""mammarenavirus juninense""[Organism]",TRUE,specific,Exact WHO/network target with narrow organism-level search terms.,nuccore,Virus or virus-like pathogen with VIRION/ICTV-style support; accession source qualifiers are a good first-pass geography source.,taxid,"""Mammarenavirus juninense""[Organism] OR ""Junin virus""[Organism] OR ""mammarenavirus juninense""[Organism]","(""Mammarenavirus juninense""[Organism] OR ""Junin virus""[Organism] OR ""mammarenavirus juninense""[Organism]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",network_v2_001_Mammarenavirus_juninense__Argentine_hemorrhagic_fever,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/search_logs/network_v2_001_Mammarenavirus_juninense__Argentine_hemorrhagic_fever.csv,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/country_records/network_v2_001_Mammarenavirus_juninense__Argentine_hemorrhagic_fever.csv
Mammarenavirus lassaense,Lassa fever,Mammarenavirus lassaense,Lassa fever,exact_pair,1,Mammarenavirus lassaense,Arenaviridae,High,Lassa Fever virus,Mammarenavirus lassaense,3052310,mammarenavirus lassaense,Pathogens; msl39_viral_name,,,Mammarenavirus lassaense,,,,,Mammarenavirus lassaense,exact_candidate,exact_candidate,txid3052310[Organism:exp],"""Mammarenavirus lassaense""[Organism] OR ""mammarenavirus lassaense""[Organism]",,"""Mammarenavirus lassaense""[Organism] OR ""mammarenavirus lassaense""[Organism]",TRUE,specific,Exact WHO/network target with narrow organism-level search terms.,nuccore,Virus or virus-like pathogen with VIRION/ICTV-style support; accession source qualifiers are a good first-pass geography source.,taxid,"""Mammarenavirus lassaense""[Organism] OR ""mammarenavirus lassaense""[Organism]","(""Mammarenavirus lassaense""[Organism] OR ""mammarenavirus lassaense""[Organism]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",network_v2_002_Mammarenavirus_lassaense__Lassa_fever,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/search_logs/network_v2_002_Mammarenavirus_lassaense__Lassa_fever.csv,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/country_records/network_v2_002_Mammarenavirus_lassaense__Lassa_fever.csv
Mammarenavirus lujoense,Lujo hemorrhagic fever,Mammarenavirus lujoense,Lujo hemorrhagic fever,exact_pair,1,Mammarenavirus lujoense,Arenaviridae,High,Lujo virus,Mammarenavirus lujoense,3052314,mammarenavirus lujoense,Pathogens; msl39_viral_name,,,Mammarenavirus lujoense,,,,,Mammarenavirus lujoense,exact_candidate,exact_candidate,txid3052314[Organism:exp],"""Mammarenavirus lujoense""[Organism] OR ""Lujo virus""[Organism] OR ""mammarenavirus lujoense""[Organism]",,"""Mammarenavirus lujoense""[Organism] OR ""Lujo virus""[Organism] OR ""mammarenavirus lujoense""[Organism]",TRUE,specific,Exact WHO/network target with narrow organism-level search terms.,nuccore,Virus or virus-like pathogen with VIRION/ICTV-style support; accession source qualifiers are a good first-pass geography source.,taxid,"""Mammarenavirus lujoense""[Organism] OR ""Lujo virus""[Organism] OR ""mammarenavirus lujoense""[Organism]","(""Mammarenavirus lujoense""[Organism] OR ""Lujo virus""[Organism] OR ""mammarenavirus lujoense""[Organism]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",network_v2_003_Mammarenavirus_lujoense__Lujo_hemorrhagic_fever,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/search_logs/network_v2_003_Mammarenavirus_lujoense__Lujo_hemorrhagic_fever.csv,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/country_records/network_v2_003_Mammarenavirus_lujoense__Lujo_hemorrhagic_fever.csv
Salmonella enterica non typhoidal serovars,Non-typhoidal salmonellosis,Salmonella enterica non typhoidal serovars,Non-typhoidal salmonellosis,exact_pair,1,Salmonella enterica non typhoidal serovars,Bacteria,High,,,,,,28901,salmonella enterica,Salmonella enterica non typhoidal serovars,,,,,Salmonella enterica non typhoidal serovars,exact_candidate,exact_candidate,txid28901[Organism:exp],"""Salmonella enterica non typhoidal serovars""[Organism]",,"""Salmonella enterica non typhoidal serovars""[Organism]",FALSE,specific,Exact WHO/network target with narrow organism-level search terms.,biosample,CLOVER-linked bacterial pathogen; prefer sample-level geography over accession-heavy sequence records.,taxid,"""Salmonella enterica non typhoidal serovars""[Organism]","(""Salmonella enterica non typhoidal serovars""[Organism]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",network_v2_004_Salmonella_enterica_non_typhoidal_serovars__Non_typhoidal_salmonellosis,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/search_logs/network_v2_004_Salmonella_enterica_non_typhoidal_serovars__Non_typhoidal_salmonellosis.csv,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/country_records/network_v2_004_Salmonella_enterica_non_typhoidal_serovars__Non_typhoidal_salmonellosis.csv
Yersinia pestis,Plague,Yersinia pestis,Plague,exact_pair,1,Yersinia pestis,Bacteria,High,,,,,,632,yersinia pestis,Yersinia pestis,,,,,Yersinia pestis,exact_candidate,exact_candidate,txid632[Organism:exp],"""Yersinia pestis""[Organism] OR ""yersinia pestis""[Organism]",,"""Yersinia pestis""[Organism] OR ""yersinia pestis""[Organism]",FALSE,specific,Exact WHO/network target with narrow organism-level search terms.,biosample,CLOVER-linked bacterial pathogen; prefer sample-level geography over accession-heavy sequence records.,taxid,"""Yersinia pestis""[Organism] OR ""yersinia pestis""[Organism]","(""Yersinia pestis""[Organism] OR ""yersinia pestis""[Organism]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",network_v2_005_Yersinia_pestis__Plague,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/search_logs/network_v2_005_Yersinia_pestis__Plague.csv,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/country_records/network_v2_005_Yersinia_pestis__Plague.csv
Orthobornavirus bornaense,Borna disease (encephalitis),Orthobornavirus bornaense,Borna disease (encephalitis),exact_pair,1,Orthobornavirus bornaense,Bornaviridae,Low,Mammalian Bornavirus 1 (BoDV-1),Orthobornavirus bornaense,1714619,orthobornavirus bornaense,Pathogens; msl39_viral_name,,,Orthobornavirus bornaense,,,,,Orthobornavirus bornaense,exact_candidate,exact_candidate,txid1714619[Organism:exp],"""Orthobornavirus bornaense""[Organism] OR ""Mammalian Bornavirus 1 (BoDV-1)""[Organism] OR ""orthobornavirus bornaense""[Organism]",,"""Orthobornavirus bornaense""[Organism] OR ""Mammalian Bornavirus 1 (BoDV-1)""[Organism] OR ""orthobornavirus bornaense""[Organism]",FALSE,specific,Exact WHO/network target with narrow organism-level search terms.,nuccore,Virus or virus-like pathogen with VIRION/ICTV-style support; accession source qualifiers are a good first-pass geography source.,taxid,"""Orthobornavirus bornaense""[Organism] OR ""Mammalian Bornavirus 1 (BoDV-1)""[Organism] OR ""orthobornavirus bornaense""[Organism]","(""Orthobornavirus bornaense""[Organism] OR ""Mammalian Bornavirus 1 (BoDV-1)""[Organism] OR ""orthobornavirus bornaense""[Organism]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",network_v2_006_Orthobornavirus_bornaense__Borna_disease_encephalitis,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/search_logs/network_v2_006_Orthobornavirus_bornaense__Borna_disease_encephalitis.csv,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/country_records/network_v2_006_Orthobornavirus_bornaense__Borna_disease_encephalitis.csv
Subgenus Merbecovirus,Middle East Respiratory Syndrome (MERS),Subgenus Merbecovirus,Middle East Respiratory Syndrome (MERS),exact_pair,1,Subgenus Merbecovirus,Coronaviridae,High,Middle East Respiratory Syndrome Coronavirus,subgenus Merbecovirus,,,,,,Subgenus Merbecovirus,,,,,Subgenus Merbecovirus,exact_candidate,exact_candidate,,"""Subgenus Merbecovirus""[Organism] OR ""subgenus Merbecovirus""[Organism]",,"""Subgenus Merbecovirus""[Organism] OR ""subgenus Merbecovirus""[Organism]",FALSE,specific,Exact WHO/network target with narrow organism-level search terms.,nuccore,Virus or virus-like pathogen with VIRION/ICTV-style support; accession source qualifiers are a good first-pass geography source.,name,"""Subgenus Merbecovirus""[Organism] OR ""subgenus Merbecovirus""[Organism]","(""Subgenus Merbecovirus""[Organism] OR ""subgenus Merbecovirus""[Organism]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",network_v2_007_Subgenus_Merbecovirus__Middle_East_Respiratory_Syndrome_MERS,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/search_logs/network_v2_007_Subgenus_Merbecovirus__Middle_East_Respiratory_Syndrome_MERS.csv,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/country_records/network_v2_007_Subgenus_Merbecovirus__Middle_East_Respiratory_Syndrome_MERS.csv
Subgenus Sarbecovirus,Severe Acute Respiratory Syndrome (SARS); COVID-19,Subgenus Sarbecovirus,Severe Acute Respiratory Syndrome (SARS); COVID-19,exact_pair,1,Subgenus Sarbecovirus,Coronaviridae,High,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,694009; 3418604,severe acute respiratory syndrome-related coronavirus; betacoronavirus pandemicum,Pathogens,,,Subgenus Sarbecovirus,,,,,Subgenus Sarbecovirus,disease_profile,sars_covid_profile,txid694009[Organism:exp] OR txid3418604[Organism:exp],"""Severe acute respiratory syndrome coronavirus 2""[Organism] OR ""Severe acute respiratory syndrome-related coronavirus""[Organism] OR ""SARS coronavirus""[Organism]","""SARS-CoV-2""[All Fields] OR ""COVID-19""[All Fields] OR ""2019-nCoV""[All Fields] OR ""SARS-CoV""[All Fields] OR ""SARS coronavirus""[All Fields]","""Severe acute respiratory syndrome coronavirus 2""[Organism] OR ""Severe acute respiratory syndrome-related coronavirus""[Organism] OR ""SARS coronavirus""[Organism]",FALSE,disease_broad_but_acceptable,SARS/COVID network target is searched with curated SARS-CoV and SARS-CoV-2 terms for disease-level geographic coverage.,nuccore,Virus or virus-like pathogen with VIRION/ICTV-style support; accession source qualifiers are a good first-pass geography source.,name,"""SARS-CoV-2""[All Fields] OR ""COVID-19""[All Fields] OR ""2019-nCoV""[All Fields] OR ""SARS-CoV""[All Fields] OR ""SARS coronavirus""[All Fields]","(""SARS-CoV-2""[All Fields] OR ""COVID-19""[All Fields] OR ""2019-nCoV""[All Fields] OR ""SARS-CoV""[All Fields] OR ""SARS coronavirus""[All Fields]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",network_v2_008_Subgenus_Sarbecovirus__Severe_Acute_Respiratory_Syndrome_SARS_COVID_19,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/search_logs/network_v2_008_Subgenus_Sarbecovirus__Severe_Acute_Respiratory_Syndrome_SARS_COVID_19.csv,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/country_records/network_v2_008_Subgenus_Sarbecovirus__Severe_Acute_Respiratory_Syndrome_SARS_COVID_19.csv
Orthoebolavirus zairense,Ebola virus disease,Orthoebolavirus zairense,Ebola virus disease,exact_pair,1,Orthoebolavirus zairense,Filoviridae,High,Ebola virus,Orthoebolavirus zairense,186538; 3052462,orthoebolavirus zairense,Pathogens; msl39_viral_name,,,Orthoebolavirus zairense,,,,,Orthoebolavirus zairense,exact_candidate,exact_candidate,txid186538[Organism:exp] OR txid3052462[Organism:exp],"""Orthoebolavirus zairense""[Organism] OR ""Ebola virus""[Organism] OR ""orthoebolavirus zairense""[Organism]",,"""Orthoebolavirus zairense""[Organism] OR ""Ebola virus""[Organism] OR ""orthoebolavirus zairense""[Organism]",FALSE,specific,Exact WHO/network target with narrow organism-level search terms.,nuccore,Virus or virus-like pathogen with VIRION/ICTV-style support; accession source qualifiers are a good first-pass geography source.,taxid,"""Orthoebolavirus zairense""[Organism] OR ""Ebola virus""[Organism] OR ""orthoebolavirus zairense""[Organism]","(""Orthoebolavirus zairense""[Organism] OR ""Ebola virus""[Organism] OR ""orthoebolavirus zairense""[Organism]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",network_v2_009_Orthoebolavirus_zairense__Ebola_virus_disease,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/search_logs/network_v2_009_Orthoebolavirus_zairense__Ebola_virus_disease.csv,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/country_records/network_v2_009_Orthoebolavirus_zairense__Ebola_virus_disease.csv
Orthomarburgvirus marburgense,Marburg virus disease,Orthomarburgvirus marburgense,Marburg virus disease,exact_pair,1,Orthomarburgvirus marburgense,Filoviridae,High,Marburg virus,Orthomarburgvirus marburgense,3052505,orthomarburgvirus marburgense,Pathogens; msl39_viral_name,,,Orthomarburgvirus marburgense,,,,,Orthomarburgvirus marburgense,exact_candidate,exact_candidate,txid3052505[Organism:exp],"""Orthomarburgvirus marburgense""[Organism] OR ""Marburg virus""[Organism] OR ""orthomarburgvirus marburgense""[Organism]",,"""Orthomarburgvirus marburgense""[Organism] OR ""Marburg virus""[Organism] OR ""orthomarburgvirus marburgense""[Organism]",FALSE,specific,Exact WHO/network target with narrow organism-level search terms.,nuccore,Virus or virus-like pathogen with VIRION/ICTV-style support; accession source qualifiers are a good first-pass geography source.,taxid,"""Orthomarburgvirus marburgense""[Organism] OR ""Marburg virus""[Organism] OR ""orthomarburgvirus marburgense""[Organism]","(""Orthomarburgvirus marburgense""[Organism] OR ""Marburg virus""[Organism] OR ""orthomarburgvirus marburgense""[Organism]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",network_v2_010_Orthomarburgvirus_marburgense__Marburg_virus_disease,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/search_logs/network_v2_010_Orthomarburgvirus_marburgense__Marburg_virus_disease.csv,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/country_records/network_v2_010_Orthomarburgvirus_marburgense__Marburg_virus_disease.csv
