target_id,Pathogens,Disease_name,Family,PHEIC risk,previous_name,msl39_viral_name,in_gibb_etal,in_empres_i,PathogenTaxID,network_pathogen_type,network_zoonotic_status,network_canonicalization_status,source_db,query_strategy,query_source,old_query_profile,old_taxid_query,old_organism_query,simple_query,query_used,retrieval_policy,allow_sampling
Alphainfluenzavirus_influenzae_H5N1__Influenza_H5N1_avian_influenza,Alphainfluenzavirus influenzae (H5N1),Influenza (H5N1 avian influenza),Orthomyxoviridae,High,Influenza A,Alphainfluenzavirus influenzae,TRUE,TRUE,11320; 2955291,virus,zoonotic,identity,nuccore,influenza_subtype_constrained_full_retrieval,simple_subtype_guardrail,NA,NA,NA,"((txid11320[Organism:exp] OR txid2955291[Organism:exp])) AND ""H5N1""[All Fields]","((txid11320[Organism:exp] OR txid2955291[Organism:exp])) AND ""H5N1""[All Fields]",full_deterministic_pagination,FALSE
Alphavirus_chikungunya__Chikungunya_fever,Alphavirus chikungunya,Chikungunya fever,Togaviridae,High,Chikungunya virus,Alphavirus chikungunya,TRUE,FALSE,3426298; 37124,virus,zoonotic,identity,nuccore,taxid_full_retrieval,simple_generated_query,NA,NA,NA,(txid3426298[Organism:exp] OR txid37124[Organism:exp]),(txid3426298[Organism:exp] OR txid37124[Organism:exp]),full_deterministic_pagination,FALSE
Alphavirus_venezuelan__Venezuelan_equine_encephalitis,Alphavirus venezuelan,Venezuelan equine encephalitis,Togaviridae,High,Venezuelan equine encephalitis virus,Alphavirus venezuelan,FALSE,TRUE,11036,virus,zoonotic,identity,nuccore,taxid_full_retrieval,simple_generated_query,NA,NA,NA,txid11036[Organism:exp],txid11036[Organism:exp],full_deterministic_pagination,FALSE
Henipavirus_nipahense__Nipah_virus_disease,Henipavirus nipahense,Nipah virus disease,Paramyxoviridae,High,Nipah virus,Henipavirus nipahense,TRUE,TRUE,3052225,virus,zoonotic,identity,nuccore,taxid_full_retrieval,simple_generated_query,NA,NA,NA,txid3052225[Organism:exp],txid3052225[Organism:exp],full_deterministic_pagination,FALSE
Mammarenavirus_juninense__Argentine_hemorrhagic_fever,Mammarenavirus juninense,Argentine hemorrhagic fever,Arenaviridae,High,Junin virus,Mammarenavirus juninense,TRUE,FALSE,2169991,virus,zoonotic,identity,nuccore,taxid_full_retrieval,simple_generated_query,NA,NA,NA,txid2169991[Organism:exp],txid2169991[Organism:exp],full_deterministic_pagination,FALSE
Mammarenavirus_lassaense__Lassa_fever,Mammarenavirus lassaense,Lassa fever,Arenaviridae,High,Lassa Fever virus,Mammarenavirus lassaense,TRUE,FALSE,3052310,virus,zoonotic,identity,nuccore,taxid_full_retrieval,simple_generated_query,NA,NA,NA,txid3052310[Organism:exp],txid3052310[Organism:exp],full_deterministic_pagination,FALSE
Orthobunyavirus_oropoucheense__Oropouche_fever,Orthobunyavirus oropoucheense,Oropouche fever,Peribunyaviridae,Low,Oropouche virus,Orthobunyavirus oropoucheense,TRUE,TRUE,3052429,virus,zoonotic,identity,nuccore,taxid_full_retrieval,simple_generated_query,NA,NA,NA,txid3052429[Organism:exp],txid3052429[Organism:exp],full_deterministic_pagination,FALSE
Orthoebolavirus_sudanense__Sudan_virus_disease_Ebola_virus_disease,Orthoebolavirus sudanense,Sudan virus disease (Ebola virus disease),Filoviridae,High,Sudan ebolavirus,Orthoebolavirus sudanense,TRUE,FALSE,186540; 3052460,virus,zoonotic,identity,nuccore,taxid_full_retrieval,simple_generated_query,NA,NA,NA,(txid186540[Organism:exp] OR txid3052460[Organism:exp]),(txid186540[Organism:exp] OR txid3052460[Organism:exp]),full_deterministic_pagination,FALSE
Orthoebolavirus_zairense__Ebola_virus_disease,Orthoebolavirus zairense,Ebola virus disease,Filoviridae,High,Ebola virus,Orthoebolavirus zairense,TRUE,TRUE,186538; 3052462,virus,zoonotic,identity,nuccore,taxid_full_retrieval,simple_generated_query,NA,NA,NA,(txid186538[Organism:exp] OR txid3052462[Organism:exp]),(txid186538[Organism:exp] OR txid3052462[Organism:exp]),full_deterministic_pagination,FALSE
Orthoflavivirus_denguei__Dengue,Orthoflavivirus denguei,Dengue,Flaviviridae,High,Dengue virus,Orthoflavivirus denguei,TRUE,FALSE,12637; 3052464,virus,zoonotic,identity,nuccore,taxid_full_retrieval,simple_generated_query,NA,NA,NA,(txid12637[Organism:exp] OR txid3052464[Organism:exp]),(txid12637[Organism:exp] OR txid3052464[Organism:exp]),full_deterministic_pagination,FALSE
Orthoflavivirus_flavi__Yellow_fever,Orthoflavivirus flavi,Yellow fever,Flaviviridae,High,Yellow fever virus,Orthoflavivirus flavi,TRUE,FALSE,3046277; 11089,virus,zoonotic,identity,nuccore,taxid_full_retrieval,simple_generated_query,NA,NA,NA,(txid3046277[Organism:exp] OR txid11089[Organism:exp]),(txid3046277[Organism:exp] OR txid11089[Organism:exp]),full_deterministic_pagination,FALSE
Orthoflavivirus_nilense__West_Nile_fever,Orthoflavivirus nilense,West Nile fever,Flaviviridae,High,West Nile virus,Orthoflavivirus nilense,TRUE,TRUE,11082; 3048448,virus,zoonotic,identity,nuccore,taxid_full_retrieval,simple_generated_query,NA,NA,NA,(txid11082[Organism:exp] OR txid3048448[Organism:exp]),(txid11082[Organism:exp] OR txid3048448[Organism:exp]),full_deterministic_pagination,FALSE
Orthoflavivirus_zikaense__Zika_virus_disease,Orthoflavivirus zikaense,Zika virus disease,Flaviviridae,High,Zika virus,Orthoflavivirus zikaense,TRUE,FALSE,3048459; 64320,virus,zoonotic,identity,nuccore,taxid_full_retrieval,simple_generated_query,NA,NA,NA,(txid3048459[Organism:exp] OR txid64320[Organism:exp]),(txid3048459[Organism:exp] OR txid64320[Organism:exp]),full_deterministic_pagination,FALSE
Orthohantavirus_hantanense__Hemorrhagic_fever_with_renal_syndrome_Hantaan_virus,Orthohantavirus hantanense,Hemorrhagic fever with renal syndrome (Hantaan virus),Hantaviridae,High,Hantaan orthohantavirus,Orthohantavirus hantanense,TRUE,FALSE,3052480,virus,zoonotic,identity,nuccore,taxid_full_retrieval,simple_generated_query,NA,NA,NA,txid3052480[Organism:exp],txid3052480[Organism:exp],full_deterministic_pagination,FALSE
Orthomarburgvirus_marburgense__Marburg_virus_disease,Orthomarburgvirus marburgense,Marburg virus disease,Filoviridae,High,Marburg virus,Orthomarburgvirus marburgense,TRUE,TRUE,3052505,virus,zoonotic,identity,nuccore,taxid_full_retrieval,simple_generated_query,NA,NA,NA,txid3052505[Organism:exp],txid3052505[Organism:exp],full_deterministic_pagination,FALSE
Orthonairovirus_haemorrhagiae__Crimean_Congo_hemorrhagic_fever,Orthonairovirus haemorrhagiae,Crimean-Congo hemorrhagic fever,Nairoviridae,High,NA,NA,TRUE,TRUE,3052518,virus,zoonotic,identity,nuccore,taxid_full_retrieval,simple_generated_query,NA,NA,NA,txid3052518[Organism:exp],txid3052518[Organism:exp],full_deterministic_pagination,FALSE
Orthopoxvirus_monkeypox__Mpox_Monkeypox,Orthopoxvirus monkeypox,Mpox (Monkeypox),Poxviridae,High,Monkeypox virus,Orthopoxvirus monkeypox,TRUE,TRUE,10244; 3431483,virus,zoonotic,identity,nuccore,taxid_full_retrieval,simple_generated_query,NA,NA,NA,(txid10244[Organism:exp] OR txid3431483[Organism:exp]),(txid10244[Organism:exp] OR txid3431483[Organism:exp]),full_deterministic_pagination,FALSE
Phlebovirus_riftense__Rift_Valley_fever,Phlebovirus riftense,Rift Valley fever,Phenuiviridae,High,Rift Valley Fever virus,Phlebovirus riftense,TRUE,TRUE,3052676,virus,zoonotic,identity,nuccore,taxid_full_retrieval,simple_generated_query,NA,NA,NA,txid3052676[Organism:exp],txid3052676[Organism:exp],full_deterministic_pagination,FALSE
Yersinia_pestis__Plague,Yersinia pestis,Plague,Bacteria,High,NA,NA,TRUE,FALSE,632,bacteria,zoonotic,who_alias_match,nuccore,taxid_full_retrieval,simple_generated_query,NA,NA,NA,txid632[Organism:exp],txid632[Organism:exp],full_deterministic_pagination,FALSE
