Disease_name,output_path,mapped_countries
Argentine hemorrhagic fever,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps/disease_country_records/Argentine_hemorrhagic_fever.png,3
Chikungunya fever,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps/disease_country_records/Chikungunya_fever.png,107
Crimean-Congo hemorrhagic fever,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps/disease_country_records/Crimean_Congo_hemorrhagic_fever.png,52
Dengue,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps/disease_country_records/Dengue.png,136
Ebola virus disease,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps/disease_country_records/Ebola_virus_disease.png,16
Hemorrhagic fever with renal syndrome (Hantaan virus),/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps/disease_country_records/Hemorrhagic_fever_with_renal_syndrome_Hantaan_virus.png,5
Influenza (H5N1 avian influenza),/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps/disease_country_records/Influenza_H5N1_avian_influenza.png,94
Lassa fever,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps/disease_country_records/Lassa_fever.png,11
Marburg virus disease,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps/disease_country_records/Marburg_virus_disease.png,16
Mpox (Monkeypox),/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps/disease_country_records/Mpox_Monkeypox.png,59
Nipah virus disease,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps/disease_country_records/Nipah_virus_disease.png,8
Oropouche fever,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps/disease_country_records/Oropouche_fever.png,14
Plague,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps/disease_country_records/Plague.png,35
Rift Valley fever,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps/disease_country_records/Rift_Valley_fever.png,32
Sudan virus disease (Ebola virus disease),/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps/disease_country_records/Sudan_virus_disease_Ebola_virus_disease.png,4
Venezuelan equine encephalitis,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps/disease_country_records/Venezuelan_equine_encephalitis.png,18
West Nile fever,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps/disease_country_records/West_Nile_fever.png,73
Yellow fever,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps/disease_country_records/Yellow_fever.png,41
Zika virus disease,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps/disease_country_records/Zika_virus_disease.png,75
