Disease_name,country_standardized,country_status,records_with_country,pathogens,target_ids
Chikungunya fever,Borneo,review,1,Alphavirus chikungunya,Alphavirus_chikungunya__Chikungunya_fever
Chikungunya fever,Curacao,territory,14,Alphavirus chikungunya,Alphavirus_chikungunya__Chikungunya_fever
Chikungunya fever,French Guiana,territory,1,Alphavirus chikungunya,Alphavirus_chikungunya__Chikungunya_fever
Chikungunya fever,Guadeloupe,territory,13,Alphavirus chikungunya,Alphavirus_chikungunya__Chikungunya_fever
Chikungunya fever,Martinique,territory,12,Alphavirus chikungunya,Alphavirus_chikungunya__Chikungunya_fever
Chikungunya fever,Mayotte,territory,14,Alphavirus chikungunya,Alphavirus_chikungunya__Chikungunya_fever
Chikungunya fever,Reunion,territory,3145,Alphavirus chikungunya,Alphavirus_chikungunya__Chikungunya_fever
Chikungunya fever,Tokelau,country,1,Alphavirus chikungunya,Alphavirus_chikungunya__Chikungunya_fever
Crimean-Congo hemorrhagic fever,Yugoslavia,historical,4,Orthonairovirus haemorrhagiae,Orthonairovirus_haemorrhagiae__Crimean_Congo_hemorrhagic_fever
Dengue,Borneo,review,4,Orthoflavivirus denguei,Orthoflavivirus_denguei__Dengue
Dengue,French Guiana,territory,141,Orthoflavivirus denguei,Orthoflavivirus_denguei__Dengue
Dengue,Guadeloupe,territory,34,Orthoflavivirus denguei,Orthoflavivirus_denguei__Dengue
Dengue,Martinique,territory,46,Orthoflavivirus denguei,Orthoflavivirus_denguei__Dengue
Dengue,Mayotte,territory,31,Orthoflavivirus denguei,Orthoflavivirus_denguei__Dengue
Dengue,Netherlands Antilles,country,2,Orthoflavivirus denguei,Orthoflavivirus_denguei__Dengue
Dengue,Reunion,territory,996,Orthoflavivirus denguei,Orthoflavivirus_denguei__Dengue
Ebola virus disease,Zaire,country,18,Orthoebolavirus zairense,Orthoebolavirus_zairense__Ebola_virus_disease
Influenza (H5N1 avian influenza),South Georgia and the South Sandwich Islands,country,288,Alphainfluenzavirus influenzae (H5N1),Alphainfluenzavirus_influenzae_H5N1__Influenza_H5N1_avian_influenza
Mpox (Monkeypox),Zaire,country,5,Orthopoxvirus monkeypox,Orthopoxvirus_monkeypox__Mpox_Monkeypox
Oropouche fever,French Guiana,territory,3,Orthobunyavirus oropoucheense,Orthobunyavirus_oropoucheense__Oropouche_fever
Plague,USSR,historical,1101,Yersinia pestis,Yersinia_pestis__Plague
Rift Valley fever,Mayotte,territory,6,Phlebovirus riftense,Phlebovirus_riftense__Rift_Valley_fever
Venezuelan equine encephalitis,French Guiana,territory,1,Alphavirus venezuelan,Alphavirus_venezuelan__Venezuelan_equine_encephalitis
Yellow fever,French Guiana,territory,1,Orthoflavivirus flavi,Orthoflavivirus_flavi__Yellow_fever
Zika virus disease,French Guiana,territory,11,Orthoflavivirus zikaense,Orthoflavivirus_zikaense__Zika_virus_disease
Zika virus disease,Guadeloupe,territory,12,Orthoflavivirus zikaense,Orthoflavivirus_zikaense__Zika_virus_disease
Zika virus disease,Martinique,territory,2,Orthoflavivirus zikaense,Orthoflavivirus_zikaense__Zika_virus_disease
