Disease_name,output_path,mapped_countries
African horse sickness,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/African_horse_sickness.png,14
Alkhurma,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Alkhurma.png,2
Andes,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Andes.png,8
Anthrax,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Anthrax.png,89
Argentine hemorrhagic fever,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Argentine_hemorrhagic_fever.png,3
Australian bat lyssavirus,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Australian_bat_lyssavirus.png,1
Babesia microti,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Babesia_microti.png,49
Barmah Forest virus,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Barmah_Forest_virus.png,2
Bartonellosis,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Bartonellosis.png,4
Baylisascaris procyonis,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Baylisascaris_procyonis.png,14
Bayou,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Bayou.png,2
Bluetongue,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Bluetongue.png,73
