Pathogen_raw,PathogenTaxID,Disease_name_raw,Pathogen_canonical,Disease_name_canonical,canonicalization_status,Family_canonical,PHEIC_risk_canonical,previous_name_canonical,msl39_viral_name_canonical,is_zoonotic,zoonotic_status
Klebsiella pneumoniae,573,Klebsiella infection (pneumonia sepsis),Klebsiella pneumoniae,Klebsiella infection (pneumonia sepsis),identity,Bacteria,High,,,FALSE,not_zoonotic_or_out_of_scope
Salmonella enterica,28901,Non-typhoidal salmonellosis,Salmonella enterica non typhoidal serovars,Non-typhoidal salmonellosis,manual_specificity_map,Bacteria,High,,,TRUE,zoonotic
Shigella dysenteriae,622,Shigellosis (bacillary dysentery),Shigella dysenteriae serotype 1,Shigellosis (bacillary dysentery),manual_specificity_map,Bacteria,High,,,FALSE,not_zoonotic_or_out_of_scope
Vibrio cholerae,666,Cholera,Vibrio cholerae serogroup 0139,Cholera,manual_specificity_map,Bacteria,High,,,FALSE,not_zoonotic_or_out_of_scope
Yersinia pestis,632,Plague,Yersinia pestis,Plague,identity,Bacteria,High,,,TRUE,zoonotic
Mammarenavirus lassaense,3052310,Lassa fever,Mammarenavirus lassaense,Lassa fever,identity,Arenaviridae,High,Lassa Fever virus,Mammarenavirus lassaense,TRUE,zoonotic
Mammarenavirus lujoense,3052314,Lujo hemorrhagic fever,Mammarenavirus lujoense,Lujo hemorrhagic fever,identity,Arenaviridae,High,Lujo virus,Mammarenavirus lujoense,TRUE,zoonotic
Betacoronavirus pandemicum,694009,Severe Acute Respiratory Syndrome (SARS); COVID-19,Subgenus Sarbecovirus,Severe Acute Respiratory Syndrome (SARS); COVID-19,manual_synonym_map,Coronaviridae,High,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,TRUE,zoonotic
Severe acute respiratory syndrome-related coronavirus,694009,Severe Acute Respiratory Syndrome (SARS); COVID-19,Subgenus Sarbecovirus,Severe Acute Respiratory Syndrome (SARS); COVID-19,manual_synonym_map,Coronaviridae,High,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,TRUE,zoonotic
Betacoronavirus pandemicum,3418604,Severe Acute Respiratory Syndrome (SARS); COVID-19,Subgenus Sarbecovirus,Severe Acute Respiratory Syndrome (SARS); COVID-19,manual_synonym_map,Coronaviridae,High,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,TRUE,zoonotic
Orthoebolavirus sudanense,186540,Sudan virus disease (Ebola virus disease),Orthoebolavirus sudanense,Sudan virus disease (Ebola virus disease),identity,Filoviridae,High,Sudan ebolavirus,Orthoebolavirus sudanense,TRUE,zoonotic
Orthoebolavirus sudanense,3052460,Sudan virus disease (Ebola virus disease),Orthoebolavirus sudanense,Sudan virus disease (Ebola virus disease),identity,Filoviridae,High,Sudan ebolavirus,Orthoebolavirus sudanense,TRUE,zoonotic
Orthoebolavirus zairense,186538,Ebola virus disease,Orthoebolavirus zairense,Ebola virus disease,identity,Filoviridae,High,Ebola virus,Orthoebolavirus zairense,TRUE,zoonotic
Zaire ebolavirus,186538,,Orthoebolavirus zairense,Ebola virus disease,manual_synonym_map,Filoviridae,High,Ebola virus,Orthoebolavirus zairense,TRUE,zoonotic
Orthoebolavirus zairense,3052462,Ebola virus disease,Orthoebolavirus zairense,Ebola virus disease,identity,Filoviridae,High,Ebola virus,Orthoebolavirus zairense,TRUE,zoonotic
Orthomarburgvirus marburgense,3052505,Marburg virus disease,Orthomarburgvirus marburgense,Marburg virus disease,identity,Filoviridae,High,Marburg virus,Orthomarburgvirus marburgense,TRUE,zoonotic
Orthoflavivirus denguei,12637,Dengue,Orthoflavivirus denguei,Dengue,identity,Flaviviridae,High,Dengue virus,Orthoflavivirus denguei,TRUE,zoonotic
