Pathogen,Host_clean,Disease_name,HostTaxID,PathogenTaxID,PathogenGenus,PathogenFamily,PathogenOrder,PathogenClass,HostPhylum,HostClass,HostFamily,HostOrder,DetectionMethod,high_quality_detection,downstream_default_include,downstream_review_reason,in_gibb_etal,in_empres_i,PHEIC risk,MainSource
Mammarenavirus juninense,Homo sapiens,Argentine hemorrhagic fever,9606,2169991,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,NA,NA,NA,NA,Isolation/Observation,TRUE,TRUE,NA,TRUE,FALSE,High,VIRION
Mammarenavirus juninense,Homo sapiens,Argentine hemorrhagic fever,9606,2169991,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,NA,NA,NA,NA,Not specified,FALSE,FALSE,detection_method=Not specified,TRUE,FALSE,High,VIRION
Mammarenavirus juninense,Homo sapiens,Argentine hemorrhagic fever,9606,2169991,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,NA,NA,NA,NA,PCR/Sequencing,TRUE,TRUE,NA,TRUE,FALSE,High,VIRION
Mammarenavirus juninense,Mus musculus,Argentine hemorrhagic fever,10090,2169991,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,CHORDATA,MAMMALIA,MURIDAE,RODENTIA,Antibodies,FALSE,FALSE,detection_method=Antibodies,TRUE,FALSE,High,VIRION
Mammarenavirus juninense,Mus musculus,Argentine hemorrhagic fever,10090,2169991,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,CHORDATA,MAMMALIA,MURIDAE,RODENTIA,Isolation/Observation,TRUE,TRUE,NA,TRUE,FALSE,High,VIRION
Mammarenavirus juninense,Akodon azarae,Argentine hemorrhagic fever,29095,2169991,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,CHORDATA,MAMMALIA,CRICETIDAE,RODENTIA,Isolation/Observation,TRUE,TRUE,NA,TRUE,FALSE,High,VIRION
Mammarenavirus juninense,Calomys laucha,Argentine hemorrhagic fever,56211,2169991,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,CHORDATA,MAMMALIA,CRICETIDAE,RODENTIA,Isolation/Observation,TRUE,TRUE,NA,TRUE,FALSE,High,VIRION
Mammarenavirus juninense,Calomys laucha,Argentine hemorrhagic fever,56211,2169991,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,CHORDATA,MAMMALIA,CRICETIDAE,RODENTIA,PCR/Sequencing,TRUE,TRUE,NA,TRUE,FALSE,High,VIRION
Mammarenavirus juninense,Calomys musculinus,Argentine hemorrhagic fever,56212,2169991,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,CHORDATA,MAMMALIA,CRICETIDAE,RODENTIA,Isolation/Observation,TRUE,TRUE,NA,TRUE,FALSE,High,VIRION
Mammarenavirus juninense,Calomys musculinus,Argentine hemorrhagic fever,56212,2169991,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,CHORDATA,MAMMALIA,CRICETIDAE,RODENTIA,PCR/Sequencing,TRUE,TRUE,NA,TRUE,FALSE,High,VIRION
