efsa_pathogen,efsa_pathogen_clean,efsa_abbreviation,vector_species,vector_group,vector_status,field_results,laboratory_results,vn_database_species,vn_priority_species,source,vector_species_raw
African horse sickness virus,african horse sickness virus,AHSV,Culicoides obsoletus s.l.,biting_midge,potential,,positive,yes,yes,EFSA Appendix G,Culicoides obsoletus s.l.
African horse sickness virus,african horse sickness virus,AHSV,Culicoides scoticus,biting_midge,potential,,positive,yes,yes,EFSA Appendix G,Culicoides scoticus
African swine fever virus,african swine fever virus,ASFV,Ornithodoros erraticus,tick,potential,,positive,yes,yes,EFSA Appendix G,Ornithodoros erraticus
African swine fever virus,african swine fever virus,ASFV,Ornithodoros moubata,tick,potential,,positive,no,no,EFSA Appendix G,Ornithodoros moubata
African swine fever virus,african swine fever virus,ASFV,Ornithodoros moubata s.l.,tick,potential,positive,,no,no,EFSA Appendix G,Ornithodoros moubata s.l.
African swine fever virus,african swine fever virus,ASFV,Ornithodoros porcinus porcinus,tick,potential,positive,,no,no,EFSA Appendix G,Ornithodoros porcinus porcinus*
Akabane virus,akabane virus,AKAV,Culicoides imicola,biting_midge,potential,positive,,yes,yes,EFSA Appendix G,Culicoides imicola
Akabane virus,akabane virus,AKAV,Culicoides oxystoma,biting_midge,potential,,positive,yes,yes,EFSA Appendix G,Culicoides oxystoma
Akabane virus,akabane virus,AKAV,Culicoides tainanus,biting_midge,potential,,positive,no,no,EFSA Appendix G,Culicoides tainanus
Bluetongue virus,bluetongue virus,BTV,Culicoides fulvus,biting_midge,potential,positive,,no,no,EFSA Appendix G,Culicoides fulvus
Bluetongue virus,bluetongue virus,BTV,Culicoides imicola,biting_midge,highly_likely,positive,positive,yes,yes,EFSA Appendix G,Culicoides imicola
Bluetongue virus,bluetongue virus,BTV,Culicoides obsoletus complex,biting_midge,potential,positive,,yes,yes,EFSA Appendix G,Culicoides obsoletus complex
Bluetongue virus,bluetongue virus,BTV,Culicoides obsoletus s.l.,biting_midge,potential,,positive,yes,yes,EFSA Appendix G,Culicoides obsoletus s.l.
Bluetongue virus,bluetongue virus,BTV,Culicoides orientalis,biting_midge,potential,positive,,no,no,EFSA Appendix G,Culicoides orientalis
Bluetongue virus,bluetongue virus,BTV,Culicoides oxystoma,biting_midge,potential,positive,,yes,no,EFSA Appendix G,Culicoides oxystoma
Bluetongue virus,bluetongue virus,BTV,Culicoides pulicaris,biting_midge,potential,positive,,yes,yes,EFSA Appendix G,Culicoides pulicaris
Bluetongue virus,bluetongue virus,BTV,Culicoides scoticus,biting_midge,potential,,positive,yes,yes,EFSA Appendix G,Culicoides scoticus
Bluetongue virus,bluetongue virus,BTV,Culicoides sonorensis,biting_midge,potential,,positive,no,no,EFSA Appendix G,Culicoides sonorensis
Bluetongue virus,bluetongue virus,BTV,Culicoides tainanus,biting_midge,potential,positive,,no,no,EFSA Appendix G,Culicoides tainanus
Bovine ephemeral fever virus,bovine ephemeral fever virus,BEFV,Culicoides sonorensis,biting_midge,potential,,positive,no,no,EFSA Appendix G,Culicoides sonorensis
Cache Valley virus,cache valley virus,CVV,Aedes aegypti,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Aedes aegypti
Cache Valley virus,cache valley virus,CVV,Aedes albopictus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Aedes albopictus
Cache Valley virus,cache valley virus,CVV,Aedes japonicus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Aedes japonicus
Cache Valley virus,cache valley virus,CVV,Aedes triseriatus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Aedes triseriatus
Cache Valley virus,cache valley virus,CVV,Anopheles gambiae,mosquito,potential,positive,,yes,no,EFSA Appendix G,Anopheles gambiae
Cache Valley virus,cache valley virus,CVV,Anopheles quadrimaculatus,mosquito,potential,,positive,no,no,EFSA Appendix G,Anopheles quadrimaculatus
Cache Valley virus,cache valley virus,CVV,Culex tarsalis,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex tarsalis
Cache Valley virus,cache valley virus,CVV,Culex univittatus,mosquito,potential,positive,,yes,yes,EFSA Appendix G,Culex univittatus
Crimean-Congo haemorrhagic fever virus,crimean congo hemorrhagic fever virus,CCHFV,Hyalomma aegyptium,tick,potential,positive,,yes,no,EFSA Appendix G,Hyalomma aegyptium
Crimean-Congo haemorrhagic fever virus,crimean congo hemorrhagic fever virus,CCHFV,Hyalomma anatolicum,tick,potential,positive,,yes,no,EFSA Appendix G,Hyalomma anatolicum
Crimean-Congo haemorrhagic fever virus,crimean congo hemorrhagic fever virus,CCHFV,Hyalomma asiaticum,tick,potential,positive,,no,no,EFSA Appendix G,Hyalomma asiaticum
Crimean-Congo haemorrhagic fever virus,crimean congo hemorrhagic fever virus,CCHFV,Hyalomma marginatum,tick,potential,positive,,yes,yes,EFSA Appendix G,Hyalomma marginatum
Eastern equine encephalitis virus,eastern equine encephalitis virus,EEEV,Culiseta melanura,mosquito,potential,positive,,no,no,EFSA Appendix G,Culiseta melanura
Ehrlichia ruminantium,ehrlichia ruminantium,Cowdr,Amblyomma hebraeum,tick,highly_likely,positive,positive,no,no,EFSA Appendix G,Amblyomma hebraeum
Ehrlichia ruminantium,ehrlichia ruminantium,Cowdr,Amblyomma variegatum,tick,potential,positive,,no,no,EFSA Appendix G,Amblyomma variegatum
Epizootic hemorrhagic disease virus,epizootic hemorrhagic disease virus,EHDV/IBAV,Culicoldes insignis,biting_midge,potential,,positive,no,no,EFSA Appendix G,Culicoldes insignis
Epizootic hemorrhagic disease virus,epizootic hemorrhagic disease virus,EHDV/IBAV,Culicoldes obsoletus s.l.,biting_midge,potential,,positive,yes,yes,EFSA Appendix G,Culicoldes obsoletus s.l.
Epizootic hemorrhagic disease virus,epizootic hemorrhagic disease virus,EHDV/IBAV,Culicoldes scoticus,biting_midge,potential,,positive,yes,yes,EFSA Appendix G,Culicoldes scoticus
