efsa_pathogen_id,abbreviation,abbreviation_clean,species_name,species_name_clean,isolate_virus_name,isolate_virus_name_clean,efsa_pathogen_raw,efsa_pathogen_clean,efsa_disease_candidate,efsa_disease_candidate_clean,pathogen_family,pathogen_genus,oie_notifiable,oie_notifiable_raw
efsa_ahfv,AHFV,ahfv,Alkhurma haemorrhagic fever virus,alkhurma hemorrhagic fever virus,Alkhurma haemorrhagic fever virus,alkhurma hemorrhagic fever virus,Alkhurma haemorrhagic fever virus,alkhurma hemorrhagic fever virus,Alkhurma haemorrhagic fever,alkhurma hemorrhagic fever,Flaviviridae,Flavivirus,no,No
efsa_ahsv,AHSV,ahsv,African horse sickness virus,african horse sickness virus,African horse sickness virus,african horse sickness virus,African horse sickness virus,african horse sickness virus,African horse sickness,african horse sickness,Reoviridae,Orbivirus,yes,Yes
efsa_ainov,AINOV,ainov,Aino virus,aino virus,Aino virus,aino virus,Aino virus,aino virus,Aino,aino,Bunyaviridae,Orthobunyavirus,no,No
efsa_akav,AKAV,akav,Akabane virus,akabane virus,Akabane virus,akabane virus,Akabane virus,akabane virus,Akabane,akabane,Bunyaviridae,Orthobunyavirus,no,No
efsa_asfv,ASFV,asfv,African swine fever virus,african swine fever virus,African swine fever virus,african swine fever virus,African swine fever virus,african swine fever virus,African swine fever,african swine fever,Asfarviridae,Asfivirus,yes,Yes
efsa_befv,BEFV,befv,Bovine ephemeral fever virus,bovine ephemeral fever virus,Bovine ephemeral fever virus,bovine ephemeral fever virus,Bovine ephemeral fever virus,bovine ephemeral fever virus,Bovine ephemeral fever,bovine ephemeral fever,Rhabdoviridae,Ephemerovirus,no,No
efsa_bhav,BHAV,bhav,Bhanja virus,bhanja virus,Bhanja virus,bhanja virus,Bhanja virus,bhanja virus,Bhanja,bhanja,Bunyaviridae,unassigned,no,No
efsa_btv,BTV,btv,Bluetongue virus,bluetongue virus,Bluetongue virus,bluetongue virus,Bluetongue virus,bluetongue virus,Bluetongue,bluetongue,Reoviridae,Orbivirus,yes,Yes
efsa_cchfv,CCHFV,cchfv,Crimean-Congo haemorrhagic fever virus,crimean congo hemorrhagic fever virus,Crimean-Congo haemorrhagic fever virus,crimean congo hemorrhagic fever virus,Crimean-Congo haemorrhagic fever virus,crimean congo hemorrhagic fever virus,Crimean-Congo haemorrhagic fever,crimean congo hemorrhagic fever,Bunyaviridae,Nairovirus,yes,Yes
efsa_cvv,CVV,cvv,Bunyamwera virus,bunyamwera virus,Cache Valley virus,cache valley virus,Cache Valley virus,cache valley virus,Cache Valley,cache valley,Bunyaviridae,Orthobunyavirus,no,No
