disease,v_species,v_group,evidence_level,evidence_basis,location,source,notes,record_source
chikungunya,Aedes aegypti,mosquito,confirmed,review,global,"(Delrieu et al., 2023)",,lit_review
chikungunya,Aedes albopictus,mosquito,confirmed,review,global,"(Delrieu et al., 2023)",,lit_review
chikungunya,Aedes aegypti,mosquito,confirmed,review,Africa; Asia; Americas,"(Higgs and Vanlandingham, 2015)",primary vector,lit_review
chikungunya,Aedes albopictus,mosquito,confirmed,review,Africa; Asia; Europe; Americas,"(Higgs and Vanlandingham, 2015)",primary/major vector,lit_review
chikungunya,Aedes africanus,mosquito,probable,review,Africa,"(Higgs and Vanlandingham, 2015)",sylvatic cycle,lit_review
chikungunya,Aedes luteocephalus,mosquito,probable,review,Africa,"(Higgs and Vanlandingham, 2015)",sylvatic cycle,lit_review
chikungunya,Aedes furcifer-taylori,mosquito,probable,review,Africa,"(Higgs and Vanlandingham, 2015)",sylvatic cycle,lit_review
chikungunya,Aedes fulgens,mosquito,candidate,review,,"(Higgs and Vanlandingham, 2015)",lab competence,lit_review
chikungunya,Aedes furcifer,mosquito,candidate,review,,"(Higgs and Vanlandingham, 2015)",lab competence,lit_review
chikungunya,Aedes togoi,mosquito,candidate,review,,"(Higgs and Vanlandingham, 2015)",lab competence,lit_review
chikungunya,Aedes triseriatus,mosquito,candidate,review,,"(Higgs and Vanlandingham, 2015)",lab competence,lit_review
chikungunya,Aedes vexans,mosquito,candidate,review,,"(Higgs and Vanlandingham, 2015)",lab competence,lit_review
chikungunya,Aedes vittatus,mosquito,candidate,review,,"(Higgs and Vanlandingham, 2015)",lab competence,lit_review
chikungunya,Eretmapodites chrysogaster,mosquito,candidate,review,,"(Higgs and Vanlandingham, 2015)",lab competence,lit_review
chikungunya,Opifex fuscus,mosquito,candidate,review,,"(Higgs and Vanlandingham, 2015)",lab competence,lit_review
chikungunya,Aedes hensilli,mosquito,probable,review,"Yap Island, Federated States of Micronesia","(Higgs and Vanlandingham, 2015)",outbreak-associated; limited evidence,lit_review
chikungunya,Aedes hensilli,mosquito,candidate,lab,"Yap Island, Federated States of Micronesia","(Ledermann et al., 2014)",lab susceptible,lit_review
chikungunya,Aedes aegypti,mosquito,probable,lab,Australia,"(Van Den Hurk et al., 2010)",major potential vector; efficient laboratory vector,lit_review
chikungunya,Aedes albopictus,mosquito,probable,lab,Australia,"(Van Den Hurk et al., 2010)",moderately efficient laboratory vector,lit_review
chikungunya,Aedes procax,mosquito,probable,lab,Australia,"(Van Den Hurk et al., 2010)",efficient laboratory vector,lit_review
chikungunya,Aedes vigilax,mosquito,probable,lab,Australia,"(Van Den Hurk et al., 2010)",efficient laboratory vector,lit_review
chikungunya,Coquillettidia linealis,mosquito,probable,lab,Australia,"(Van Den Hurk et al., 2010)",efficient laboratory vector,lit_review
chikungunya,Aedes notoscriptus,mosquito,candidate,lab,Australia,"(Van Den Hurk et al., 2010)",lower transmission; midgut escape barrier,lit_review
chikungunya,Verrallina funerea,mosquito,candidate,lab,Australia,"(Van Den Hurk et al., 2010)",low transmission,lit_review
chikungunya,Culex annulirostris,mosquito,weak,lab,Australia,"(Van Den Hurk et al., 2010)",poor laboratory vector; low transmission,lit_review
chikungunya,Culex sitiens,mosquito,weak,lab,Australia,"(Van Den Hurk et al., 2010)",poor laboratory vector; very low transmission,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma marginatum,tick,confirmed,review,Europe,Celina et al. 2023,principal vector,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma rufipes,tick,probable,review,Central Europe,Celina et al. 2023,another significant vector,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma marginatum,tick,confirmed,review,Old World,Celina et al. 2025,primary vector,lit_review
Crimean-Congo haemorrhagic fever,Amblyomma variegatum,tick,confirmed,review,,Celina et al. 2025,confirmed vector,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma aegyptium,tick,confirmed,review,,Celina et al. 2025,confirmed vector,lit_review
