disease,v_species,v_group,evidence_level,evidence_basis,location,source,notes,record_source,disease_name_clean,disease_name_stem,v_species_clean,v_group_clean,network_disease_name,alias_match_network_disease_name,alias_match_type,stem_match_network_disease_name,stem_match_type,matched_network_disease_name,disease_match_method
chikungunya,Aedes aegypti,mosquito,confirmed,review,global,"(Delrieu et al., 2023)",,lit_review,chikungunya,chikungunya,aedes aegypti,mosquito,,Chikungunya fever,disease_name_stem,Chikungunya fever,disease_name_stem,Chikungunya fever,alias_disease_name_stem
chikungunya,Aedes albopictus,mosquito,confirmed,review,global,"(Delrieu et al., 2023)",,lit_review,chikungunya,chikungunya,aedes albopictus,mosquito,,Chikungunya fever,disease_name_stem,Chikungunya fever,disease_name_stem,Chikungunya fever,alias_disease_name_stem
chikungunya,Aedes aegypti,mosquito,confirmed,review,Africa; Asia; Americas,"(Higgs and Vanlandingham, 2015)",primary vector,lit_review,chikungunya,chikungunya,aedes aegypti,mosquito,,Chikungunya fever,disease_name_stem,Chikungunya fever,disease_name_stem,Chikungunya fever,alias_disease_name_stem
chikungunya,Aedes albopictus,mosquito,confirmed,review,Africa; Asia; Europe; Americas,"(Higgs and Vanlandingham, 2015)",primary/major vector,lit_review,chikungunya,chikungunya,aedes albopictus,mosquito,,Chikungunya fever,disease_name_stem,Chikungunya fever,disease_name_stem,Chikungunya fever,alias_disease_name_stem
chikungunya,Aedes africanus,mosquito,probable,review,Africa,"(Higgs and Vanlandingham, 2015)",sylvatic cycle,lit_review,chikungunya,chikungunya,aedes africanus,mosquito,,Chikungunya fever,disease_name_stem,Chikungunya fever,disease_name_stem,Chikungunya fever,alias_disease_name_stem
chikungunya,Aedes luteocephalus,mosquito,probable,review,Africa,"(Higgs and Vanlandingham, 2015)",sylvatic cycle,lit_review,chikungunya,chikungunya,aedes luteocephalus,mosquito,,Chikungunya fever,disease_name_stem,Chikungunya fever,disease_name_stem,Chikungunya fever,alias_disease_name_stem
chikungunya,Aedes furcifer-taylori,mosquito,probable,review,Africa,"(Higgs and Vanlandingham, 2015)",sylvatic cycle,lit_review,chikungunya,chikungunya,aedes furcifer taylori,mosquito,,Chikungunya fever,disease_name_stem,Chikungunya fever,disease_name_stem,Chikungunya fever,alias_disease_name_stem
chikungunya,Aedes fulgens,mosquito,candidate,review,,"(Higgs and Vanlandingham, 2015)",lab competence,lit_review,chikungunya,chikungunya,aedes fulgens,mosquito,,Chikungunya fever,disease_name_stem,Chikungunya fever,disease_name_stem,Chikungunya fever,alias_disease_name_stem
chikungunya,Aedes furcifer,mosquito,candidate,review,,"(Higgs and Vanlandingham, 2015)",lab competence,lit_review,chikungunya,chikungunya,aedes furcifer,mosquito,,Chikungunya fever,disease_name_stem,Chikungunya fever,disease_name_stem,Chikungunya fever,alias_disease_name_stem
chikungunya,Aedes togoi,mosquito,candidate,review,,"(Higgs and Vanlandingham, 2015)",lab competence,lit_review,chikungunya,chikungunya,aedes togoi,mosquito,,Chikungunya fever,disease_name_stem,Chikungunya fever,disease_name_stem,Chikungunya fever,alias_disease_name_stem
chikungunya,Aedes triseriatus,mosquito,candidate,review,,"(Higgs and Vanlandingham, 2015)",lab competence,lit_review,chikungunya,chikungunya,aedes triseriatus,mosquito,,Chikungunya fever,disease_name_stem,Chikungunya fever,disease_name_stem,Chikungunya fever,alias_disease_name_stem
chikungunya,Aedes vexans,mosquito,candidate,review,,"(Higgs and Vanlandingham, 2015)",lab competence,lit_review,chikungunya,chikungunya,aedes vexans,mosquito,,Chikungunya fever,disease_name_stem,Chikungunya fever,disease_name_stem,Chikungunya fever,alias_disease_name_stem
chikungunya,Aedes vittatus,mosquito,candidate,review,,"(Higgs and Vanlandingham, 2015)",lab competence,lit_review,chikungunya,chikungunya,aedes vittatus,mosquito,,Chikungunya fever,disease_name_stem,Chikungunya fever,disease_name_stem,Chikungunya fever,alias_disease_name_stem
chikungunya,Eretmapodites chrysogaster,mosquito,candidate,review,,"(Higgs and Vanlandingham, 2015)",lab competence,lit_review,chikungunya,chikungunya,eretmapodites chrysogaster,mosquito,,Chikungunya fever,disease_name_stem,Chikungunya fever,disease_name_stem,Chikungunya fever,alias_disease_name_stem
chikungunya,Opifex fuscus,mosquito,candidate,review,,"(Higgs and Vanlandingham, 2015)",lab competence,lit_review,chikungunya,chikungunya,opifex fuscus,mosquito,,Chikungunya fever,disease_name_stem,Chikungunya fever,disease_name_stem,Chikungunya fever,alias_disease_name_stem
chikungunya,Aedes hensilli,mosquito,probable,review,"Yap Island, Federated States of Micronesia","(Higgs and Vanlandingham, 2015)",outbreak-associated; limited evidence,lit_review,chikungunya,chikungunya,aedes hensilli,mosquito,,Chikungunya fever,disease_name_stem,Chikungunya fever,disease_name_stem,Chikungunya fever,alias_disease_name_stem
chikungunya,Aedes hensilli,mosquito,candidate,lab,"Yap Island, Federated States of Micronesia","(Ledermann et al., 2014)",lab susceptible,lit_review,chikungunya,chikungunya,aedes hensilli,mosquito,,Chikungunya fever,disease_name_stem,Chikungunya fever,disease_name_stem,Chikungunya fever,alias_disease_name_stem
chikungunya,Aedes aegypti,mosquito,probable,lab,Australia,"(Van Den Hurk et al., 2010)",major potential vector; efficient laboratory vector,lit_review,chikungunya,chikungunya,aedes aegypti,mosquito,,Chikungunya fever,disease_name_stem,Chikungunya fever,disease_name_stem,Chikungunya fever,alias_disease_name_stem
chikungunya,Aedes albopictus,mosquito,probable,lab,Australia,"(Van Den Hurk et al., 2010)",moderately efficient laboratory vector,lit_review,chikungunya,chikungunya,aedes albopictus,mosquito,,Chikungunya fever,disease_name_stem,Chikungunya fever,disease_name_stem,Chikungunya fever,alias_disease_name_stem
chikungunya,Aedes procax,mosquito,probable,lab,Australia,"(Van Den Hurk et al., 2010)",efficient laboratory vector,lit_review,chikungunya,chikungunya,aedes procax,mosquito,,Chikungunya fever,disease_name_stem,Chikungunya fever,disease_name_stem,Chikungunya fever,alias_disease_name_stem
chikungunya,Aedes vigilax,mosquito,probable,lab,Australia,"(Van Den Hurk et al., 2010)",efficient laboratory vector,lit_review,chikungunya,chikungunya,aedes vigilax,mosquito,,Chikungunya fever,disease_name_stem,Chikungunya fever,disease_name_stem,Chikungunya fever,alias_disease_name_stem
chikungunya,Coquillettidia linealis,mosquito,probable,lab,Australia,"(Van Den Hurk et al., 2010)",efficient laboratory vector,lit_review,chikungunya,chikungunya,coquillettidia linealis,mosquito,,Chikungunya fever,disease_name_stem,Chikungunya fever,disease_name_stem,Chikungunya fever,alias_disease_name_stem
chikungunya,Aedes notoscriptus,mosquito,candidate,lab,Australia,"(Van Den Hurk et al., 2010)",lower transmission; midgut escape barrier,lit_review,chikungunya,chikungunya,aedes notoscriptus,mosquito,,Chikungunya fever,disease_name_stem,Chikungunya fever,disease_name_stem,Chikungunya fever,alias_disease_name_stem
chikungunya,Verrallina funerea,mosquito,candidate,lab,Australia,"(Van Den Hurk et al., 2010)",low transmission,lit_review,chikungunya,chikungunya,verrallina funerea,mosquito,,Chikungunya fever,disease_name_stem,Chikungunya fever,disease_name_stem,Chikungunya fever,alias_disease_name_stem
chikungunya,Culex annulirostris,mosquito,weak,lab,Australia,"(Van Den Hurk et al., 2010)",poor laboratory vector; low transmission,lit_review,chikungunya,chikungunya,culex annulirostris,mosquito,,Chikungunya fever,disease_name_stem,Chikungunya fever,disease_name_stem,Chikungunya fever,alias_disease_name_stem
chikungunya,Culex sitiens,mosquito,weak,lab,Australia,"(Van Den Hurk et al., 2010)",poor laboratory vector; very low transmission,lit_review,chikungunya,chikungunya,culex sitiens,mosquito,,Chikungunya fever,disease_name_stem,Chikungunya fever,disease_name_stem,Chikungunya fever,alias_disease_name_stem
Crimean-Congo haemorrhagic fever,Hyalomma marginatum,tick,confirmed,review,Europe,Celina et al. 2023,principal vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,hyalomma marginatum,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Hyalomma rufipes,tick,probable,review,Central Europe,Celina et al. 2023,another significant vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,hyalomma rufipes,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Hyalomma marginatum,tick,confirmed,review,Old World,Celina et al. 2025,primary vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,hyalomma marginatum,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Amblyomma variegatum,tick,confirmed,review,,Celina et al. 2025,confirmed vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,amblyomma variegatum,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Hyalomma aegyptium,tick,confirmed,review,,Celina et al. 2025,confirmed vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,hyalomma aegyptium,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Hyalomma anatolicum,tick,confirmed,review,,Celina et al. 2025,confirmed vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,hyalomma anatolicum,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Hyalomma asiaticum,tick,confirmed,review,,Celina et al. 2025,confirmed vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,hyalomma asiaticum,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Hyalomma asiaticum kozlovi,tick,confirmed,review,,Celina et al. 2025,confirmed vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,hyalomma asiaticum kozlovi,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Hyalomma detritum,tick,confirmed,review,,Celina et al. 2025,confirmed vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,hyalomma detritum,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Hyalomma dromedarii,tick,confirmed,review,,Celina et al. 2025,confirmed vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,hyalomma dromedarii,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Hyalomma excavatum,tick,confirmed,review,,Celina et al. 2025,confirmed vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,hyalomma excavatum,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Hyalomma impeltatum,tick,confirmed,review,,Celina et al. 2025,confirmed vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,hyalomma impeltatum,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Hyalomma rufipes,tick,confirmed,review,,Celina et al. 2025,confirmed vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,hyalomma rufipes,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Hyalomma schulzei,tick,confirmed,review,,Celina et al. 2025,confirmed vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,hyalomma schulzei,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Hyalomma truncatum,tick,confirmed,review,,Celina et al. 2025,confirmed vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,hyalomma truncatum,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Hyalomma turanicum,tick,confirmed,review,,Celina et al. 2025,confirmed vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,hyalomma turanicum,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Rhipicephalus bursa,tick,confirmed,review,,Celina et al. 2025,confirmed vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,rhipicephalus bursa,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Dermacentor marginatus,tick,candidate,review,,Celina et al. 2025,potential vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,dermacentor marginatus,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Dermacentor nuttalli,tick,candidate,review,,Celina et al. 2025,potential vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,dermacentor nuttalli,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Haemaphysalis concinna,tick,candidate,review,,Celina et al. 2025,potential vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,haemaphysalis concinna,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Haemaphysalis inermis,tick,candidate,review,,Celina et al. 2025,potential vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,haemaphysalis inermis,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Haemaphysalis parva,tick,candidate,review,,Celina et al. 2025,potential vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,haemaphysalis parva,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Haemaphysalis punctata,tick,candidate,review,,Celina et al. 2025,potential vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,haemaphysalis punctata,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Haemaphysalis sulcata,tick,candidate,review,,Celina et al. 2025,potential vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,haemaphysalis sulcata,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Ixodes ricinus,tick,candidate,review,,Celina et al. 2025,potential vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,ixodes ricinus,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Rhipicephalus (Boophilus) annulatus,tick,candidate,review,,Celina et al. 2025,potential vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,rhipicephalus boophilus annulatus,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Rhipicephalus appendiculatus,tick,candidate,review,,Celina et al. 2025,potential vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,rhipicephalus appendiculatus,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Rhipicephalus (Boophilus) decoloratus,tick,candidate,review,,Celina et al. 2025,potential vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,rhipicephalus boophilus decoloratus,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Rhipicephalus evertsi evertsi,tick,candidate,review,,Celina et al. 2025,potential vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,rhipicephalus evertsi evertsi,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Rhipicephalus geigyi,tick,candidate,review,,Celina et al. 2025,potential vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,rhipicephalus geigyi,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Rhipicephalus guilhoni,tick,candidate,review,,Celina et al. 2025,potential vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,rhipicephalus guilhoni,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Rhipicephalus sanguineus,tick,candidate,review,,Celina et al. 2025,potential vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,rhipicephalus sanguineus,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Rhipicephalus turanicus,tick,candidate,review,,Celina et al. 2025,potential vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,rhipicephalus turanicus,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Hyalomma spp.,tick,confirmed,review,Africa/Asia/Southern Europe,de la Fuente et al. 2017,principal vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,hyalomma spp,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Hyalomma marginatum,tick,confirmed,field+lab,,EFSA 2010,s.l. complex principal vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,hyalomma marginatum,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Hyalomma rufipes,tick,candidate,lab,,EFSA 2010,potential vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,hyalomma rufipes,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Hyalomma truncatum,tick,probable,lab,,EFSA 2010,experimental transmission,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,hyalomma truncatum,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Hyalomma scupense,tick,candidate,review,,EFSA 2010,syn Hy. detritum potential vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,hyalomma scupense,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Hyalomma anatolicum,tick,candidate,review,,EFSA 2010,potential vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,hyalomma anatolicum,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Hyalomma excavatum,tick,candidate,review,,EFSA 2010,potential vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,hyalomma excavatum,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Hyalomma dromedarii,tick,candidate,review,,EFSA 2010,potential vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,hyalomma dromedarii,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Hyalomma impeltatum,tick,probable,lab,,EFSA 2010,experimental transmission,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,hyalomma impeltatum,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
