disease_name_clean,disease_examples,disease_name_stem,n_rows,record_sources
leishmania infantum,Leishmania infantum,leishmania infantum,22,EFSA
japanese encephalitis virus,Japanese encephalitis virus,japanese encephalitis,20,EFSA
bluetongue virus,Bluetongue virus,bluetongue,10,EFSA
cache valley virus,Cache Valley virus,cache valley,8,EFSA
schmallenberg virus,Schmallenberg virus,schmallenberg,8,EFSA
st louis encephalitis virus,St. Louis encephalitis virus,st louis encephalitis,7,EFSA
western equine encephalitis virus,Western equine encephalitis virus,western equine encephalitis,5,EFSA
african swine fever virus,African swine fever virus,african swine,4,EFSA
epizootic hemorrhagic disease virus,Epizootic hemorrhagic disease virus,epizootic hemorrhagic,4,EFSA
akabane virus,Akabane virus,akabane,3,EFSA
getah virus,Getah virus,getah,3,EFSA
african horse sickness virus,African horse sickness virus,african horse sickness,2,EFSA
ehrlichia ruminantium,Ehrlichia ruminantium,ehrlichia ruminantium,2,EFSA
yunnan orbivirus,Yunnan orbivirus,yunnan orbivirus,2,EFSA
bovine ephemeral fever virus,Bovine ephemeral fever virus,bovine ephemeral,1,EFSA
eastern equine encephalitis virus,Eastern equine encephalitis virus,eastern equine encephalitis,1,EFSA
hepatozoon canis,Hepatozoon canis,hepatozoon canis,1,EFSA
highlands j virus,Highlands J virus,highlands j,1,EFSA
thogoto virus,Thogoto virus,thogoto,1,EFSA
vesicular stomatitis alagoas virus,Vesicular stomatitis - Alagoas virus,vesicular stomatitis alagoas,1,EFSA
