disease_name,disease_name_clean,pathogen,pathogen_tax_id,pathogen_type,pheic_risk,pathogen_family,pathogen_genus,screen_status,priority_tier,likely_vector_group,screening_source_key,screening_basis,disease_rows_in_network,host_count_in_network,candidate_vector_species,candidate_vector_genus,candidate_vector_family,candidate_vector_group,vector_status,evidence_type,evidence_strength,source_org,source_title,source_url,source_accessed,notes,next_action,assignment_basis,vector_evidence_basis,vector_record_sources,vector_supporting_row_count
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,3426298,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,10,10,Aedes aegypti,Aedes,,mosquito,inherited_from_disease_level,disease_vector_evidence,confirmed,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,3
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,37124,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,14,14,Aedes aegypti,Aedes,,mosquito,inherited_from_disease_level,disease_vector_evidence,confirmed,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,3
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,3426298,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,10,10,Aedes africanus,Aedes,,mosquito,inherited_from_disease_level,disease_vector_evidence,probable,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,37124,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,14,14,Aedes africanus,Aedes,,mosquito,inherited_from_disease_level,disease_vector_evidence,probable,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,3426298,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,10,10,Aedes albopictus,Aedes,,mosquito,inherited_from_disease_level,disease_vector_evidence,confirmed,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,3
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,37124,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,14,14,Aedes albopictus,Aedes,,mosquito,inherited_from_disease_level,disease_vector_evidence,confirmed,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,3
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,3426298,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,10,10,Aedes fulgens,Aedes,,mosquito,inherited_from_disease_level,disease_vector_evidence,candidate,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,37124,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,14,14,Aedes fulgens,Aedes,,mosquito,inherited_from_disease_level,disease_vector_evidence,candidate,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,3426298,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,10,10,Aedes furcifer,Aedes,,mosquito,inherited_from_disease_level,disease_vector_evidence,candidate,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,1
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,37124,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,14,14,Aedes furcifer,Aedes,,mosquito,inherited_from_disease_level,disease_vector_evidence,candidate,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup,disease_level_inherited,review,lit_review,1
