Host,Virus,PHEIC risk,Pathogens,Disease_name,previous_name,msl39_viral_name,in_gibb_etal,in_empres_i,Virion_VirusName,HostTaxID,HostGenus,HostFamily,HostOrder,HostClass,VirusTaxID,VirusGenus,VirusFamily,VirusOrder,VirusClass,DetectionMethod,HostFlagID,high_quality_detection,downstream_default_include,downstream_review_reason
homo sapiens,mammarenavirus juninense,High,Mammarenavirus juninense,Argentine hemorrhagic fever,Junin virus,Mammarenavirus juninense,TRUE,FALSE,mammarenavirus juninense,9606,homo,hominidae,primates,mammalia,2169991,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,Isolation/Observation,FALSE,TRUE,TRUE,NA
homo sapiens,mammarenavirus juninense,High,Mammarenavirus juninense,Argentine hemorrhagic fever,Junin virus,Mammarenavirus juninense,TRUE,FALSE,mammarenavirus juninense,9606,homo,hominidae,primates,mammalia,2169991,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,Not specified,FALSE,FALSE,FALSE,detection_method=Not specified
homo sapiens,mammarenavirus juninense,High,Mammarenavirus juninense,Argentine hemorrhagic fever,Junin virus,Mammarenavirus juninense,TRUE,FALSE,mammarenavirus juninense,9606,homo,hominidae,primates,mammalia,2169991,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
mus musculus,mammarenavirus juninense,High,Mammarenavirus juninense,Argentine hemorrhagic fever,Junin virus,Mammarenavirus juninense,TRUE,FALSE,mammarenavirus juninense,10090,mus,muridae,rodentia,mammalia,2169991,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,Antibodies,FALSE,FALSE,FALSE,detection_method=Antibodies
mus musculus,mammarenavirus juninense,High,Mammarenavirus juninense,Argentine hemorrhagic fever,Junin virus,Mammarenavirus juninense,TRUE,FALSE,mammarenavirus juninense,10090,mus,muridae,rodentia,mammalia,2169991,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,Isolation/Observation,FALSE,TRUE,TRUE,NA
akodon azarae,mammarenavirus juninense,High,Mammarenavirus juninense,Argentine hemorrhagic fever,Junin virus,Mammarenavirus juninense,TRUE,FALSE,mammarenavirus juninense,29095,akodon,cricetidae,rodentia,mammalia,2169991,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,Isolation/Observation,FALSE,TRUE,TRUE,NA
calomys laucha,mammarenavirus juninense,High,Mammarenavirus juninense,Argentine hemorrhagic fever,Junin virus,Mammarenavirus juninense,TRUE,FALSE,mammarenavirus juninense,56211,calomys,cricetidae,rodentia,mammalia,2169991,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,Isolation/Observation,FALSE,TRUE,TRUE,NA
calomys laucha,mammarenavirus juninense,High,Mammarenavirus juninense,Argentine hemorrhagic fever,Junin virus,Mammarenavirus juninense,TRUE,FALSE,mammarenavirus juninense,56211,calomys,cricetidae,rodentia,mammalia,2169991,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
calomys musculinus,mammarenavirus juninense,High,Mammarenavirus juninense,Argentine hemorrhagic fever,Junin virus,Mammarenavirus juninense,TRUE,FALSE,mammarenavirus juninense,56212,calomys,cricetidae,rodentia,mammalia,2169991,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,Isolation/Observation,FALSE,TRUE,TRUE,NA
calomys musculinus,mammarenavirus juninense,High,Mammarenavirus juninense,Argentine hemorrhagic fever,Junin virus,Mammarenavirus juninense,TRUE,FALSE,mammarenavirus juninense,56212,calomys,cricetidae,rodentia,mammalia,2169991,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
oxymycterus rufus,mammarenavirus juninense,High,Mammarenavirus juninense,Argentine hemorrhagic fever,Junin virus,Mammarenavirus juninense,TRUE,FALSE,mammarenavirus juninense,56230,oxymycterus,cricetidae,rodentia,mammalia,2169991,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,Antibodies,FALSE,FALSE,FALSE,detection_method=Antibodies
calomys sp.,mammarenavirus juninense,High,Mammarenavirus juninense,Argentine hemorrhagic fever,Junin virus,Mammarenavirus juninense,TRUE,FALSE,mammarenavirus juninense,160457,calomys,cricetidae,rodentia,mammalia,2169991,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
oligoryzomys flavescens,mammarenavirus juninense,High,Mammarenavirus juninense,Argentine hemorrhagic fever,Junin virus,Mammarenavirus juninense,TRUE,FALSE,mammarenavirus juninense,218824,oligoryzomys,cricetidae,rodentia,mammalia,2169991,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,Isolation/Observation,FALSE,TRUE,TRUE,NA
oligoryzomys flavescens,mammarenavirus juninense,High,Mammarenavirus juninense,Argentine hemorrhagic fever,Junin virus,Mammarenavirus juninense,TRUE,FALSE,mammarenavirus juninense,218824,oligoryzomys,cricetidae,rodentia,mammalia,2169991,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
