master_list_source,master_row,disease_master_name,pathogen_family_master,in_master_who,in_master_gibb,in_master_empres_i,in_master_atlas,master_gbif_checked,master_guild,master_livestock_amplified,master_tier,master_key_host_vector,master_notes,name_resolution_status,combined_row_type,existing_lookup_name,match_field,row_type,family,pheic_risk,source_pathogen,source_previous_name,source_msl39_viral_name,source_disease_name,is_priority_pathogen,is_prototype_pathogen,in_gibb_etal,in_empres_i,priority_prototype_status,region_africa,region_americas,region_europe,region_mediterranean,region_se_asia,region_western_pacific,source_unit_scope,analysis_unit,analysis_unit_label,analysis_unit_rank,analysis_decision,decision_rule_trigger,transmission_context,human_infection_status,host_link_status,vector_data_status,amplifier_data_status,example_members,rationale,notes
disease_master_list_v2,2,Dengue,Flaviviridae,TRUE,TRUE,FALSE,FALSE,FALSE,D,FALSE,1,Aedes aegypti/albopictus,High filling,matched_existing_unit_by_manual_alias,existing_who_analysis_unit,Dengue,source_disease_name,source_row,Flaviviridae,High,Orthoflavivirus denguei,Dengue virus,Orthoflavivirus denguei,Dengue,TRUE,TRUE,TRUE,FALSE,both,both,both,both,both,both,both,specific_unit,Orthoflavivirus denguei,Dengue virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,High filling
disease_master_list_v2,3,Zika,Flaviviridae,TRUE,TRUE,FALSE,FALSE,FALSE,D,FALSE,1,Aedes aegypti/albopictus,High filling,matched_existing_unit_by_manual_alias,existing_who_analysis_unit,Zika virus disease,source_disease_name,source_row,Flaviviridae,High,Orthoflavivirus zikaense,Zika virus,Orthoflavivirus zikaense,Zika virus disease,TRUE,TRUE,TRUE,FALSE,both,both,both,none,none,both,both,specific_unit,Orthoflavivirus zikaense,Zika virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,High filling
disease_master_list_v2,4,Chikungunya,Togaviridae,TRUE,TRUE,FALSE,FALSE,FALSE,D,FALSE,1,Aedes aegypti/albopictus,High filling,matched_existing_unit_by_manual_alias,existing_who_analysis_unit,Chikungunya fever,source_disease_name,source_row,Togaviridae,High,Alphavirus chikungunya,Chikungunya virus,Alphavirus chikungunya,Chikungunya fever,TRUE,TRUE,TRUE,FALSE,both,both,both,none,none,both,both,specific_unit,Alphavirus chikungunya,Chikungunya virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,High filling
disease_master_list_v2,5,Yellow fever,Flaviviridae,TRUE,TRUE,FALSE,FALSE,TRUE,D/E,FALSE,1,Aedes spp; NHP reservoir,Vaccination suppresses range. Flag.,matched_existing_unit_by_manual_alias,existing_who_analysis_unit,Yellow fever,source_disease_name,source_row,Flaviviridae,High,Orthoflavivirus flavi,Yellow fever virus,Orthoflavivirus flavi,Yellow fever,TRUE,FALSE,TRUE,FALSE,priority,priority,priority,none,none,none,none,specific_unit,Orthoflavivirus flavi,Yellow fever virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,Vaccination suppresses range. Flag.
disease_master_list_v2,6,West Nile,Flaviviridae,TRUE,TRUE,TRUE,FALSE,FALSE,E,FALSE,1,Culex spp; wild birds,EMPRES-i adds animal detections,matched_existing_unit_by_manual_alias,existing_who_analysis_unit,West Nile fever,source_disease_name,source_row,Flaviviridae,High,Orthoflavivirus nilense,West Nile virus,Orthoflavivirus nilense,West Nile fever,FALSE,TRUE,TRUE,TRUE,prototype,prototype,prototype,prototype,prototype,prototype,prototype,specific_unit,Orthoflavivirus nilense,West Nile virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,EMPRES-i adds animal detections
disease_master_list_v2,7,CCHF,Nairoviridae,TRUE,TRUE,TRUE,FALSE,FALSE,E,TRUE,1,Hyalomma ticks,Livestock amplify tick populations,matched_existing_unit_by_manual_alias,existing_who_analysis_unit,Crimean-Congo hemorrhagic fever,source_disease_name,source_row,Nairoviridae,High,Orthonairovirus haemorrhagiae,,,Crimean-Congo hemorrhagic fever,TRUE,TRUE,TRUE,TRUE,both,both,none,both,both,none,both,specific_unit,Orthonairovirus haemorrhagiae,Orthonairovirus haemorrhagiae,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,Livestock amplify tick populations
disease_master_list_v2,8,Rift Valley fever,Phenuiviridae,TRUE,TRUE,TRUE,FALSE,FALSE,C/E,TRUE,1,Aedes/Culex; livestock amplifier,Livestock essential to cycle,matched_existing_unit_by_manual_alias,existing_who_analysis_unit,Rift Valley fever,source_disease_name,source_row,Phenuiviridae,High,Phlebovirus riftense,Rift Valley Fever virus,Phlebovirus riftense,Rift Valley fever,FALSE,TRUE,TRUE,TRUE,prototype,prototype,none,none,none,none,none,specific_unit,Phlebovirus riftense,Rift Valley Fever virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,Livestock essential to cycle
disease_master_list_v2,9,Ebola,Filoviridae,TRUE,TRUE,TRUE,FALSE,FALSE,B,FALSE,1,"Fruit bats (Hypsignathus, Epomops, Myonycteris)",Very low filling,matched_existing_unit_by_manual_alias,existing_who_analysis_unit,Ebola virus disease,source_disease_name,source_row,Filoviridae,High,Orthoebolavirus zairense,Ebola virus,Orthoebolavirus zairense,Ebola virus disease,TRUE,TRUE,TRUE,TRUE,both,both,none,none,none,none,none,specific_unit,Orthoebolavirus zairense,Ebola virus,species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,Very low filling
disease_master_list_v2,10,Marburg,Filoviridae,TRUE,TRUE,TRUE,FALSE,FALSE,B,FALSE,1,Rousettus aegyptiacus,Very low filling,matched_existing_unit_by_manual_alias,existing_who_analysis_unit,Marburg virus disease,source_disease_name,source_row,Filoviridae,High,Orthomarburgvirus marburgense,Marburg virus,Orthomarburgvirus marburgense,Marburg virus disease,TRUE,FALSE,TRUE,TRUE,priority,priority,none,none,none,none,none,specific_unit,Orthomarburgvirus marburgense,Marburg virus,species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,Very low filling
disease_master_list_v2,11,Lassa,Arenaviridae,TRUE,TRUE,FALSE,FALSE,FALSE,A,FALSE,1,Mastomys natalensis,Host taxonomy issue (6 lineages),matched_existing_unit_by_manual_alias,existing_who_analysis_unit,Lassa fever,source_disease_name,source_row,Arenaviridae,High,Mammarenavirus lassaense,Lassa Fever virus,Mammarenavirus lassaense,Lassa fever,TRUE,TRUE,TRUE,FALSE,both,both,none,none,none,none,none,specific_unit,Mammarenavirus lassaense,Lassa Fever virus,species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,Host taxonomy issue (6 lineages)
