analysis_unit_id,master_row,disease_master_name,resolved_disease_name,resolved_pathogen_name,resolved_pathogen_rank,include_as_analysis_unit,split_group,clover_matched_pathogen_names,virion_matched_pathogen_names,clover_matched_taxids,virion_matched_taxids,clover_matched_families,virion_matched_families,clover_matched_source_types,virion_matched_source_types,clover_best_match_type,virion_best_match_type,clover_best_match_distance,virion_best_match_distance,clover_match_status,virion_match_status,clover_candidate_count,virion_candidate_count,clover_alias_types,virion_alias_types,clover_alias_notes,virion_alias_notes,clover_alias_review_flag,virion_alias_review_flag,preferred_match_source,overall_match_status,preferred_source_match_status,match_review_flag,shared_species_proxy_flag,match_review_notes
master_13,13,Hendra,Hendra virus disease,Hendra henipavirus,species,yes,hendra,hendra henipavirus,henipavirus hendraense,63330,3052223,paramyxoviridae,paramyxoviridae,virus,virus,exact,manual_alias,0,0,accepted_candidate,accepted_candidate,1,1,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
master_31,31,Japanese encephalitis,Japanese encephalitis,Japanese encephalitis virus,species,yes,japanese_encephalitis,japanese encephalitis virus,orthoflavivirus japonicum,11072,11072; 3048158,flaviviridae,flaviviridae,virus,virus,exact,manual_alias,0,0,accepted_candidate,accepted_candidate,1,2,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
master_32,32,Chagas (acute),Chagas disease,Trypanosoma cruzi,species,yes,chagas_disease,trypanosoma cruzi,,5693,,trypanosomatidae,,protozoa,,exact,,0,,accepted_candidate,,1,,,,,,FALSE,,clover,matched_or_candidate,preferred_source_matched,FALSE,FALSE,
master_33,33,Melioidosis,Melioidosis,Burkholderia pseudomallei,species,yes,melioidosis,burkholderia pseudomallei,,28450,,burkholderiaceae,,bacteria/rickettsia,,exact,,0,,accepted_candidate,,1,,,,,,FALSE,,clover,matched_or_candidate,preferred_source_matched,FALSE,FALSE,
master_34,34,Brazilian spotted fever,Brazilian spotted fever,Rickettsia rickettsii,species,yes,brazilian_spotted_fever,rickettsia rickettsii,,783,,rickettsiaceae,,bacteria/rickettsia,,exact,,0,,accepted_candidate,,1,,,,,,FALSE,,clover,matched_or_candidate,preferred_source_matched,FALSE,FALSE,
master_35,35,La Crosse encephalitis,La Crosse encephalitis,La Crosse virus,species,yes,la_crosse_encephalitis,,orthobunyavirus lacrosseense,,3052409,,peribunyaviridae,,virus,,manual_alias,,0,,accepted_candidate,,1,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
master_36,36,Powassan,Powassan virus disease,Powassan virus,species,yes,powassan_virus_disease,powassan virus,orthoflavivirus powassanense,11083,11083; 3048287,flaviviridae,flaviviridae,virus,virus,exact,manual_alias,0,0,accepted_candidate,accepted_candidate,1,2,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
master_37,37,EEE,Eastern equine encephalitis,Eastern equine encephalitis virus,species,yes,eastern_equine_encephalitis,eastern equine encephalitis virus,eastern equine encephalitis virus,11021,11021,togaviridae,togaviridae,virus,virus,exact,exact,0,0,accepted_candidate,accepted_candidate,1,1,,,,,FALSE,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,
master_38,38,WEE,Western equine encephalitis,Western equine encephalitis virus,species,yes,western_equine_encephalitis,western equine encephalitis virus,western equine encephalitis virus,11039,11039,togaviridae,togaviridae,virus,virus,exact,exact,0,0,accepted_candidate,accepted_candidate,1,1,,,,,FALSE,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,
master_39,39,Jamestown Canyon,Jamestown Canyon virus disease,Jamestown Canyon virus,species,yes,jamestown_canyon_virus_disease,,orthobunyavirus jamestownense,,3052402,,peribunyaviridae,,virus,,manual_alias,,0,,accepted_candidate,,1,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
master_40,40,St. Louis encephalitis,Saint Louis encephalitis,Saint Louis encephalitis virus,species,yes,saint_louis_encephalitis,saint louis encephalitis virus,orthoflavivirus louisense,11080,11080; 3052468,flaviviridae,flaviviridae,virus,virus,exact,manual_alias,0,0,accepted_candidate,accepted_candidate,1,2,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
master_41,41,Mayaro,Mayaro virus disease,Mayaro virus,species,yes,mayaro_virus_disease,mayaro virus,alphavirus mayaro,59301,3426306; 59301,togaviridae,togaviridae,virus,virus,exact,manual_alias,0,0,accepted_candidate,accepted_candidate,1,2,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
master_42,42,Zoonotic malaria (P. knowlesi),Zoonotic malaria,Plasmodium knowlesi,species,yes,zoonotic_malaria_p_knowlesi,plasmodium knowlesi,,5850,,plasmodiidae,,protozoa,,exact,,0,,accepted_candidate,,1,,,,,,FALSE,,clover,matched_or_candidate,preferred_source_matched,FALSE,FALSE,
master_43,43,Anthrax,Anthrax,Bacillus anthracis,species,yes,anthrax,bacillus anthracis,,1392,,bacillaceae,,bacteria/rickettsia,,exact,,0,,accepted_candidate,,1,,,,,,FALSE,,clover,matched_or_candidate,preferred_source_matched,FALSE,FALSE,
master_45,45,O'nyong-nyong,O'nyong-nyong fever,O'nyong-nyong virus,species,yes,onyong_nyong,,onyong-nyong virus,,2169701,,togaviridae,,virus,,manual_alias,,0,,accepted_candidate,,1,,spelling_variant,,Local VIRION spelling omits the apostrophe.,,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,Local VIRION spelling omits the apostrophe.
master_46,46,Scrub typhus,Scrub typhus,Orientia tsutsugamushi,species,yes,scrub_typhus,orientia tsutsugamushi,,784,,rickettsiaceae,,bacteria/rickettsia,,exact,,0,,accepted_candidate,,1,,,,,,FALSE,,clover,matched_or_candidate,preferred_source_matched,FALSE,FALSE,
master_47,47,Ross River virus,Ross River virus disease,Ross River virus,species,yes,ross_river_virus,ross river virus,alphavirus rossriver,11029,11029; 3426314,togaviridae,togaviridae,virus,virus,exact,manual_alias,0,0,accepted_candidate,accepted_candidate,1,2,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
master_48,48,Barmah Forest virus,Barmah Forest virus disease,Barmah Forest virus,species,yes,barmah_forest_virus,barmah forest virus,alphavirus barmah,11020,11020; 3426294,togaviridae,togaviridae,virus,virus,exact,manual_alias,0,0,accepted_candidate,accepted_candidate,1,2,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
