target_id,Pathogens,Disease_name,source_db,query_used,status,records_found,ids_collected,records_parsed,countries_observed,started_at,finished_at,note,source_path,source_file,genbank_run_source
Alphainfluenzavirus_influenzae_H5N1__Influenza_H5N1_avian_influenza,Alphainfluenzavirus influenzae (H5N1),Influenza (H5N1 avian influenza),nuccore,"((txid11320[Organism:exp] OR txid2955291[Organism:exp])) AND ""H5N1""[All Fields]",success,196949,196949,196949,96,2026-04-24 16:27:32.555521,2026-04-24 17:21:14.237576,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs/search_logs/Alphainfluenzavirus_influenzae_H5N1__Influenza_H5N1_avian_influenza.csv,Alphainfluenzavirus_influenzae_H5N1__Influenza_H5N1_avian_influenza.csv,standard_19_target_run
Alphavirus_chikungunya__Chikungunya_fever,Alphavirus chikungunya,Chikungunya fever,nuccore,"""Alphavirus chikungunya""[Organism] OR ""Chikungunya virus""[Organism] OR ""alphavirus chikungunya""[Organism] OR ""chikungunya virus""[Organism]",success,11893,11893,11893,115,2026-04-24 17:21:14.42612,2026-04-24 17:35:51.034968,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs/search_logs/Alphavirus_chikungunya__Chikungunya_fever.csv,Alphavirus_chikungunya__Chikungunya_fever.csv,standard_19_target_run
Alphavirus_venezuelan__Venezuelan_equine_encephalitis,Alphavirus venezuelan,Venezuelan equine encephalitis,nuccore,"""Alphavirus venezuelan""[Organism]",success,696,696,696,19,2026-04-24 17:35:51.049727,2026-04-24 17:36:02.247099,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs/search_logs/Alphavirus_venezuelan__Venezuelan_equine_encephalitis.csv,Alphavirus_venezuelan__Venezuelan_equine_encephalitis.csv,standard_19_target_run
Henipavirus_nipahense__Nipah_virus_disease,Henipavirus nipahense,Nipah virus disease,nuccore,"""Henipavirus nipahense""[Organism] OR ""Nipah virus""[Organism] OR ""henipavirus nipahense""[Organism]",success,427,427,427,8,2026-04-24 17:36:02.256858,2026-04-24 17:36:10.613643,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs/search_logs/Henipavirus_nipahense__Nipah_virus_disease.csv,Henipavirus_nipahense__Nipah_virus_disease.csv,standard_19_target_run
Mammarenavirus_juninense__Argentine_hemorrhagic_fever,Mammarenavirus juninense,Argentine hemorrhagic fever,nuccore,"""Mammarenavirus juninense""[Organism] OR ""Junin virus""[Organism] OR ""mammarenavirus juninense""[Organism]",success,247,247,247,3,2026-04-24 17:36:10.621167,2026-04-24 17:36:17.262752,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs/search_logs/Mammarenavirus_juninense__Argentine_hemorrhagic_fever.csv,Mammarenavirus_juninense__Argentine_hemorrhagic_fever.csv,standard_19_target_run
Mammarenavirus_lassaense__Lassa_fever,Mammarenavirus lassaense,Lassa fever,nuccore,"""Mammarenavirus lassaense""[Organism] OR ""mammarenavirus lassaense""[Organism]",success,2871,2871,2871,11,2026-04-24 17:36:17.267258,2026-04-24 17:37:04.158996,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs/search_logs/Mammarenavirus_lassaense__Lassa_fever.csv,Mammarenavirus_lassaense__Lassa_fever.csv,standard_19_target_run
Orthobunyavirus_oropoucheense__Oropouche_fever,Orthobunyavirus oropoucheense,Oropouche fever,nuccore,"""Orthobunyavirus oropoucheense""[Organism] OR ""Oropouche virus""[Organism] OR ""orthobunyavirus oropoucheense""[Organism]",success,3317,3317,3317,15,2026-04-24 17:37:04.171613,2026-04-24 17:37:52.854321,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs/search_logs/Orthobunyavirus_oropoucheense__Oropouche_fever.csv,Orthobunyavirus_oropoucheense__Oropouche_fever.csv,standard_19_target_run
Orthoebolavirus_sudanense__Sudan_virus_disease_Ebola_virus_disease,Orthoebolavirus sudanense,Sudan virus disease (Ebola virus disease),nuccore,"""Orthoebolavirus sudanense""[Organism] OR ""Sudan ebolavirus""[Organism] OR ""orthoebolavirus sudanense""[Organism]",success,169,169,169,4,2026-04-24 17:37:52.867258,2026-04-24 17:37:57.139224,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs/search_logs/Orthoebolavirus_sudanense__Sudan_virus_disease_Ebola_virus_disease.csv,Orthoebolavirus_sudanense__Sudan_virus_disease_Ebola_virus_disease.csv,standard_19_target_run
Orthoebolavirus_zairense__Ebola_virus_disease,Orthoebolavirus zairense,Ebola virus disease,nuccore,"""Orthoebolavirus zairense""[Organism] OR ""Ebola virus""[Organism] OR ""orthoebolavirus zairense""[Organism]",success,3900,3900,3900,17,2026-04-24 17:37:57.143756,2026-04-24 17:40:39.836114,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs/search_logs/Orthoebolavirus_zairense__Ebola_virus_disease.csv,Orthoebolavirus_zairense__Ebola_virus_disease.csv,standard_19_target_run
Orthoflavivirus_denguei__Dengue,Orthoflavivirus denguei,Dengue,nuccore,"""Orthoflavivirus denguei""[Organism] OR ""Dengue virus""[Organism] OR ""orthoflavivirus denguei""[Organism] OR ""dengue virus""[Organism]",success,57001,57001,57001,146,2026-04-24 17:40:39.84781,2026-04-24 18:01:26.046884,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs/search_logs/Orthoflavivirus_denguei__Dengue.csv,Orthoflavivirus_denguei__Dengue.csv,standard_19_target_run
