analysis_unit_id,readiness_disease_name,analysis_unit_label,modelling_scope_status,recommended_next_action,pathogen_species_name,pathogen_taxid,source_pathogen,source_msl39_viral_name,matched_pathogen_names,matched_taxids,match_review_flag,shared_species_proxy_flag,match_review_notes,pathogen_species_name_source,pathogen_taxid_source,review_decision,override_query_pathogen_label,override_pathogen_taxid,override_reason,query_pathogen_label,query_pathogen_source,target_id,row_manifest_status,row_manifest_status_reason,qa_flags,genbank_distinct_countries_or_territories,who_don_distinct_countries,current_target_id,current_manifest_query_used,current_manifest_query_strategy
master_81,Alkhurma,Alkhurma,review_before_modelling,review_or_defer_scope,Orthoflavivirus kyasanurense,172148,NA,NA,orthoflavivirus kyasanurense,3048170; 33743,TRUE,TRUE,Taxonomic species shared with Kyasanur Forest disease virus; do not treat this as Alkhumra-specific host evidence without review.,matched_pathogen_names,manual_genbank_readiness_override,override,Alkhumra hemorrhagic fever virus,172148,use_alkhumra_specific_taxon_not_kyasanur_species_proxy,Alkhumra hemorrhagic fever virus,manual_genbank_readiness_override,Alkhumra_hemorrhagic_fever_virus,ready_for_future_retrieval,manual GenBank query override applied,non_include_scope; duplicate_species_group; shared_species_proxy; match_review_flag; manual_genbank_override; already_has_genbank_country_evidence,2,0,NA,NA,NA
master_16,Influenza (H5N1 avian influenza),Influenza A,include,ready_for_model_spec_review,Alphainfluenzavirus influenzae,11320; 2955291,Alphainfluenzavirus influenzae (H5N1),Alphainfluenzavirus influenzae,NA,NA,FALSE,FALSE,NA,source_msl39_viral_name,virion_taxid:matched_virus_name; virion_taxid:msl39_viral_name; virion_taxid:Virion_VirusName,NA,NA,NA,NA,Alphainfluenzavirus influenzae (H5N1),source_pathogen_concrete_influenza_subtype,Alphainfluenzavirus_influenzae_H5N1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,duplicate_species_group; already_has_genbank_country_evidence,95,0,NA,NA,NA
who_18,Influenza (H7N9 avian influenza),Influenza A (H7N9),include,curate_role_evidence,Alphainfluenzavirus influenzae,11320; 2955291,Alphainfluenzavirus influenzae (H7N9),Alphainfluenzavirus influenzae,NA,NA,FALSE,FALSE,NA,source_msl39_viral_name,virion_taxid:matched_virus_name; virion_taxid:msl39_viral_name; virion_taxid:Virion_VirusName,NA,NA,NA,NA,Alphainfluenzavirus influenzae (H7N9),source_pathogen_concrete_influenza_subtype,Alphainfluenzavirus_influenzae_H7N9,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,duplicate_species_group; already_has_genbank_country_evidence,20,3,NA,NA,NA
master_48,Barmah Forest virus,Barmah Forest virus,include,curate_direct_vector_evidence,Alphavirus barmah,11020; 3426294,NA,NA,alphavirus barmah,11020; 3426294,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,matched_pathogen_names,matched_taxids:virion,NA,NA,NA,NA,Alphavirus barmah,pathogen_species_name,Alphavirus_barmah,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,2,0,NA,NA,NA
master_4,Chikungunya fever,Chikungunya virus,include,find_or_build_vector_sdm,Alphavirus chikungunya,3426298; 37124,Alphavirus chikungunya,Alphavirus chikungunya,NA,NA,FALSE,FALSE,NA,source_msl39_viral_name,virion_taxid:msl39_viral_name; virion_taxid:Pathogens,NA,NA,NA,NA,Alphavirus chikungunya,pathogen_species_name,Alphavirus_chikungunya,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,115,6,NA,NA,NA
master_93,Everglades,Everglades,review_before_modelling,review_or_defer_scope,Alphavirus everglades,2083198,NA,NA,alphavirus everglades,2083198,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,matched_pathogen_names,matched_taxids:virion,NA,NA,NA,NA,Alphavirus everglades,pathogen_species_name,Alphavirus_everglades,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,non_include_scope; already_has_genbank_country_evidence,1,0,NA,NA,NA
master_41,Mayaro,Mayaro,review_before_modelling,review_or_defer_scope,Alphavirus mayaro,3426306; 59301,NA,NA,alphavirus mayaro,3426306; 59301,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,matched_pathogen_names,matched_taxids:virion,NA,NA,NA,NA,Alphavirus mayaro,pathogen_species_name,Alphavirus_mayaro,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,non_include_scope; already_has_genbank_country_evidence,10,0,NA,NA,NA
master_47,Ross River virus,Ross River virus,include,curate_direct_vector_evidence,Alphavirus rossriver,11029; 3426314,NA,NA,alphavirus rossriver,11029; 3426314,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,matched_pathogen_names,matched_taxids:virion,NA,NA,NA,NA,Alphavirus rossriver,pathogen_species_name,Alphavirus_rossriver,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,7,0,NA,NA,NA
master_25,Venezuelan equine encephalitis,Venezuelan equine encephalitis virus,review_before_modelling,review_or_defer_scope,Alphavirus venezuelan,11036,Alphavirus venezuelan,Alphavirus venezuelan,NA,NA,FALSE,FALSE,NA,source_msl39_viral_name,virion_taxid:msl39_viral_name; virion_taxid:Pathogens,NA,NA,NA,NA,Alphavirus venezuelan,pathogen_species_name,Alphavirus_venezuelan,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,non_include_scope; already_has_genbank_country_evidence,19,0,NA,NA,NA
master_85,Babesia microti,Babesia microti,include,curate_direct_vector_evidence,Babesia microti,5868,NA,NA,babesia microti,5868,FALSE,FALSE,NA,matched_pathogen_names,matched_taxids:clover,NA,NA,NA,NA,Babesia microti,pathogen_species_name,Babesia_microti,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,49,0,NA,NA,NA
