matched_who_host,vector_species_analysis,vector_species_needs_review,matched_who_host_tax_id,matched_who_host_class,matched_who_host_order,matched_who_host_family,vector_name_taxonomy_examples,source_platform_examples,source_dataset_examples,interaction_type_examples,country_examples,review_reason_examples,record_count
Accipiter cooperii,Culex pipiens,FALSE,261198,aves,accipitriformes,accipitridae,Culex pipiens,VectorMap,BloodMealMap,blood_meal,Unites States,,3
Accipiter cooperii,Culex quinquefasciatus,FALSE,261198,aves,accipitriformes,accipitridae,Culex quinquefasciatus,VectorMap,BloodMealMap,blood_meal,Unites States,,2
Accipiter cooperii,Culex stigmatosoma,FALSE,261198,aves,accipitriformes,accipitridae,Culex stigmatosoma,VectorMap,BloodMealMap,blood_meal,Unites States,,2
Accipiter cooperii,Culex tarsalis,FALSE,261198,aves,accipitriformes,accipitridae,Culex tarsalis,VectorMap,BloodMealMap,blood_meal,Unites States,,3
Accipiter cooperii,Culiseta morsitans,FALSE,261198,aves,accipitriformes,accipitridae,Culiseta morsitans,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Accipiter striatus,Echidnophaga gallinacea,FALSE,56330,aves,accipitriformes,accipitridae,Echidnophaga gallinacea,VectorMap,FleaMap,on_host_occurrence,United States,,1
Acinonyx jubatus,Amblyomma lepidum,FALSE,32536,mammalia,carnivora,felidae,Amblyomma lepidum,VectorMap,TickMap,on_host_occurrence,Sudan,,1
Acinonyx jubatus,Amblyomma variegatum,FALSE,32536,mammalia,carnivora,felidae,Amblyomma variegatum,VectorMap,TickMap,on_host_occurrence,Malawi,,1
Agelaius phoeniceus,Aedes cinereus,FALSE,39638,aves,passeriformes,icteridae,Aedes cinereus,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Agelaius phoeniceus,Coquillettidia perturbans,FALSE,39638,aves,passeriformes,icteridae,Coquillettidia perturbans,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Agelaius phoeniceus,Culex pipiens,FALSE,39638,aves,passeriformes,icteridae,Culex pipiens,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Agelaius phoeniceus,Culex restuans,FALSE,39638,aves,passeriformes,icteridae,Culex restuans,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Agelaius phoeniceus,Culex stigmatosoma,FALSE,39638,aves,passeriformes,icteridae,Culex stigmatosoma,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Agelaius phoeniceus,Culex tarsalis,FALSE,39638,aves,passeriformes,icteridae,Culex tarsalis,VectorMap,BloodMealMap,blood_meal,Unites States,,3
Agelaius phoeniceus,Culex thriambus,FALSE,39638,aves,passeriformes,icteridae,Culex thriambus,VectorMap,BloodMealMap,blood_meal,Unites States,,1
