host_tax_id,vector_join_key,host,host_class,host_order,host_family,vector_species,vector_taxon_rank,vector_species_needs_review,vector_name_taxonomy_examples,source_platform_examples,source_dataset_examples,interaction_type_examples,country_examples,review_reason_examples,record_count
261198,culex pipiens,Accipiter cooperii,aves,accipitriformes,accipitridae,Culex pipiens,species,FALSE,Culex pipiens,VectorMap,BloodMealMap,blood_meal,Unites States,,3
261198,culex quinquefasciatus,Accipiter cooperii,aves,accipitriformes,accipitridae,Culex quinquefasciatus,species,FALSE,Culex quinquefasciatus,VectorMap,BloodMealMap,blood_meal,Unites States,,2
261198,culex stigmatosoma,Accipiter cooperii,aves,accipitriformes,accipitridae,Culex stigmatosoma,species,FALSE,Culex stigmatosoma,VectorMap,BloodMealMap,blood_meal,Unites States,,2
261198,culex tarsalis,Accipiter cooperii,aves,accipitriformes,accipitridae,Culex tarsalis,species,FALSE,Culex tarsalis,VectorMap,BloodMealMap,blood_meal,Unites States,,3
261198,culiseta morsitans,Accipiter cooperii,aves,accipitriformes,accipitridae,Culiseta morsitans,species,FALSE,Culiseta morsitans,VectorMap,BloodMealMap,blood_meal,Unites States,,1
56330,echidnophaga gallinacea,Accipiter striatus,aves,accipitriformes,accipitridae,Echidnophaga gallinacea,species,FALSE,Echidnophaga gallinacea,VectorMap,FleaMap,on_host_occurrence,United States,,1
32536,amblyomma lepidum,Acinonyx jubatus,mammalia,carnivora,felidae,Amblyomma lepidum,species,FALSE,Amblyomma lepidum,VectorMap,TickMap,on_host_occurrence,Sudan,,1
32536,amblyomma variegatum,Acinonyx jubatus,mammalia,carnivora,felidae,Amblyomma variegatum,species,FALSE,Amblyomma variegatum,VectorMap,TickMap,on_host_occurrence,Malawi,,1
39638,aedes cinereus,Agelaius phoeniceus,aves,passeriformes,icteridae,Aedes cinereus,species,FALSE,Aedes cinereus,VectorMap,BloodMealMap,blood_meal,Unites States,,1
39638,coquillettidia perturbans,Agelaius phoeniceus,aves,passeriformes,icteridae,Coquillettidia perturbans,species,FALSE,Coquillettidia perturbans,VectorMap,BloodMealMap,blood_meal,Unites States,,1
39638,culex pipiens,Agelaius phoeniceus,aves,passeriformes,icteridae,Culex pipiens,species,FALSE,Culex pipiens,VectorMap,BloodMealMap,blood_meal,Unites States,,1
39638,culex restuans,Agelaius phoeniceus,aves,passeriformes,icteridae,Culex restuans,species,FALSE,Culex restuans,VectorMap,BloodMealMap,blood_meal,Unites States,,1
39638,culex stigmatosoma,Agelaius phoeniceus,aves,passeriformes,icteridae,Culex stigmatosoma,species,FALSE,Culex stigmatosoma,VectorMap,BloodMealMap,blood_meal,Unites States,,1
39638,culex tarsalis,Agelaius phoeniceus,aves,passeriformes,icteridae,Culex tarsalis,species,FALSE,Culex tarsalis,VectorMap,BloodMealMap,blood_meal,Unites States,,3
39638,culex thriambus,Agelaius phoeniceus,aves,passeriformes,icteridae,Culex thriambus,species,FALSE,Culex thriambus,VectorMap,BloodMealMap,blood_meal,Unites States,,1
39638,culiseta melanura,Agelaius phoeniceus,aves,passeriformes,icteridae,Culiseta melanura,species,FALSE,Culiseta melanura,VectorMap,BloodMealMap,blood_meal,Unites States,,2
39638,haemaphysalis chordeilis,Agelaius phoeniceus,aves,passeriformes,icteridae,Haemaphysalis chordeilis,species,FALSE,Haemaphysalis chordeilis,VectorMap,TickMap,on_host_occurrence,United States of America,,4
39638,haemaphysalis leporispalustris,Agelaius phoeniceus,aves,passeriformes,icteridae,Haemaphysalis leporispalustris,species,FALSE,Haemaphysalis leporispalustris,VectorMap,TickMap,on_host_occurrence,United States of America,,24
