disease_name,active_source_pathogens,network_pathogen,pathogen_tax_ids,host,host_tax_id,host_class,host_order,host_family,in_gibb_etal,in_empres_i,priority_prototype_status,active_scope_reason,network_pathogen_raw_examples,disease_name_raw_examples,detection_method_examples,main_source_examples,source_row_count,is_human,is_livestock_like,is_bird,is_rodent,is_bat,is_primate,host_role_candidate,candidate_basis,role_confidence,needs_manual_review,review_priority
Argentine hemorrhagic fever,Mammarenavirus juninense,Mammarenavirus juninense,2169991,Akodon azarae,29095,mammalia,rodentia,cricetidae,TRUE,FALSE,prototype,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Mammarenavirus juninense,Argentine hemorrhagic fever,Isolation/Observation,VIRION,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,medium_ecology_triage
Argentine hemorrhagic fever,Mammarenavirus juninense,Mammarenavirus juninense,2169991,Calomys laucha,56211,mammalia,rodentia,cricetidae,TRUE,FALSE,prototype,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Mammarenavirus juninense,Argentine hemorrhagic fever,Isolation/Observation; PCR/Sequencing,VIRION,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,medium_ecology_triage
Argentine hemorrhagic fever,Mammarenavirus juninense,Mammarenavirus juninense,2169991,Calomys musculinus,56212,mammalia,rodentia,cricetidae,TRUE,FALSE,prototype,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Mammarenavirus juninense,Argentine hemorrhagic fever,Isolation/Observation; PCR/Sequencing,VIRION,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,medium_ecology_triage
Argentine hemorrhagic fever,Mammarenavirus juninense,Mammarenavirus juninense,2169991,Mus musculus,10090,mammalia,rodentia,muridae,TRUE,FALSE,prototype,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Mammarenavirus juninense,Argentine hemorrhagic fever,Antibodies; Isolation/Observation,VIRION,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,medium_ecology_triage
Argentine hemorrhagic fever,Mammarenavirus juninense,Mammarenavirus juninense,2169991,Necromys obscurus,399317,mammalia,rodentia,cricetidae,TRUE,FALSE,prototype,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Mammarenavirus juninense,Argentine hemorrhagic fever,Isolation/Observation,VIRION,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,medium_ecology_triage
Argentine hemorrhagic fever,Mammarenavirus juninense,Mammarenavirus juninense,2169991,Oligoryzomys flavescens,218824,mammalia,rodentia,cricetidae,TRUE,FALSE,prototype,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Mammarenavirus juninense,Argentine hemorrhagic fever,Isolation/Observation; PCR/Sequencing,VIRION,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,medium_ecology_triage
Argentine hemorrhagic fever,Mammarenavirus juninense,Mammarenavirus juninense,2169991,Homo sapiens,9606,,,,TRUE,FALSE,prototype,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Mammarenavirus juninense,Argentine hemorrhagic fever,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,1,TRUE,FALSE,,,,,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,medium_human_triage
Argentine hemorrhagic fever,Mammarenavirus juninense,Mammarenavirus juninense,2169991,Calomys,160457,,,,TRUE,FALSE,prototype,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Mammarenavirus juninense,Argentine hemorrhagic fever,PCR/Sequencing,VIRION,1,FALSE,FALSE,,,,,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,standard_review
Argentine hemorrhagic fever,Mammarenavirus juninense,Mammarenavirus juninense,2169991,galictis cuja,470561,,,,TRUE,FALSE,prototype,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Mammarenavirus juninense,Argentine hemorrhagic fever,Antibodies,VIRION,1,FALSE,FALSE,,,,,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,standard_review
Argentine hemorrhagic fever,Mammarenavirus juninense,Mammarenavirus juninense,2169991,oxymycterus rufus,56230,,,,TRUE,FALSE,prototype,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Mammarenavirus juninense,Argentine hemorrhagic fever,Antibodies,VIRION,1,FALSE,FALSE,,,,,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,standard_review
