disease_name,metric,flag_value,row_count
Argentine hemorrhagic fever,candidate_rows,,8
Argentine hemorrhagic fever,is_bat,FALSE,6
Argentine hemorrhagic fever,is_bat,,2
Argentine hemorrhagic fever,is_bird,FALSE,6
Argentine hemorrhagic fever,is_bird,,2
Argentine hemorrhagic fever,is_human,TRUE,1
Argentine hemorrhagic fever,is_human,FALSE,7
Argentine hemorrhagic fever,is_livestock_like,FALSE,8
Argentine hemorrhagic fever,is_rodent,TRUE,6
Argentine hemorrhagic fever,is_rodent,,2
Chikungunya fever,candidate_rows,,20
Chikungunya fever,is_bat,TRUE,9
Chikungunya fever,is_bat,FALSE,8
Chikungunya fever,is_bat,,3
Chikungunya fever,is_bird,TRUE,1
Chikungunya fever,is_bird,FALSE,16
Chikungunya fever,is_bird,,3
Chikungunya fever,is_human,TRUE,1
Chikungunya fever,is_human,FALSE,19
Chikungunya fever,is_livestock_like,FALSE,20
Chikungunya fever,is_rodent,TRUE,2
Chikungunya fever,is_rodent,FALSE,15
Chikungunya fever,is_rodent,,3
Crimean-Congo hemorrhagic fever,candidate_rows,,13
Crimean-Congo hemorrhagic fever,is_bat,FALSE,11
Crimean-Congo hemorrhagic fever,is_bat,,2
Crimean-Congo hemorrhagic fever,is_bird,FALSE,11
Crimean-Congo hemorrhagic fever,is_bird,,2
Crimean-Congo hemorrhagic fever,is_human,TRUE,1
Crimean-Congo hemorrhagic fever,is_human,FALSE,12
Crimean-Congo hemorrhagic fever,is_livestock_like,TRUE,5
Crimean-Congo hemorrhagic fever,is_livestock_like,FALSE,8
Crimean-Congo hemorrhagic fever,is_rodent,TRUE,3
Crimean-Congo hemorrhagic fever,is_rodent,FALSE,8
Crimean-Congo hemorrhagic fever,is_rodent,,2
Dengue,candidate_rows,,37
Dengue,is_bat,TRUE,14
Dengue,is_bat,FALSE,20
Dengue,is_bat,,3
Dengue,is_bird,FALSE,34
Dengue,is_bird,,3
Dengue,is_human,TRUE,1
Dengue,is_human,FALSE,36
Dengue,is_livestock_like,FALSE,37
Dengue,is_rodent,TRUE,5
Dengue,is_rodent,FALSE,29
Dengue,is_rodent,,3
Ebola virus disease,candidate_rows,,16
Ebola virus disease,is_bat,TRUE,6
Ebola virus disease,is_bat,FALSE,8
Ebola virus disease,is_bat,,2
Ebola virus disease,is_bird,FALSE,14
Ebola virus disease,is_bird,,2
Ebola virus disease,is_human,TRUE,1
Ebola virus disease,is_human,FALSE,15
Ebola virus disease,is_livestock_like,FALSE,16
Ebola virus disease,is_rodent,TRUE,2
Ebola virus disease,is_rodent,FALSE,12
Ebola virus disease,is_rodent,,2
Hemorrhagic fever with renal syndrome (Hantaan virus),candidate_rows,,21
Hemorrhagic fever with renal syndrome (Hantaan virus),is_bat,TRUE,1
Hemorrhagic fever with renal syndrome (Hantaan virus),is_bat,FALSE,15
Hemorrhagic fever with renal syndrome (Hantaan virus),is_bat,,5
Hemorrhagic fever with renal syndrome (Hantaan virus),is_bird,FALSE,16
Hemorrhagic fever with renal syndrome (Hantaan virus),is_bird,,5
Hemorrhagic fever with renal syndrome (Hantaan virus),is_human,TRUE,1
Hemorrhagic fever with renal syndrome (Hantaan virus),is_human,FALSE,20
Hemorrhagic fever with renal syndrome (Hantaan virus),is_livestock_like,FALSE,21
Hemorrhagic fever with renal syndrome (Hantaan virus),is_rodent,TRUE,14
Hemorrhagic fever with renal syndrome (Hantaan virus),is_rodent,FALSE,2
Hemorrhagic fever with renal syndrome (Hantaan virus),is_rodent,,5
Influenza (H5N1 avian influenza),candidate_rows,,538
Influenza (H5N1 avian influenza),is_bat,TRUE,12
Influenza (H5N1 avian influenza),is_bat,FALSE,453
Influenza (H5N1 avian influenza),is_bat,,73
Influenza (H5N1 avian influenza),is_bird,TRUE,382
Influenza (H5N1 avian influenza),is_bird,FALSE,83
Influenza (H5N1 avian influenza),is_bird,,73
Influenza (H5N1 avian influenza),is_human,TRUE,1
Influenza (H5N1 avian influenza),is_human,FALSE,537
Influenza (H5N1 avian influenza),is_livestock_like,TRUE,10
Influenza (H5N1 avian influenza),is_livestock_like,FALSE,528
Influenza (H5N1 avian influenza),is_rodent,TRUE,3
Influenza (H5N1 avian influenza),is_rodent,FALSE,462
Influenza (H5N1 avian influenza),is_rodent,,73
Lassa fever,candidate_rows,,14
Lassa fever,is_bat,FALSE,12
Lassa fever,is_bat,,2
Lassa fever,is_bird,FALSE,12
Lassa fever,is_bird,,2
Lassa fever,is_human,TRUE,1
Lassa fever,is_human,FALSE,13
Lassa fever,is_livestock_like,TRUE,1
Lassa fever,is_livestock_like,FALSE,13
