layer,path,exists,row_count,column_count,status,notes
host_role_candidates,pathogen_association_data/evidence/role_annotation/host_role_candidates.csv,TRUE,1031,29,present,
species_host_vector_roster,pathogen_association_data/evidence/role_annotation/species_host_vector_roster.csv,TRUE,2227,31,present,
vector_competence_unmatched_review,pathogen_association_data/WHO/vector_screening/outputs/vector_competence_join_unmatched_review.csv,TRUE,21,12,present,
disease_vector_competence_annotated,pathogen_association_data/WHO/vector_screening/outputs/disease_vector_links_taxonomy_cleaned_competence_annotated.csv,TRUE,470,39,present,
genbank_disease_country_summary,pathogen_association_data/evidence/genbank_simple/genbank_readiness_disease_country_summary_standardized.csv,TRUE,1771,8,present,
genbank_map_unmatched,pathogen_association_data/staged/genbank_simple/maps/readiness/genbank_disease_country_map_unmatched.csv,TRUE,47,6,present,
who_don_focal_modelling_ready,pathogen_association_data/WHO/disease_outbreak_news_v2/final/who_don_modelling_ready.csv,TRUE,4288,17,present,
host_role_evidence,pathogen_association_data/evidence/role_annotation/host_role_evidence.csv,TRUE,67,15,present,
vector_role_evidence,pathogen_association_data/evidence/role_annotation/vector_role_evidence.csv,TRUE,54,14,present,
host_role_assignments,pathogen_association_data/evidence/role_annotation/host_role_assignments.csv,TRUE,57,12,present,
vector_role_assignments,pathogen_association_data/evidence/role_annotation/vector_role_assignments.csv,TRUE,52,11,present,
