disease_name,biological_evidence_tier,best_evidence_level,vector_competence_status,bites_humans_true,rows
Chikungunya fever,broad,candidate,,FALSE,1
Chikungunya fever,strict,confirmed,competent,TRUE,2
Chikungunya fever,strict,probable,competent,TRUE,2
Chikungunya fever,strong,candidate,competent,FALSE,4
Chikungunya fever,strong,candidate,competent,TRUE,3
Chikungunya fever,strong,weak,competent,TRUE,2
Chikungunya fever,strong,probable,competent,FALSE,1
Chikungunya fever,supported,candidate,,TRUE,2
Chikungunya fever,supported,probable,,FALSE,2
Chikungunya fever,supported,probable,unclear,FALSE,1
Chikungunya fever,supported,probable,,TRUE,1
Crimean-Congo hemorrhagic fever,broad,candidate,,FALSE,5
Crimean-Congo hemorrhagic fever,excluded,candidate,unclear,FALSE,2
Crimean-Congo hemorrhagic fever,strict,confirmed,competent,TRUE,11
Crimean-Congo hemorrhagic fever,strong,confirmed,competent,FALSE,3
Crimean-Congo hemorrhagic fever,strong,candidate,mixed,TRUE,1
Crimean-Congo hemorrhagic fever,supported,candidate,unclear,TRUE,6
Crimean-Congo hemorrhagic fever,supported,candidate,,TRUE,6
Crimean-Congo hemorrhagic fever,supported,candidate,unclear,FALSE,5
Crimean-Congo hemorrhagic fever,supported,candidate,,FALSE,4
Crimean-Congo hemorrhagic fever,supported,confirmed,,FALSE,2
Crimean-Congo hemorrhagic fever,supported,probable,unclear,TRUE,2
Crimean-Congo hemorrhagic fever,supported,probable,,FALSE,1
Crimean-Congo hemorrhagic fever,supported,probable,,TRUE,1
Dengue,broad,weak,,FALSE,1
Dengue,strict,confirmed,mixed,TRUE,4
Dengue,strong,confirmed,competent,FALSE,2
Dengue,strong,confirmed,mixed,FALSE,2
Dengue,strong,candidate,competent,TRUE,1
Dengue,strong,probable,mixed,FALSE,1
Dengue,supported,candidate,unclear,FALSE,3
Dengue,supported,probable,unclear,FALSE,1
Dengue,supported,weak,not_competent,TRUE,1
Oropouche fever,strict,probable,mixed,TRUE,1
Oropouche fever,strong,candidate,mixed,TRUE,2
Oropouche fever,strong,confirmed,competent,FALSE,1
Oropouche fever,strong,probable,competent,FALSE,1
Oropouche fever,supported,candidate,unclear,FALSE,3
Oropouche fever,supported,weak,not_competent,TRUE,3
Oropouche fever,supported,candidate,not_competent,TRUE,1
Oropouche fever,supported,candidate; probable,unclear,TRUE,1
Oropouche fever,supported,probable,unclear,TRUE,1
Oropouche fever,supported,weak,unclear,TRUE,1
Plague,excluded,confirmed,competent,FALSE,2
Plague,excluded,confirmed,mixed,TRUE,1
Plague,strict,confirmed,competent,TRUE,1
Plague,strong,confirmed,competent,FALSE,21
Plague,strong,confirmed,mixed,FALSE,12
Plague,strong,probable,mixed,FALSE,4
Plague,supported,candidate,unclear,FALSE,3
Plague,supported,confirmed,unclear,FALSE,1
Plague,supported,probable,unclear,FALSE,1
Plague,supported,weak,unclear,FALSE,1
Rift Valley fever,broad,candidate,,FALSE,4
Rift Valley fever,excluded,probable,unclear,TRUE,1
Rift Valley fever,strict,probable,competent,TRUE,11
Rift Valley fever,strict,probable,mixed,TRUE,1
