role_modelling_feature_id,disease_name,species_role,species_name,tax_id,host_class,host_order,host_family,host_detection_method,host_direct_detection_supported,host_role_assignment,host_role_confidence,host_role_assignment_status,host_role_needs_manual_review,modelling_role_proxy,modelling_role_proxy_basis,modelling_role_proxy_confidence,modelling_role_proxy_rule_id,modelling_role_proxy_needs_review,host_role_bucket,host_role_evidence_basis,host_role_weight,role_proxy_applied,group_proxy_applied,profile_group_proxy,feature_rule_version,taxonomy_ok,host_detection_tier,profile_broad,profile_supported,profile_strong,profile_strict,biological_evidence_tier,tier_rule_id,host_evidence_missingness_reason
argentine hemorrhagic fever|akodon azarae|29095,Argentine hemorrhagic fever,host,Akodon azarae,29095,mammalia,rodentia,cricetidae,Isolation/Observation,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,isolation_or_observation,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
argentine hemorrhagic fever|calomys|160457,Argentine hemorrhagic fever,host,Calomys,160457,,,,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
argentine hemorrhagic fever|calomys laucha|56211,Argentine hemorrhagic fever,host,Calomys laucha,56211,mammalia,rodentia,cricetidae,Isolation/Observation; PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
argentine hemorrhagic fever|calomys musculinus|56212,Argentine hemorrhagic fever,host,Calomys musculinus,56212,mammalia,rodentia,cricetidae,Isolation/Observation; PCR/Sequencing,TRUE,reservoir_host,high,draft_source_backed,FALSE,reservoir_host,source_backed_role_assignment,high,source_backed_role_v0_1,FALSE,reservoir_or_amplifying_host,exact_source_backed,1,TRUE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,TRUE,TRUE,strict,host_v0_1,
argentine hemorrhagic fever|homo sapiens|9606,Argentine hemorrhagic fever,host,Homo sapiens,9606,,,,Isolation/Observation; Not specified; PCR/Sequencing,TRUE,incidental_host,high,draft_source_backed,FALSE,incidental_host,source_backed_role_assignment,high,source_backed_role_v0_1,FALSE,dead_end_or_incidental_host,exact_source_backed,1,TRUE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,TRUE,TRUE,strict,host_v0_1,
argentine hemorrhagic fever|mus musculus|10090,Argentine hemorrhagic fever,host,Mus musculus,10090,mammalia,rodentia,muridae,Antibodies; Isolation/Observation,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,isolation_or_observation,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
argentine hemorrhagic fever|necromys obscurus|399317,Argentine hemorrhagic fever,host,Necromys obscurus,399317,mammalia,rodentia,cricetidae,Isolation/Observation,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,isolation_or_observation,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
argentine hemorrhagic fever|oligoryzomys flavescens|218824,Argentine hemorrhagic fever,host,Oligoryzomys flavescens,218824,mammalia,rodentia,cricetidae,Isolation/Observation; PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
argentine hemorrhagic fever|galictis cuja|470561,Argentine hemorrhagic fever,host,galictis cuja,470561,,,,Antibodies,FALSE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,serology,TRUE,FALSE,FALSE,FALSE,broad,host_v0_1,host_role_presence_only; host_role_review_needed
argentine hemorrhagic fever|oxymycterus rufus|56230,Argentine hemorrhagic fever,host,oxymycterus rufus,56230,,,,Antibodies,FALSE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,serology,TRUE,FALSE,FALSE,FALSE,broad,host_v0_1,host_role_presence_only; host_role_review_needed
