disease_name,species_name,tax_id,species_role,disease_has_vector_rows,in_current_role_review_scope,in_gibb_etal,in_empres_i,priority_prototype_status,source_pathogens,host_class,host_order,host_family,host_detection_method,host_role_assignment,host_role_confidence,host_role_needs_manual_review,host_role_assignment_status,vector_group,vector_taxon_rank,vector_join_key,vector_role_assignment,vector_role_confidence,vector_role_needs_manual_review,vector_role_assignment_status,has_disease_vector_evidence,has_host_vector_evidence,has_competence_evidence,best_evidence_level,best_evidence_basis,vector_record_sources,bites_humans,bites_humans_basis,vector_competence_status,transmission_demonstrated,natural_infection_reported,vector_role_hint,uncertainty_reason,taxonomy_caution
Argentine hemorrhagic fever,Akodon azarae,29095,host,FALSE,TRUE,TRUE,FALSE,prototype,Mammarenavirus juninense,mammalia,rodentia,cricetidae,Isolation/Observation,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Argentine hemorrhagic fever,Calomys,160457,host,FALSE,TRUE,TRUE,FALSE,prototype,Mammarenavirus juninense,,,,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Argentine hemorrhagic fever,Calomys laucha,56211,host,FALSE,TRUE,TRUE,FALSE,prototype,Mammarenavirus juninense,mammalia,rodentia,cricetidae,Isolation/Observation; PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Argentine hemorrhagic fever,Calomys musculinus,56212,host,FALSE,TRUE,TRUE,FALSE,prototype,Mammarenavirus juninense,mammalia,rodentia,cricetidae,Isolation/Observation; PCR/Sequencing,reservoir_host,high,FALSE,draft_source_backed,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Argentine hemorrhagic fever,Homo sapiens,9606,host,FALSE,TRUE,TRUE,FALSE,prototype,Mammarenavirus juninense,,,,Isolation/Observation; Not specified; PCR/Sequencing,incidental_host,high,FALSE,draft_source_backed,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Argentine hemorrhagic fever,Mus musculus,10090,host,FALSE,TRUE,TRUE,FALSE,prototype,Mammarenavirus juninense,mammalia,rodentia,muridae,Antibodies; Isolation/Observation,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Argentine hemorrhagic fever,Necromys obscurus,399317,host,FALSE,TRUE,TRUE,FALSE,prototype,Mammarenavirus juninense,mammalia,rodentia,cricetidae,Isolation/Observation,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Argentine hemorrhagic fever,Oligoryzomys flavescens,218824,host,FALSE,TRUE,TRUE,FALSE,prototype,Mammarenavirus juninense,mammalia,rodentia,cricetidae,Isolation/Observation; PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Argentine hemorrhagic fever,galictis cuja,470561,host,FALSE,TRUE,TRUE,FALSE,prototype,Mammarenavirus juninense,,,,Antibodies,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Argentine hemorrhagic fever,oxymycterus rufus,56230,host,FALSE,TRUE,TRUE,FALSE,prototype,Mammarenavirus juninense,,,,Antibodies,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Borna disease (encephalitis),Anas platyrhynchos,8839,host,FALSE,FALSE,FALSE,FALSE,prototype,Orthobornavirus bornaense,aves,anseriformes,anatidae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Borna disease (encephalitis),Bos taurus,9913,host,FALSE,FALSE,FALSE,FALSE,prototype,Orthobornavirus bornaense,mammalia,artiodactyla,bovidae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Borna disease (encephalitis),Canis lupus,9615,host,FALSE,FALSE,FALSE,FALSE,prototype,Orthobornavirus bornaense,mammalia,carnivora,canidae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Borna disease (encephalitis),Castor fiber,331605,host,FALSE,FALSE,FALSE,FALSE,prototype,Orthobornavirus bornaense,mammalia,rodentia,castoridae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Borna disease (encephalitis),Coloeus monedula,30423,host,FALSE,FALSE,FALSE,FALSE,prototype,Orthobornavirus bornaense,,,,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Borna disease (encephalitis),Crocidura leucodon,109474,host,FALSE,FALSE,FALSE,FALSE,prototype,Orthobornavirus bornaense,mammalia,eulipotyphla,soricidae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Borna disease (encephalitis),Crocidura russula,36802,host,FALSE,FALSE,FALSE,FALSE,prototype,Orthobornavirus bornaense,mammalia,eulipotyphla,soricidae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Borna disease (encephalitis),Equus asinus,9793,host,FALSE,FALSE,FALSE,FALSE,prototype,Orthobornavirus bornaense,mammalia,perissodactyla,equidae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Borna disease (encephalitis),Equus caballus,9796,host,FALSE,FALSE,FALSE,FALSE,prototype,Orthobornavirus bornaense,mammalia,perissodactyla,equidae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Borna disease (encephalitis),Equus ferus,1114792,host,FALSE,FALSE,FALSE,FALSE,prototype,Orthobornavirus bornaense,mammalia,perissodactyla,equidae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Borna disease (encephalitis),Erinaceus europaeus,9365,host,FALSE,FALSE,FALSE,FALSE,prototype,Orthobornavirus bornaense,mammalia,eulipotyphla,erinaceidae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Borna disease (encephalitis),Felis catus,9685,host,FALSE,FALSE,FALSE,FALSE,prototype,Orthobornavirus bornaense,mammalia,carnivora,felidae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Borna disease (encephalitis),Hexaprotodon liberiensis,56798,host,FALSE,FALSE,FALSE,FALSE,prototype,Orthobornavirus bornaense,,,,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Borna disease (encephalitis),Homo sapiens,9606,host,FALSE,FALSE,FALSE,FALSE,prototype,Orthobornavirus bornaense,,,,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Borna disease (encephalitis),Lama glama,9844,host,FALSE,FALSE,FALSE,FALSE,prototype,Orthobornavirus bornaense,,,,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Borna disease (encephalitis),Macaca fuscata,9542,host,FALSE,FALSE,FALSE,FALSE,prototype,Orthobornavirus bornaense,mammalia,primates,cercopithecidae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Borna disease (encephalitis),Oryctolagus cuniculus,9986,host,FALSE,FALSE,FALSE,FALSE,prototype,Orthobornavirus bornaense,mammalia,lagomorpha,leporidae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Borna disease (encephalitis),Ovis aries,9940,host,FALSE,FALSE,FALSE,FALSE,prototype,Orthobornavirus bornaense,mammalia,artiodactyla,bovidae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Borna disease (encephalitis),Procyon lotor,9654,host,FALSE,FALSE,FALSE,FALSE,prototype,Orthobornavirus bornaense,mammalia,carnivora,procyonidae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Borna disease (encephalitis),Sorex araneus,42254,host,FALSE,FALSE,FALSE,FALSE,prototype,Orthobornavirus bornaense,mammalia,eulipotyphla,soricidae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Borna disease (encephalitis),Vicugna pacos,30538,host,FALSE,FALSE,FALSE,FALSE,prototype,Orthobornavirus bornaense,,,,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Borna disease (encephalitis),Vulpes vulpes,9627,host,FALSE,FALSE,FALSE,FALSE,prototype,Orthobornavirus bornaense,mammalia,carnivora,canidae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Borna disease (encephalitis),crocidura suaveolens,52631,host,FALSE,FALSE,FALSE,FALSE,prototype,Orthobornavirus bornaense,,,,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Chikungunya fever,aedes aegypti,,vector,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,,,,,,,,,mosquito,species,aedes aegypti,main_vector,high,FALSE,draft_source_backed,TRUE,TRUE,TRUE,confirmed,review,lit_review,TRUE,blood_meal,competent,yes,,,,FALSE
Chikungunya fever,aedes africanus,,vector,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,,,,,,,,,mosquito,species,aedes africanus,,,,,TRUE,TRUE,FALSE,probable,review,lit_review,TRUE,blood_meal,,,,,,FALSE
Chikungunya fever,aedes albopictus,,vector,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,,,,,,,,,mosquito,species,aedes albopictus,main_vector,high,FALSE,draft_source_backed,TRUE,TRUE,TRUE,confirmed,review,lit_review,TRUE,blood_meal,competent,yes,,,,FALSE
Chikungunya fever,aedes fulgens,,vector,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,,,,,,,,,mosquito,species,aedes fulgens,,,,,TRUE,FALSE,TRUE,candidate,review,lit_review,,,competent,yes,,,,FALSE
Chikungunya fever,aedes furcifer,,vector,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,,,,,,,,,mosquito,species,aedes furcifer,,,,,TRUE,FALSE,TRUE,candidate,review,lit_review,,,competent,yes,,sylvatic_vector,,FALSE
Chikungunya fever,aedes furcifer taylori,,vector,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,,,,,,,,,mosquito,infraspecific,aedes furcifer taylori,,,,,TRUE,FALSE,FALSE,probable,review,lit_review,,,,,,,,FALSE
Chikungunya fever,aedes hensilli,,vector,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,,,,,,,,,mosquito,species,aedes hensilli,epidemic_vector,medium,TRUE,draft_source_backed,TRUE,FALSE,TRUE,probable,review,lit_review,,,unclear,,no,,no_transmission_demonstrated,FALSE
Chikungunya fever,aedes luteocephalus,,vector,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,,,,,,,,,mosquito,species,aedes luteocephalus,,,,,TRUE,FALSE,FALSE,probable,review,lit_review,,,,,,,,FALSE
Chikungunya fever,aedes notoscriptus,,vector,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,,,,,,,,,mosquito,species,aedes notoscriptus,,,,,TRUE,TRUE,TRUE,candidate,lab,lit_review,TRUE,blood_meal,competent,yes,,,,FALSE
Chikungunya fever,aedes procax,,vector,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,,,,,,,,,mosquito,species,aedes procax,,,,,TRUE,FALSE,TRUE,probable,lab,lit_review,FALSE,,competent,yes,,,,FALSE
Chikungunya fever,aedes togoi,,vector,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,,,,,,,,,mosquito,species,aedes togoi,,,,,TRUE,FALSE,FALSE,candidate,review,lit_review,,,,,,,,FALSE
Chikungunya fever,aedes triseriatus,,vector,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,,,,,,,,,mosquito,species,aedes triseriatus,,,,,TRUE,TRUE,FALSE,candidate,review,lit_review,TRUE,blood_meal,,,,,,FALSE
Chikungunya fever,aedes vexans,,vector,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,,,,,,,,,mosquito,species,aedes vexans,,,,,TRUE,TRUE,FALSE,candidate,review,lit_review,TRUE,blood_meal,,,,,,FALSE
Chikungunya fever,aedes vigilax,,vector,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,,,,,,,,,mosquito,species,aedes vigilax,,,,,TRUE,TRUE,TRUE,probable,lab,lit_review,TRUE,blood_meal,competent,yes,,,,FALSE
