disease_name,metric,flag_value,row_count
Argentine hemorrhagic fever,has_competence_evidence,FALSE,10
Argentine hemorrhagic fever,has_disease_vector_evidence,FALSE,10
Argentine hemorrhagic fever,roster_rows,,10
Argentine hemorrhagic fever,species_role,host,10
Borna disease (encephalitis),has_competence_evidence,FALSE,23
Borna disease (encephalitis),has_disease_vector_evidence,FALSE,23
Borna disease (encephalitis),roster_rows,,23
Borna disease (encephalitis),species_role,host,23
Chikungunya fever,has_competence_evidence,TRUE,15
Chikungunya fever,has_competence_evidence,FALSE,36
Chikungunya fever,has_disease_vector_evidence,TRUE,21
Chikungunya fever,has_disease_vector_evidence,FALSE,30
Chikungunya fever,has_vector_role_assignment,TRUE,3
Chikungunya fever,has_vector_role_assignment,FALSE,18
Chikungunya fever,roster_rows,,51
Chikungunya fever,species_role,vector,21
Chikungunya fever,species_role,host,30
Chikungunya fever,vector_role_assignment,main_vector,2
Chikungunya fever,vector_role_assignment,epidemic_vector,1
Crimean-Congo hemorrhagic fever,has_competence_evidence,TRUE,30
Crimean-Congo hemorrhagic fever,has_competence_evidence,FALSE,77
Crimean-Congo hemorrhagic fever,has_disease_vector_evidence,TRUE,49
Crimean-Congo hemorrhagic fever,has_disease_vector_evidence,FALSE,58
Crimean-Congo hemorrhagic fever,has_vector_role_assignment,TRUE,5
Crimean-Congo hemorrhagic fever,has_vector_role_assignment,FALSE,44
Crimean-Congo hemorrhagic fever,roster_rows,,107
Crimean-Congo hemorrhagic fever,species_role,vector,49
Crimean-Congo hemorrhagic fever,species_role,host,58
Crimean-Congo hemorrhagic fever,vector_role_assignment,principal_vector_genus,1
Crimean-Congo hemorrhagic fever,vector_role_assignment,main_vector,3
Crimean-Congo hemorrhagic fever,vector_role_assignment,enzootic_maintenance_vector,1
Dengue,has_competence_evidence,TRUE,15
Dengue,has_competence_evidence,FALSE,54
Dengue,has_disease_vector_evidence,TRUE,16
Dengue,has_disease_vector_evidence,FALSE,53
Dengue,has_vector_role_assignment,TRUE,6
Dengue,has_vector_role_assignment,FALSE,10
Dengue,roster_rows,,69
Dengue,species_role,vector,16
Dengue,species_role,host,53
Dengue,vector_role_assignment,sylvatic_vector,3
Dengue,vector_role_assignment,primary_vector,1
Dengue,vector_role_assignment,epidemic_vector,1
Dengue,vector_role_assignment,candidate_vector,1
Ebola virus disease,has_competence_evidence,FALSE,19
Ebola virus disease,has_disease_vector_evidence,FALSE,19
Ebola virus disease,roster_rows,,19
Ebola virus disease,species_role,host,19
Hantavirus pulmonary syndrome,has_competence_evidence,FALSE,28
Hantavirus pulmonary syndrome,has_disease_vector_evidence,FALSE,28
Hantavirus pulmonary syndrome,roster_rows,,28
Hantavirus pulmonary syndrome,species_role,host,28
Hemorrhagic fever with renal syndrome (Hantaan virus),has_competence_evidence,FALSE,30
Hemorrhagic fever with renal syndrome (Hantaan virus),has_disease_vector_evidence,FALSE,30
Hemorrhagic fever with renal syndrome (Hantaan virus),roster_rows,,30
Hemorrhagic fever with renal syndrome (Hantaan virus),species_role,host,30
Hepatitis E,has_competence_evidence,FALSE,74
Hepatitis E,has_disease_vector_evidence,FALSE,74
Hepatitis E,roster_rows,,74
Hepatitis E,species_role,host,74
Influenza (H5N1 avian influenza),has_competence_evidence,FALSE,559
Influenza (H5N1 avian influenza),has_disease_vector_evidence,FALSE,559
Influenza (H5N1 avian influenza),roster_rows,,559
Influenza (H5N1 avian influenza),species_role,host,559
Influenza (H7N9 avian influenza),has_competence_evidence,FALSE,559
Influenza (H7N9 avian influenza),has_disease_vector_evidence,FALSE,559
Influenza (H7N9 avian influenza),roster_rows,,559
Influenza (H7N9 avian influenza),species_role,host,559
Lassa fever,has_competence_evidence,FALSE,21
Lassa fever,has_disease_vector_evidence,FALSE,21
Lassa fever,roster_rows,,21
Lassa fever,species_role,host,21
