vector_modelling_feature_id,disease_name,species_role,species_name,tax_id,vector_group,vector_taxon_rank,vector_join_key,best_evidence_level,best_evidence_basis,has_disease_vector_evidence,has_host_vector_evidence,has_competence_evidence,bites_humans,bites_humans_known,bites_humans_true,vector_competence_status,transmission_demonstrated,natural_infection_reported,vector_role_hint,taxonomy_ok,profile_broad,profile_supported,profile_strong,profile_strict,biological_evidence_tier,tier_rule_id,vector_evidence_missingness_reason,feature_rule_version
chikungunya fever|aedes aegypti|NA,Chikungunya fever,vector,aedes aegypti,,mosquito,species,aedes aegypti,confirmed,review,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,competent,yes,,,TRUE,TRUE,TRUE,TRUE,TRUE,strict,vector_v0_1,tax_id_missing; vector_role_hint_blank; natural_infection_unknown,vector_tier_rules_v0_1
chikungunya fever|aedes africanus|NA,Chikungunya fever,vector,aedes africanus,,mosquito,species,aedes africanus,probable,review,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,supported,vector_v0_1,tax_id_missing; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
chikungunya fever|aedes albopictus|NA,Chikungunya fever,vector,aedes albopictus,,mosquito,species,aedes albopictus,confirmed,review,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,competent,yes,,,TRUE,TRUE,TRUE,TRUE,TRUE,strict,vector_v0_1,tax_id_missing; vector_role_hint_blank; natural_infection_unknown,vector_tier_rules_v0_1
chikungunya fever|aedes fulgens|NA,Chikungunya fever,vector,aedes fulgens,,mosquito,species,aedes fulgens,candidate,review,TRUE,FALSE,TRUE,,FALSE,FALSE,competent,yes,,,TRUE,TRUE,TRUE,TRUE,FALSE,strong,vector_v0_1,tax_id_missing; bites_humans_unknown; vector_role_hint_blank; natural_infection_unknown,vector_tier_rules_v0_1
chikungunya fever|aedes furcifer|NA,Chikungunya fever,vector,aedes furcifer,,mosquito,species,aedes furcifer,candidate,review,TRUE,FALSE,TRUE,,FALSE,FALSE,competent,yes,,sylvatic_vector,TRUE,TRUE,TRUE,TRUE,FALSE,strong,vector_v0_1,tax_id_missing; bites_humans_unknown; natural_infection_unknown,vector_tier_rules_v0_1
chikungunya fever|aedes furcifer taylori|NA,Chikungunya fever,vector,aedes furcifer taylori,,mosquito,infraspecific,aedes furcifer taylori,probable,review,TRUE,FALSE,FALSE,,FALSE,FALSE,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,supported,vector_v0_1,tax_id_missing; bites_humans_unknown; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
chikungunya fever|aedes hensilli|NA,Chikungunya fever,vector,aedes hensilli,,mosquito,species,aedes hensilli,probable,review,TRUE,FALSE,TRUE,,FALSE,FALSE,unclear,,no,,TRUE,TRUE,TRUE,FALSE,FALSE,supported,vector_v0_1,tax_id_missing; bites_humans_unknown; vector_role_hint_blank; transmission_demonstrated_unknown,vector_tier_rules_v0_1
chikungunya fever|aedes luteocephalus|NA,Chikungunya fever,vector,aedes luteocephalus,,mosquito,species,aedes luteocephalus,probable,review,TRUE,FALSE,FALSE,,FALSE,FALSE,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,supported,vector_v0_1,tax_id_missing; bites_humans_unknown; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
chikungunya fever|aedes notoscriptus|NA,Chikungunya fever,vector,aedes notoscriptus,,mosquito,species,aedes notoscriptus,candidate,lab,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,competent,yes,,,TRUE,TRUE,TRUE,TRUE,FALSE,strong,vector_v0_1,tax_id_missing; vector_role_hint_blank; natural_infection_unknown,vector_tier_rules_v0_1
chikungunya fever|aedes procax|NA,Chikungunya fever,vector,aedes procax,,mosquito,species,aedes procax,probable,lab,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,competent,yes,,,TRUE,TRUE,TRUE,TRUE,FALSE,strong,vector_v0_1,tax_id_missing; vector_role_hint_blank; natural_infection_unknown,vector_tier_rules_v0_1
chikungunya fever|aedes togoi|NA,Chikungunya fever,vector,aedes togoi,,mosquito,species,aedes togoi,candidate,review,TRUE,FALSE,FALSE,,FALSE,FALSE,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,broad,vector_v0_1,tax_id_missing; bites_humans_unknown; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
chikungunya fever|aedes triseriatus|NA,Chikungunya fever,vector,aedes triseriatus,,mosquito,species,aedes triseriatus,candidate,review,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,supported,vector_v0_1,tax_id_missing; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
chikungunya fever|aedes vexans|NA,Chikungunya fever,vector,aedes vexans,,mosquito,species,aedes vexans,candidate,review,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,supported,vector_v0_1,tax_id_missing; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
chikungunya fever|aedes vigilax|NA,Chikungunya fever,vector,aedes vigilax,,mosquito,species,aedes vigilax,probable,lab,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,competent,yes,,,TRUE,TRUE,TRUE,TRUE,TRUE,strict,vector_v0_1,tax_id_missing; vector_role_hint_blank; natural_infection_unknown,vector_tier_rules_v0_1
