disease_name,disease_name_clean,vector_species,vector_species_clean,vector_group,vector_group_clean,best_evidence_level,best_evidence_basis,record_sources,source_count,supporting_row_count,locations_summary,sources_summary,notes_summary,has_lit_review,has_efsa,vector_species_rule_cleaned,taxonomy_cleanup_method,vector_species_original,vector_species_taxonomy_cleaned,vector_taxon_rank,review_needed,review_note
Chikungunya fever,chikungunya fever,Aedes aegypti,aedes aegypti,mosquito,mosquito,confirmed,review,lit_review,1,3,Africa; Asia; Americas; Australia; global,"(Delrieu et al., 2023); (Higgs and Vanlandingham, 2015); (Van Den Hurk et al., 2010)",major potential vector; efficient laboratory vector; primary vector,TRUE,FALSE,aedes aegypti,no_change,Aedes aegypti,aedes aegypti,species,FALSE,
Chikungunya fever,chikungunya fever,Aedes africanus,aedes africanus,mosquito,mosquito,probable,review,lit_review,1,1,Africa,"(Higgs and Vanlandingham, 2015)",sylvatic cycle,TRUE,FALSE,aedes africanus,no_change,Aedes africanus,aedes africanus,species,FALSE,
Chikungunya fever,chikungunya fever,Aedes albopictus,aedes albopictus,mosquito,mosquito,confirmed,review,lit_review,1,3,Africa; Asia; Europe; Americas; Australia; global,"(Delrieu et al., 2023); (Higgs and Vanlandingham, 2015); (Van Den Hurk et al., 2010)",moderately efficient laboratory vector; primary/major vector,TRUE,FALSE,aedes albopictus,no_change,Aedes albopictus,aedes albopictus,species,FALSE,
Chikungunya fever,chikungunya fever,Aedes fulgens,aedes fulgens,mosquito,mosquito,candidate,review,lit_review,1,1,,"(Higgs and Vanlandingham, 2015)",lab competence,TRUE,FALSE,aedes fulgens,no_change,Aedes fulgens,aedes fulgens,species,FALSE,
Chikungunya fever,chikungunya fever,Aedes furcifer,aedes furcifer,mosquito,mosquito,candidate,review,lit_review,1,1,,"(Higgs and Vanlandingham, 2015)",lab competence,TRUE,FALSE,aedes furcifer,no_change,Aedes furcifer,aedes furcifer,species,FALSE,
Chikungunya fever,chikungunya fever,Aedes furcifer-taylori,aedes furcifer taylori,mosquito,mosquito,probable,review,lit_review,1,1,Africa,"(Higgs and Vanlandingham, 2015)",sylvatic cycle,TRUE,FALSE,aedes furcifer taylori,no_change,Aedes furcifer-taylori,aedes furcifer taylori,infraspecific,FALSE,
Chikungunya fever,chikungunya fever,Aedes hensilli,aedes hensilli,mosquito,mosquito,probable,review,lit_review,1,2,"Yap Island, Federated States of Micronesia","(Higgs and Vanlandingham, 2015); (Ledermann et al., 2014)",lab susceptible; outbreak-associated; limited evidence,TRUE,FALSE,aedes hensilli,no_change,Aedes hensilli,aedes hensilli,species,FALSE,
Chikungunya fever,chikungunya fever,Aedes luteocephalus,aedes luteocephalus,mosquito,mosquito,probable,review,lit_review,1,1,Africa,"(Higgs and Vanlandingham, 2015)",sylvatic cycle,TRUE,FALSE,aedes luteocephalus,no_change,Aedes luteocephalus,aedes luteocephalus,species,FALSE,
Chikungunya fever,chikungunya fever,Aedes notoscriptus,aedes notoscriptus,mosquito,mosquito,candidate,lab,lit_review,1,1,Australia,"(Van Den Hurk et al., 2010)",lower transmission; midgut escape barrier,TRUE,FALSE,aedes notoscriptus,no_change,Aedes notoscriptus,aedes notoscriptus,species,FALSE,
Chikungunya fever,chikungunya fever,Aedes procax,aedes procax,mosquito,mosquito,probable,lab,lit_review,1,1,Australia,"(Van Den Hurk et al., 2010)",efficient laboratory vector,TRUE,FALSE,aedes procax,no_change,Aedes procax,aedes procax,species,FALSE,
Chikungunya fever,chikungunya fever,Aedes togoi,aedes togoi,mosquito,mosquito,candidate,review,lit_review,1,1,,"(Higgs and Vanlandingham, 2015)",lab competence,TRUE,FALSE,aedes togoi,no_change,Aedes togoi,aedes togoi,species,FALSE,
Chikungunya fever,chikungunya fever,Aedes triseriatus,aedes triseriatus,mosquito,mosquito,candidate,review,lit_review,1,1,,"(Higgs and Vanlandingham, 2015)",lab competence,TRUE,FALSE,aedes triseriatus,no_change,Aedes triseriatus,aedes triseriatus,species,FALSE,
Chikungunya fever,chikungunya fever,Aedes vexans,aedes vexans,mosquito,mosquito,candidate,review,lit_review,1,1,,"(Higgs and Vanlandingham, 2015)",lab competence,TRUE,FALSE,aedes vexans,no_change,Aedes vexans,aedes vexans,species,FALSE,
Chikungunya fever,chikungunya fever,Aedes vigilax,aedes vigilax,mosquito,mosquito,probable,lab,lit_review,1,1,Australia,"(Van Den Hurk et al., 2010)",efficient laboratory vector,TRUE,FALSE,aedes vigilax,no_change,Aedes vigilax,aedes vigilax,species,FALSE,
Chikungunya fever,chikungunya fever,Aedes vittatus,aedes vittatus,mosquito,mosquito,candidate,review,lit_review,1,1,,"(Higgs and Vanlandingham, 2015)",lab competence,TRUE,FALSE,aedes vittatus,no_change,Aedes vittatus,aedes vittatus,species,FALSE,
Chikungunya fever,chikungunya fever,Coquillettidia linealis,coquillettidia linealis,mosquito,mosquito,probable,lab,lit_review,1,1,Australia,"(Van Den Hurk et al., 2010)",efficient laboratory vector,TRUE,FALSE,coquillettidia linealis,no_change,Coquillettidia linealis,coquillettidia linealis,species,FALSE,
Chikungunya fever,chikungunya fever,Culex annulirostris,culex annulirostris,mosquito,mosquito,weak,lab,lit_review,1,1,Australia,"(Van Den Hurk et al., 2010)",poor laboratory vector; low transmission,TRUE,FALSE,culex annulirostris,no_change,Culex annulirostris,culex annulirostris,species,FALSE,
Chikungunya fever,chikungunya fever,Culex sitiens,culex sitiens,mosquito,mosquito,weak,lab,lit_review,1,1,Australia,"(Van Den Hurk et al., 2010)",poor laboratory vector; very low transmission,TRUE,FALSE,culex sitiens,no_change,Culex sitiens,culex sitiens,species,FALSE,
Chikungunya fever,chikungunya fever,Eretmapodites chrysogaster,eretmapodites chrysogaster,mosquito,mosquito,candidate,review,lit_review,1,1,,"(Higgs and Vanlandingham, 2015)",lab competence,TRUE,FALSE,eretmapodites chrysogaster,no_change,Eretmapodites chrysogaster,eretmapodites chrysogaster,species,FALSE,
Chikungunya fever,chikungunya fever,Opifex fuscus,opifex fuscus,mosquito,mosquito,candidate,review,lit_review,1,1,,"(Higgs and Vanlandingham, 2015)",lab competence,TRUE,FALSE,opifex fuscus,no_change,Opifex fuscus,opifex fuscus,species,FALSE,
Chikungunya fever,chikungunya fever,Verrallina funerea,verrallina funerea,mosquito,mosquito,candidate,lab,lit_review,1,1,Australia,"(Van Den Hurk et al., 2010)",low transmission,TRUE,FALSE,verrallina funerea,no_change,Verrallina funerea,verrallina funerea,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Amblyomma lepidum,amblyomma lepidum,tick,tick,candidate,review,lit_review,1,1,Arab world,Perveen and Khan 2022,,TRUE,FALSE,amblyomma lepidum,no_change,Amblyomma lepidum,amblyomma lepidum,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Amblyomma variegatum,amblyomma variegatum,tick,tick,confirmed,review,lit_review,1,3,Arab world; Sub-Saharan Africa,Celina et al. 2025; Perveen and Khan 2022; Shahhosseini et al. 2021,confirmed vector,TRUE,FALSE,amblyomma variegatum,no_change,Amblyomma variegatum,amblyomma variegatum,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Dermacentor marginatus,dermacentor marginatus,tick,tick,candidate,review,lit_review,1,3,Southern Europe;Middle East; Mediterranean,Celina et al. 2025; EFSA 2010; Shahhosseini et al. 2021,no conclusive studies; potential vector,TRUE,FALSE,dermacentor marginatus,no_change,Dermacentor marginatus,dermacentor marginatus,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Dermacentor niveus,dermacentor niveus,tick,tick,candidate,review,lit_review,1,1,Tajikistan,Shahhosseini et al. 2021,,TRUE,FALSE,dermacentor niveus,no_change,Dermacentor niveus,dermacentor niveus,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Dermacentor nuttalli,dermacentor nuttalli,tick,tick,candidate,review,lit_review,1,1,,Celina et al. 2025,potential vector,TRUE,FALSE,dermacentor nuttalli,no_change,Dermacentor nuttalli,dermacentor nuttalli,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Haemaphysalis concinna,haemaphysalis concinna,tick,tick,candidate,review,lit_review,1,2,Turkey,Celina et al. 2025; Shahhosseini et al. 2021,potential vector,TRUE,FALSE,haemaphysalis concinna,no_change,Haemaphysalis concinna,haemaphysalis concinna,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Haemaphysalis inermis,haemaphysalis inermis,tick,tick,candidate,review,lit_review,1,2,Iran,Celina et al. 2025; Shahhosseini et al. 2021,potential vector,TRUE,FALSE,haemaphysalis inermis,no_change,Haemaphysalis inermis,haemaphysalis inermis,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Haemaphysalis parva,haemaphysalis parva,tick,tick,candidate,review,lit_review,1,2,"Turkey, North Caucasus",Celina et al. 2025; Shahhosseini et al. 2021,potential vector,TRUE,FALSE,haemaphysalis parva,no_change,Haemaphysalis parva,haemaphysalis parva,species,FALSE,
