disease_name,disease_name_clean,vector_species,vector_species_clean,vector_group,vector_group_clean,best_evidence_level,best_evidence_basis,record_sources,source_count,supporting_row_count,locations_summary,sources_summary,notes_summary,has_lit_review,has_efsa,vector_species_rule_cleaned,taxonomy_cleanup_method,vector_species_original,vector_species_taxonomy_cleaned,vector_taxon_rank,review_needed,review_note,vector_join_key,competence_disease_name,vector_competence_species,vector_competence_group,vector_competence_status,competence_statuses,vector_competence_evidence_types,transmission_demonstrated,natural_infection_reported,vector_role_hint,uncertainty_reason,competence_locations_summary,competence_source_examples,competence_note_examples,competence_row_count,vector_competence_name_cleanup_methods
Chikungunya fever,chikungunya fever,Aedes aegypti,aedes aegypti,mosquito,mosquito,confirmed,review,lit_review,1,3,Africa; Asia; Americas; Australia; global,"(Delrieu et al., 2023); (Higgs and Vanlandingham, 2015); (Van Den Hurk et al., 2010)",major potential vector; efficient laboratory vector; primary vector,TRUE,FALSE,aedes aegypti,no_change,Aedes aegypti,aedes aegypti,species,FALSE,,aedes aegypti,Chikungunya fever,Aedes aegypti,mosquito,competent,competent,lab_experiment,yes,,,,"Queensland, Australia",van den Hurk et al. 2010,efficient laboratory vector; transmission 64%,1,normalized_name
Chikungunya fever,chikungunya fever,Aedes africanus,aedes africanus,mosquito,mosquito,probable,review,lit_review,1,1,Africa,"(Higgs and Vanlandingham, 2015)",sylvatic cycle,TRUE,FALSE,aedes africanus,no_change,Aedes africanus,aedes africanus,species,FALSE,,aedes africanus,,,,,,,,,,,,,,,
Chikungunya fever,chikungunya fever,Aedes albopictus,aedes albopictus,mosquito,mosquito,confirmed,review,lit_review,1,3,Africa; Asia; Europe; Americas; Australia; global,"(Delrieu et al., 2023); (Higgs and Vanlandingham, 2015); (Van Den Hurk et al., 2010)",moderately efficient laboratory vector; primary/major vector,TRUE,FALSE,aedes albopictus,no_change,Aedes albopictus,aedes albopictus,species,FALSE,,aedes albopictus,Chikungunya fever,Ae. albopictus,mosquito,competent,competent,lab_experiment,yes,,,,"Queensland, Australia",van den Hurk et al. 2010,efficient laboratory vector; transmission 32%,1,rule_expand_genus_abbreviation
Chikungunya fever,chikungunya fever,Aedes fulgens,aedes fulgens,mosquito,mosquito,candidate,review,lit_review,1,1,,"(Higgs and Vanlandingham, 2015)",lab competence,TRUE,FALSE,aedes fulgens,no_change,Aedes fulgens,aedes fulgens,species,FALSE,,aedes fulgens,Chikungunya fever,Aedes fulgens,mosquito,competent,competent,narrative_review,yes,,,,South Africa,Coffey et al. 2014,review table reports transmission,1,normalized_name
Chikungunya fever,chikungunya fever,Aedes furcifer,aedes furcifer,mosquito,mosquito,candidate,review,lit_review,1,1,,"(Higgs and Vanlandingham, 2015)",lab competence,TRUE,FALSE,aedes furcifer,no_change,Aedes furcifer,aedes furcifer,species,FALSE,,aedes furcifer,Chikungunya fever,Aedes furcifer,mosquito,competent,competent,narrative_review,yes,,sylvatic_vector,,Africa,Coffey et al. 2014,sylvatic vector; transmission shown in the reviewed studies,1,normalized_name
Chikungunya fever,chikungunya fever,Aedes furcifer-taylori,aedes furcifer taylori,mosquito,mosquito,probable,review,lit_review,1,1,Africa,"(Higgs and Vanlandingham, 2015)",sylvatic cycle,TRUE,FALSE,aedes furcifer taylori,no_change,Aedes furcifer-taylori,aedes furcifer taylori,infraspecific,FALSE,,aedes furcifer taylori,,,,,,,,,,,,,,,
Chikungunya fever,chikungunya fever,Aedes hensilli,aedes hensilli,mosquito,mosquito,probable,review,lit_review,1,2,"Yap Island, Federated States of Micronesia","(Higgs and Vanlandingham, 2015); (Ledermann et al., 2014)",lab susceptible; outbreak-associated; limited evidence,TRUE,FALSE,aedes hensilli,no_change,Aedes hensilli,aedes hensilli,species,FALSE,,aedes hensilli,Chikungunya fever,Aedes hensilli,mosquito,unclear,unclear,field_plus_lab,,no,,no_transmission_demonstrated,"Yap Island, Federated States of Micronesia",Ledermann et al. 2014,"field surveys were negative; lab infection 62% and dissemination 80%, but no transmission assay",1,normalized_name
Chikungunya fever,chikungunya fever,Aedes luteocephalus,aedes luteocephalus,mosquito,mosquito,probable,review,lit_review,1,1,Africa,"(Higgs and Vanlandingham, 2015)",sylvatic cycle,TRUE,FALSE,aedes luteocephalus,no_change,Aedes luteocephalus,aedes luteocephalus,species,FALSE,,aedes luteocephalus,,,,,,,,,,,,,,,
Chikungunya fever,chikungunya fever,Aedes notoscriptus,aedes notoscriptus,mosquito,mosquito,candidate,lab,lit_review,1,1,Australia,"(Van Den Hurk et al., 2010)",lower transmission; midgut escape barrier,TRUE,FALSE,aedes notoscriptus,no_change,Aedes notoscriptus,aedes notoscriptus,species,FALSE,,aedes notoscriptus,Chikungunya fever,Ae. notoscriptus,mosquito,competent,competent,lab_experiment,yes,,,,"Queensland, Australia",van den Hurk et al. 2010,midgut escape barrier; transmission 20%,1,rule_expand_genus_abbreviation
Chikungunya fever,chikungunya fever,Aedes procax,aedes procax,mosquito,mosquito,probable,lab,lit_review,1,1,Australia,"(Van Den Hurk et al., 2010)",efficient laboratory vector,TRUE,FALSE,aedes procax,no_change,Aedes procax,aedes procax,species,FALSE,,aedes procax,Chikungunya fever,Ae. procax,mosquito,competent,competent,lab_experiment,yes,,,,"Queensland, Australia",van den Hurk et al. 2010,highly susceptible; transmission 64%,1,rule_expand_genus_abbreviation
