disease_name_join,vector_join_key,competence_disease_name,vector_competence_species,vector_competence_group,vector_competence_status,competence_statuses,vector_competence_evidence_types,transmission_demonstrated,natural_infection_reported,vector_role_hint,uncertainty_reason,competence_locations_summary,competence_source_examples,competence_note_examples,competence_row_count,vector_competence_name_cleanup_methods
chikungunya fever,aedes aegypti,Chikungunya fever,Aedes aegypti,mosquito,competent,competent,lab_experiment,yes,,,,"Queensland, Australia",van den Hurk et al. 2010,efficient laboratory vector; transmission 64%,1,normalized_name
chikungunya fever,aedes albopictus,Chikungunya fever,Ae. albopictus,mosquito,competent,competent,lab_experiment,yes,,,,"Queensland, Australia",van den Hurk et al. 2010,efficient laboratory vector; transmission 32%,1,rule_expand_genus_abbreviation
chikungunya fever,aedes fulgens,Chikungunya fever,Aedes fulgens,mosquito,competent,competent,narrative_review,yes,,,,South Africa,Coffey et al. 2014,review table reports transmission,1,normalized_name
chikungunya fever,aedes furcifer,Chikungunya fever,Aedes furcifer,mosquito,competent,competent,narrative_review,yes,,sylvatic_vector,,Africa,Coffey et al. 2014,sylvatic vector; transmission shown in the reviewed studies,1,normalized_name
chikungunya fever,aedes hensilli,Chikungunya fever,Aedes hensilli,mosquito,unclear,unclear,field_plus_lab,,no,,no_transmission_demonstrated,"Yap Island, Federated States of Micronesia",Ledermann et al. 2014,"field surveys were negative; lab infection 62% and dissemination 80%, but no transmission assay",1,normalized_name
chikungunya fever,aedes notoscriptus,Chikungunya fever,Ae. notoscriptus,mosquito,competent,competent,lab_experiment,yes,,,,"Queensland, Australia",van den Hurk et al. 2010,midgut escape barrier; transmission 20%,1,rule_expand_genus_abbreviation
chikungunya fever,aedes procax,Chikungunya fever,Ae. procax,mosquito,competent,competent,lab_experiment,yes,,,,"Queensland, Australia",van den Hurk et al. 2010,highly susceptible; transmission 64%,1,rule_expand_genus_abbreviation
chikungunya fever,aedes vigilax,Chikungunya fever,Ae. vigilax,mosquito,competent,competent,lab_experiment,yes,,,,"Queensland, Australia",van den Hurk et al. 2010,highest transmission in study; 76%,1,rule_expand_genus_abbreviation
chikungunya fever,aedes vittatus,Chikungunya fever,Aedes vittatus,mosquito,competent,competent,narrative_review,yes,,,,Senegal,Coffey et al. 2014,review table reports experimental transmission,1,normalized_name
chikungunya fever,coquillettidia linealis,Chikungunya fever,Coquillettidia linealis,mosquito,competent,competent,lab_experiment,yes,,,,"Queensland, Australia",van den Hurk et al. 2010,transmission 75%; efficient laboratory vector,1,normalized_name
chikungunya fever,culex annulirostris,Chikungunya fever,Culex annulirostris,mosquito,competent,competent,lab_experiment,yes,,,low_competence_or_efficiency,"Queensland, Australia",van den Hurk et al. 2010,poor laboratory vector but transmission observed; 12%,1,normalized_name
chikungunya fever,culex pipiens,Chikungunya fever,Culex pipiens,mosquito,not_competent,not_competent,narrative_review,no,,,,France,Coffey et al. 2014,review table reports 0 infection and 0 transmission,1,normalized_name
chikungunya fever,culex quinquefasciatus,Chikungunya fever,Cx. quinquefasciatus,mosquito,not_competent,not_competent,lab_experiment,no,,,,"Queensland, Australia",van den Hurk et al. 2010,refractory to infection,1,rule_expand_genus_abbreviation
