Family,PHEIC risk,Pathogens,previous_name,msl39_viral_name,Disease_name,is_priority_pathogen,is_prototype_pathogen,in_gibb_etal,in_empres_i,priority_prototype_status,region_africa,region_americas,region_europe,region_mediterranean,region_se_asia,region_western_pacific
Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H10N1),Influenza A,Alphainfluenzavirus influenzae,Influenza (H10N1),TRUE,FALSE,FALSE,FALSE,priority,priority,priority,priority,priority,priority,none
Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H1N1),Influenza A,Alphainfluenzavirus influenzae,Influenza (H1N1),TRUE,TRUE,FALSE,FALSE,both,both,both,both,both,both,both
Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H2N1),Influenza A,Alphainfluenzavirus influenzae,Influenza (H2N1),TRUE,FALSE,FALSE,FALSE,priority,priority,priority,priority,priority,priority,none
Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H3N1),Influenza A,Alphainfluenzavirus influenzae,Influenza (H3N1),TRUE,FALSE,FALSE,FALSE,priority,priority,priority,priority,priority,priority,none
Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H3N2),Influenza A,Alphainfluenzavirus influenzae,Influenza (H3N2),TRUE,FALSE,FALSE,FALSE,priority,none,none,none,none,none,priority
Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H5N1),Influenza A,Alphainfluenzavirus influenzae,Influenza (H5N1 avian influenza),TRUE,TRUE,TRUE,TRUE,both,both,both,both,both,both,none
Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H6N1),Influenza A,Alphainfluenzavirus influenzae,Influenza (H6N1),TRUE,FALSE,FALSE,FALSE,priority,priority,priority,priority,priority,priority,none
Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H7N1),Influenza A,Alphainfluenzavirus influenzae,Influenza (H7N1),TRUE,FALSE,FALSE,FALSE,priority,priority,priority,priority,priority,priority,none
Togaviridae,High,Alphavirus chikungunya,Chikungunya virus,Alphavirus chikungunya,Chikungunya fever,TRUE,TRUE,TRUE,FALSE,both,both,both,none,none,both,both
Togaviridae,High,Alphavirus venezuelan,Venezuelan equine encephalitis virus,Alphavirus venezuelan,Venezuelan equine encephalitis,TRUE,TRUE,FALSE,TRUE,both,none,both,none,none,none,none
Phenuiviridae,High,Bandavirus dabieense,SFTS virus,Bandavirus dabieense,Severe fever with thrombocytopenia syndrome (SFTS),TRUE,TRUE,FALSE,FALSE,both,none,none,none,none,both,both
Rhabdoviridae,Low,Genus Vesiculovirus,Genus Vesiculovirus,Genus Vesiculovirus,Vesicular stomatitis,FALSE,TRUE,FALSE,TRUE,prototype,prototype,prototype,prototype,prototype,prototype,prototype
Paramyxoviridae,High,Henipavirus nipahense,Nipah virus,Henipavirus nipahense,Nipah virus disease,TRUE,TRUE,TRUE,TRUE,both,none,none,none,none,both,both
Arenaviridae,High,Mammarenavirus juninense,Junin virus,Mammarenavirus juninense,Argentine hemorrhagic fever,FALSE,TRUE,TRUE,FALSE,prototype,none,prototype,none,none,none,none
Arenaviridae,High,Mammarenavirus lassaense,Lassa Fever virus,Mammarenavirus lassaense,Lassa fever,TRUE,TRUE,TRUE,FALSE,both,both,none,none,none,none,none
