Pathogen,PathogenTaxID,Disease_name,HostTaxID,Host,PathogenClass,PathogenOrder,PathogenFamily,HostClass,HostFamily,HostOrder,DetectionMethod,MainSource,PathogenType,analysis_unit_id,master_row,disease_master_name,resolved_pathogen_name,host_query_bucket,host_query_include_default,match_review_flag,shared_species_proxy_flag,match_review_notes,match_method,source_database,source_assoc_id,source_host_flag_id,host_query_pathogen_names,host_query_taxids
henipavirus hendraense,3052223,Hendra virus disease,170213,dobsonia andersoni,monjiviricetes,mononegavirales,paramyxoviridae,mammalia,pteropodidae,chiroptera,Antibodies,VIRION,virus,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,83446,FALSE,henipavirus hendraense,3052223
henipavirus hendraense,3052223,Hendra virus disease,42147,dobsonia moluccensis,monjiviricetes,mononegavirales,paramyxoviridae,mammalia,pteropodidae,chiroptera,Antibodies,VIRION,virus,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,83457,FALSE,henipavirus hendraense,3052223
henipavirus hendraense,3052223,Hendra virus disease,58063,eidolon dupreanum,monjiviricetes,mononegavirales,paramyxoviridae,mammalia,pteropodidae,chiroptera,Antibodies,VIRION,virus,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,83761,FALSE,henipavirus hendraense,3052223
henipavirus hendraense,3052223,Hendra virus disease,77214,eidolon helvum,monjiviricetes,mononegavirales,paramyxoviridae,mammalia,pteropodidae,chiroptera,Antibodies,VIRION,virus,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,84195,FALSE,henipavirus hendraense,3052223
henipavirus hendraense,3052223,Hendra virus disease,77214,eidolon helvum,monjiviricetes,mononegavirales,paramyxoviridae,mammalia,pteropodidae,chiroptera,PCR/Sequencing,VIRION,virus,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,84196,FALSE,henipavirus hendraense,3052223
henipavirus hendraense,3052223,Hendra virus disease,9796,equus caballus,monjiviricetes,mononegavirales,paramyxoviridae,mammalia,equidae,perissodactyla,Not specified,VIRION,virus,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,EID2,88374,FALSE,henipavirus hendraense,3052223
henipavirus hendraense,3052223,Hendra virus disease,9796,equus caballus,monjiviricetes,mononegavirales,paramyxoviridae,mammalia,equidae,perissodactyla,PCR/Sequencing,VIRION,virus,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,EID2,88386,FALSE,henipavirus hendraense,3052223
henipavirus hendraense,3052223,Hendra virus disease,9796,equus caballus,monjiviricetes,mononegavirales,paramyxoviridae,mammalia,equidae,perissodactyla,Isolation/Observation,VIRION,virus,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,88371,FALSE,henipavirus hendraense,3052223
henipavirus hendraense,3052223,Hendra virus disease,9606,homo sapiens,monjiviricetes,mononegavirales,paramyxoviridae,mammalia,hominidae,primates,Not specified,VIRION,virus,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,EID2,496446,FALSE,henipavirus hendraense,3052223
henipavirus hendraense,3052223,Hendra virus disease,9606,homo sapiens,monjiviricetes,mononegavirales,paramyxoviridae,mammalia,hominidae,primates,PCR/Sequencing,VIRION,virus,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,EID2,496469,FALSE,henipavirus hendraense,3052223
henipavirus hendraense,3052223,Hendra virus disease,9606,homo sapiens,monjiviricetes,mononegavirales,paramyxoviridae,mammalia,hominidae,primates,Isolation/Observation,VIRION,virus,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,496443,FALSE,henipavirus hendraense,3052223
henipavirus hendraense,3052223,Hendra virus disease,58082,pteropus admiralitatum,monjiviricetes,mononegavirales,paramyxoviridae,mammalia,pteropodidae,chiroptera,Antibodies,VIRION,virus,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,799340,FALSE,henipavirus hendraense,3052223
henipavirus hendraense,3052223,Hendra virus disease,9402,pteropus alecto,monjiviricetes,mononegavirales,paramyxoviridae,mammalia,pteropodidae,chiroptera,Isolation/Observation,VIRION,virus,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,799401,FALSE,henipavirus hendraense,3052223
henipavirus hendraense,3052223,Hendra virus disease,1291037,pteropus capistratus,monjiviricetes,mononegavirales,paramyxoviridae,mammalia,pteropodidae,chiroptera,Antibodies,VIRION,virus,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,799499,FALSE,henipavirus hendraense,3052223
henipavirus hendraense,3052223,Hendra virus disease,328804,pteropus conspicillatus,monjiviricetes,mononegavirales,paramyxoviridae,mammalia,pteropodidae,chiroptera,Isolation/Observation,VIRION,virus,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,799501,FALSE,henipavirus hendraense,3052223
henipavirus hendraense,3052223,Hendra virus disease,328804,pteropus conspicillatus,monjiviricetes,mononegavirales,paramyxoviridae,mammalia,pteropodidae,chiroptera,Not specified,VIRION,virus,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,799502,FALSE,henipavirus hendraense,3052223
henipavirus hendraense,3052223,Hendra virus disease,9405,pteropus hypomelanus,monjiviricetes,mononegavirales,paramyxoviridae,mammalia,pteropodidae,chiroptera,Antibodies,VIRION,virus,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,799513,FALSE,henipavirus hendraense,3052223
henipavirus hendraense,3052223,Hendra virus disease,170224,pteropus neohibernicus,monjiviricetes,mononegavirales,paramyxoviridae,mammalia,pteropodidae,chiroptera,Antibodies,VIRION,virus,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,799864,FALSE,henipavirus hendraense,3052223
henipavirus hendraense,3052223,Hendra virus disease,9403,pteropus poliocephalus,monjiviricetes,mononegavirales,paramyxoviridae,mammalia,pteropodidae,chiroptera,Isolation/Observation,VIRION,virus,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,799912,FALSE,henipavirus hendraense,3052223
henipavirus hendraense,3052223,Hendra virus disease,9403,pteropus poliocephalus,monjiviricetes,mononegavirales,paramyxoviridae,mammalia,pteropodidae,chiroptera,PCR/Sequencing,VIRION,virus,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,GenBank,799916,FALSE,henipavirus hendraense,3052223
henipavirus hendraense,3052223,Hendra virus disease,196297,pteropus rufus,monjiviricetes,mononegavirales,paramyxoviridae,mammalia,pteropodidae,chiroptera,Antibodies,VIRION,virus,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,799967,FALSE,henipavirus hendraense,3052223
henipavirus hendraense,3052223,Hendra virus disease,94117,pteropus scapulatus,monjiviricetes,mononegavirales,paramyxoviridae,mammalia,pteropodidae,chiroptera,Isolation/Observation,VIRION,virus,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,799989,FALSE,henipavirus hendraense,3052223
henipavirus hendraense,3052223,Hendra virus disease,94117,pteropus scapulatus,monjiviricetes,mononegavirales,paramyxoviridae,mammalia,pteropodidae,chiroptera,Not specified,VIRION,virus,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,799990,FALSE,henipavirus hendraense,3052223
orthoflavivirus japonicum,11072,Japanese encephalitis,8832,aix galericulata,flasuviricetes,amarillovirales,flaviviridae,aves,anatidae,anseriformes,Antibodies,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,16320,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,11072,Japanese encephalitis,28680,anas acuta,flasuviricetes,amarillovirales,flaviviridae,aves,anatidae,anseriformes,Antibodies,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,18421,FALSE,orthoflavivirus japonicum,11072; 3048158
