Pathogen,PathogenTaxID,PHEIC risk,Disease_name,HostTaxID,Host,PathogenClass,PathogenOrder,PathogenFamily,PathogenGenus,HostPhylum,HostClass,HostFamily,HostOrder,DetectionMethod,high_quality_detection,downstream_default_include,downstream_review_reason,MainSource,PathogenType,in_gibb_etal,in_empres_i,Host_raw,host_name_cleaning_method,analysis_unit_id,master_row,disease_master_name,resolved_pathogen_name,host_query_bucket,host_query_include_default,match_review_flag,shared_species_proxy_flag,match_review_notes,match_method,source_database,source_assoc_id,source_host_flag_id,host_query_pathogen_names,host_query_taxids,host_count_for_analysis_unit,all_method_host_count_for_analysis_unit,host_count_flag,host_taxonomy_ready,host_taxonomy_flag,is_human_host,is_model_or_lab_host,is_domestic_or_livestock_hint
henipavirus hendraense,3052223,,Hendra virus disease,170213,dobsonia andersoni,monjiviricetes,mononegavirales,paramyxoviridae,,,mammalia,pteropodidae,chiroptera,Antibodies,FALSE,FALSE,detection_method=Antibodies,VIRION,virus,,,dobsonia andersoni,source_name_fallback,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,83446,FALSE,henipavirus hendraense,3052223,7,15,expected_range,TRUE,species_like,FALSE,FALSE,FALSE
henipavirus hendraense,3052223,,Hendra virus disease,42147,dobsonia moluccensis,monjiviricetes,mononegavirales,paramyxoviridae,,,mammalia,pteropodidae,chiroptera,Antibodies,FALSE,FALSE,detection_method=Antibodies,VIRION,virus,,,dobsonia moluccensis,source_name_fallback,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,83457,FALSE,henipavirus hendraense,3052223,7,15,expected_range,TRUE,species_like,FALSE,FALSE,FALSE
henipavirus hendraense,3052223,,Hendra virus disease,58063,eidolon dupreanum,monjiviricetes,mononegavirales,paramyxoviridae,,,mammalia,pteropodidae,chiroptera,Antibodies,FALSE,FALSE,detection_method=Antibodies,VIRION,virus,,,eidolon dupreanum,source_name_fallback,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,83761,FALSE,henipavirus hendraense,3052223,7,15,expected_range,TRUE,species_like,FALSE,FALSE,FALSE
henipavirus hendraense,3052223,,Hendra virus disease,77214,Eidolon helvum,monjiviricetes,mononegavirales,paramyxoviridae,,CHORDATA,MAMMALIA,PTEROPODIDAE,CHIROPTERA,Antibodies,FALSE,FALSE,detection_method=Antibodies,VIRION,virus,,,eidolon helvum,source_taxid_host,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,84195,FALSE,henipavirus hendraense,3052223,7,15,expected_range,TRUE,species_like,FALSE,FALSE,FALSE
henipavirus hendraense,3052223,,Hendra virus disease,77214,Eidolon helvum,monjiviricetes,mononegavirales,paramyxoviridae,,CHORDATA,MAMMALIA,PTEROPODIDAE,CHIROPTERA,PCR/Sequencing,TRUE,TRUE,,VIRION,virus,,,eidolon helvum,source_taxid_host,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,84196,FALSE,henipavirus hendraense,3052223,7,15,expected_range,TRUE,species_like,FALSE,FALSE,FALSE
henipavirus hendraense,3052223,,Hendra virus disease,9796,Equus caballus,monjiviricetes,mononegavirales,paramyxoviridae,,CHORDATA,MAMMALIA,EQUIDAE,PERISSODACTYLA,Not specified,FALSE,FALSE,detection_method=Not specified; domestic_or_livestock_hint,VIRION,virus,,,equus caballus,source_taxid_host,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,EID2,88374,FALSE,henipavirus hendraense,3052223,7,15,expected_range,TRUE,species_like,FALSE,FALSE,TRUE
henipavirus hendraense,3052223,,Hendra virus disease,9796,Equus caballus,monjiviricetes,mononegavirales,paramyxoviridae,,CHORDATA,MAMMALIA,EQUIDAE,PERISSODACTYLA,PCR/Sequencing,TRUE,TRUE,domestic_or_livestock_hint,VIRION,virus,,,equus caballus,source_taxid_host,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,EID2,88386,FALSE,henipavirus hendraense,3052223,7,15,expected_range,TRUE,species_like,FALSE,FALSE,TRUE
henipavirus hendraense,3052223,,Hendra virus disease,9796,Equus caballus,monjiviricetes,mononegavirales,paramyxoviridae,,CHORDATA,MAMMALIA,EQUIDAE,PERISSODACTYLA,Isolation/Observation,TRUE,TRUE,domestic_or_livestock_hint,VIRION,virus,,,equus caballus,source_taxid_host,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,88371,FALSE,henipavirus hendraense,3052223,7,15,expected_range,TRUE,species_like,FALSE,FALSE,TRUE
henipavirus hendraense,3052223,,Hendra virus disease,9606,Homo sapiens,monjiviricetes,mononegavirales,paramyxoviridae,,,mammalia,hominidae,primates,Not specified,FALSE,FALSE,detection_method=Not specified; human_host_flag; model_or_lab_host_flag,VIRION,virus,,,homo sapiens,source_taxid_host,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,EID2,496446,FALSE,henipavirus hendraense,3052223,7,15,expected_range,TRUE,species_like,TRUE,TRUE,FALSE
henipavirus hendraense,3052223,,Hendra virus disease,9606,Homo sapiens,monjiviricetes,mononegavirales,paramyxoviridae,,,mammalia,hominidae,primates,PCR/Sequencing,TRUE,TRUE,human_host_flag; model_or_lab_host_flag,VIRION,virus,,,homo sapiens,source_taxid_host,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,EID2,496469,FALSE,henipavirus hendraense,3052223,7,15,expected_range,TRUE,species_like,TRUE,TRUE,FALSE
