table_name,rows,distinct_analysis_units,distinct_diseases,distinct_pathogens,distinct_hosts,host_taxid_missing_rows,pathogen_taxid_missing_rows,host_query_bucket,source,match_method,source_host_class,analysis_unit_id,disease_master_name,resolved_disease_name
default_host_species,2300,49,49,49,900,0,0,,,,,,,
review_host_species,79,3,3,3,62,0,0,,,,,,,
bucket_source_match_method,687,,,,,,,default_clean,clover,taxid,,,,
bucket_source_match_method,1613,,,,,,,default_clean,virion,taxid,,,,
bucket_source_match_method,7,,,,,,,match_review,clover,taxid,,,,
bucket_source_match_method,72,,,,,,,shared_species_proxy_review,virion,taxid,,,,
bucket_source_host_class,2,,,,,,,default_clean,clover,,amphibia,,,
bucket_source_host_class,94,,,,,,,default_clean,clover,,aves,,,
bucket_source_host_class,4,,,,,,,default_clean,clover,,lepidosauria,,,
bucket_source_host_class,586,,,,,,,default_clean,clover,,mammalia,,,
bucket_source_host_class,1,,,,,,,default_clean,clover,,,,,
bucket_source_host_class,1,,,,,,,default_clean,virion,,actinopteri,,,
bucket_source_host_class,3,,,,,,,default_clean,virion,,amphibia,,,
bucket_source_host_class,200,,,,,,,default_clean,virion,,aves,,,
bucket_source_host_class,13,,,,,,,default_clean,virion,,lepidosauria,,,
bucket_source_host_class,1390,,,,,,,default_clean,virion,,mammalia,,,
bucket_source_host_class,6,,,,,,,default_clean,virion,,,,,
bucket_source_host_class,7,,,,,,,match_review,clover,,mammalia,,,
bucket_source_host_class,19,,,,,,,shared_species_proxy_review,virion,,aves,,,
bucket_source_host_class,53,,,,,,,shared_species_proxy_review,virion,,mammalia,,,
