Pathogen,PathogenTaxID,PHEIC risk,Disease_name,HostTaxID,Host,PathogenClass,PathogenOrder,PathogenFamily,PathogenGenus,HostPhylum,HostClass,HostFamily,HostOrder,DetectionMethod,high_quality_detection,downstream_default_include,downstream_review_reason,MainSource,PathogenType,in_gibb_etal,in_empres_i,modelling_scope_status,modelling_scope_reason,Host_raw,host_name_cleaning_method,source_database,source_assoc_id,source_host_flag_id,host_taxonomy_ready,host_taxonomy_flag,is_human_host,is_model_or_lab_host,is_domestic_or_livestock_hint,host_network_source,source_table,possible_cross_source_duplicate_flag,analysis_unit_id,master_row,disease_master_name,resolved_pathogen_name,host_query_bucket,match_review_flag,shared_species_proxy_flag,match_review_notes,host_count_for_analysis_unit,host_count_flag
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9852,alces alces,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,,,,,Not specified,FALSE,FALSE,detection_method=Not specified,CLOVER,bacteria,,,include,Included as a legacy WHO host-network row with no explicit master-plus disease scope match.,alces alces,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),229073,Amphiprion nigripes,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,actinopterygii,pomacentridae,not assigned,PCR/Sequencing,TRUE,TRUE,,CLOVER,bacteria,,,include,Included as a legacy WHO host-network row with no explicit master-plus disease scope match.,Amphiprion nigripes,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9901,Bison bison,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,bovidae,artiodactyla,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,include,Included as a legacy WHO host-network row with no explicit master-plus disease scope match.,Bison bison,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9901,Bison bison,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,bovidae,artiodactyla,Not specified,FALSE,FALSE,detection_method=Not specified,CLOVER,bacteria,,,include,Included as a legacy WHO host-network row with no explicit master-plus disease scope match.,Bison bison,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9913,Bos taurus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,bovidae,artiodactyla,Not specified,FALSE,FALSE,detection_method=Not specified,CLOVER,bacteria,,,include,Included as a legacy WHO host-network row with no explicit master-plus disease scope match.,Bos taurus,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,TRUE,who,combined_who_network.csv,FALSE,,,,,,,,,,
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9913,Bos taurus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,bovidae,artiodactyla,PCR/Sequencing,TRUE,TRUE,,CLOVER,bacteria,,,include,Included as a legacy WHO host-network row with no explicit master-plus disease scope match.,Bos taurus,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,TRUE,who,combined_who_network.csv,FALSE,,,,,,,,,,
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9612,Canis lupus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,canidae,carnivora,Not specified,FALSE,FALSE,detection_method=Not specified,CLOVER,bacteria,,,include,Included as a legacy WHO host-network row with no explicit master-plus disease scope match.,Canis lupus,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9612,Canis lupus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,canidae,carnivora,PCR/Sequencing,TRUE,TRUE,,CLOVER,bacteria,,,include,Included as a legacy WHO host-network row with no explicit master-plus disease scope match.,Canis lupus,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),94186,Civettictis civetta,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,viverridae,carnivora,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,include,Included as a legacy WHO host-network row with no explicit master-plus disease scope match.,Civettictis civetta,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9796,Equus caballus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,equidae,perissodactyla,Not specified,FALSE,FALSE,detection_method=Not specified,CLOVER,bacteria,,,include,Included as a legacy WHO host-network row with no explicit master-plus disease scope match.,Equus caballus,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,TRUE,who,combined_who_network.csv,FALSE,,,,,,,,,,
