disease_name,disease_name_clean,host,host_tax_id,host_class,host_order,host_family,pathogen_count_in_disease_host_network,pathogen_examples,detection_method_examples,main_source_examples,vector_species,vector_group,best_evidence_level,best_evidence_basis,record_sources,supporting_row_count,disease_vector_taxon_rank,disease_vector_review_needed,host_vector_species,vector_taxon_rank,vector_species_needs_review,vector_host_record_count,vector_name_taxonomy_examples,source_platform_examples,source_dataset_examples,interaction_type_examples,country_examples,review_reason_examples,vector_join_key,link_type,vector_join_match_type,taxonomy_caution
Chikungunya fever,chikungunya fever,Homo sapiens,9606,,,,2,Alphavirus chikungunya,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,aedes aegypti,mosquito,confirmed,review,lit_review,3,species,FALSE,Aedes aegypti,species,FALSE,41,Aedes aegypti,MapVEu; VectorMap,BloodMealMap; MapVEu,blood_meal,Australia; Grenada; Thailand; Unites States,,aedes aegypti,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Chikungunya fever,chikungunya fever,Homo sapiens,9606,,,,2,Alphavirus chikungunya,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,aedes africanus,mosquito,probable,review,lit_review,1,species,FALSE,Aedes africanus,species,FALSE,2,Aedes africanus,VectorMap,BloodMealMap,blood_meal,Uganda,,aedes africanus,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Chikungunya fever,chikungunya fever,Homo sapiens,9606,,,,2,Alphavirus chikungunya,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,aedes albopictus,mosquito,confirmed,review,lit_review,3,species,FALSE,Aedes albopictus,species,FALSE,24,Aedes albopictus,VectorMap,BloodMealMap,blood_meal,Brazil; Japan; Malaysia; Singapore; Thailand; Unites States,,aedes albopictus,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Chikungunya fever,chikungunya fever,Homo sapiens,9606,,,,2,Alphavirus chikungunya,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,aedes notoscriptus,mosquito,candidate,lab,lit_review,1,species,FALSE,Aedes notoscriptus,species,FALSE,3,Aedes notoscriptus,MapVEu; VectorMap,BloodMealMap; MapVEu,blood_meal,Australia,,aedes notoscriptus,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Chikungunya fever,chikungunya fever,Homo sapiens,9606,,,,2,Alphavirus chikungunya,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,aedes triseriatus,mosquito,candidate,review,lit_review,1,species,FALSE,Aedes triseriatus,species,FALSE,5,Aedes triseriatus,VectorMap,BloodMealMap,blood_meal,Unites States,,aedes triseriatus,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Chikungunya fever,chikungunya fever,Homo sapiens,9606,,,,2,Alphavirus chikungunya,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,aedes vexans,mosquito,candidate,review,lit_review,1,species,FALSE,Aedes vexans,species,FALSE,18,Aedes vexans,VectorMap,BloodMealMap,blood_meal,Hungary; Russia; Serbia; Switzerland; Unites States,,aedes vexans,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Chikungunya fever,chikungunya fever,Homo sapiens,9606,,,,2,Alphavirus chikungunya,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,aedes vigilax,mosquito,probable,lab,lit_review,1,species,FALSE,Aedes vigilax,species,FALSE,3,Aedes vigilax,VectorMap,BloodMealMap,blood_meal,Australia,,aedes vigilax,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Chikungunya fever,chikungunya fever,Homo sapiens,9606,,,,2,Alphavirus chikungunya,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,aedes vittatus,mosquito,candidate,review,lit_review,1,species,FALSE,Aedes vittatus,species,FALSE,2,Aedes vittatus,VectorMap,BloodMealMap,blood_meal,Kenya; Nigeria,,aedes vittatus,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Chikungunya fever,chikungunya fever,Homo sapiens,9606,,,,2,Alphavirus chikungunya,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,coquillettidia linealis,mosquito,probable,lab,lit_review,1,species,FALSE,Coquillettidia linealis,species,FALSE,3,Coquillettidia linealis,MapVEu; VectorMap,BloodMealMap; MapVEu,blood_meal,Australia,,coquillettidia linealis,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Chikungunya fever,chikungunya fever,Homo sapiens,9606,,,,2,Alphavirus chikungunya,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,culex annulirostris,mosquito,weak,lab,lit_review,1,species,FALSE,Culex annulirostris,species,FALSE,26,Culex annulirostris,MapVEu; VectorMap,BloodMealMap; MapVEu,blood_meal,Australia; Papua New Guinea,,culex annulirostris,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Chikungunya fever,chikungunya fever,Homo sapiens,9606,,,,2,Alphavirus chikungunya,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,culex sitiens,mosquito,weak,lab,lit_review,1,species,FALSE,Culex sitiens,species,FALSE,8,Culex sitiens,VectorMap,BloodMealMap,blood_meal,Australia; Iran; Singapore,,culex sitiens,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Chikungunya fever,chikungunya fever,Homo sapiens,9606,,,,2,Alphavirus chikungunya,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,verrallina funerea,mosquito,candidate,lab,lit_review,1,species,FALSE,Verrallina funerea,species,FALSE,1,Verrallina funerea,VectorMap,BloodMealMap,blood_meal,Australia,,verrallina funerea,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Chikungunya fever,chikungunya fever,Pan troglodytes,9598,mammalia,primates,hominidae,1,Alphavirus chikungunya,Antibodies; Not specified,VIRION,culex annulirostris,mosquito,weak,lab,lit_review,1,species,FALSE,Culex annulirostris,species,FALSE,1,Culex annulirostris,VectorMap,BloodMealMap,blood_meal,Australia,,culex annulirostris,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Chikungunya fever,chikungunya fever,Rattus rattus,10117,mammalia,rodentia,muridae,1,Alphavirus chikungunya,Antibodies,VIRION,aedes aegypti,mosquito,confirmed,review,lit_review,3,species,FALSE,Aedes aegypti,species,FALSE,33,Aedes aegypti,MapVEu; VectorMap,BloodMealMap; MapVEu,blood_meal,Grenada; Unites States,,aedes aegypti,disease_host_vector_derived,exact_normalized_vector_name,FALSE
