disease_name,disease_name_clean,vector_species,vector_species_clean,vector_group,vector_group_clean,best_evidence_level,best_evidence_basis,record_sources,source_count,supporting_row_count,locations_summary,sources_summary,notes_summary,has_lit_review,has_efsa,vector_species_rule_cleaned,taxonomy_cleanup_method,vector_species_original,vector_species_taxonomy_cleaned,vector_taxon_rank,review_needed,review_note,vector_join_key
Chikungunya fever,chikungunya fever,Aedes fulgens,aedes fulgens,mosquito,mosquito,candidate,review,lit_review,1,1,,"(Higgs and Vanlandingham, 2015)",lab competence,TRUE,FALSE,aedes fulgens,no_change,Aedes fulgens,aedes fulgens,species,FALSE,,aedes fulgens
Chikungunya fever,chikungunya fever,Aedes furcifer,aedes furcifer,mosquito,mosquito,candidate,review,lit_review,1,1,,"(Higgs and Vanlandingham, 2015)",lab competence,TRUE,FALSE,aedes furcifer,no_change,Aedes furcifer,aedes furcifer,species,FALSE,,aedes furcifer
Chikungunya fever,chikungunya fever,Aedes furcifer-taylori,aedes furcifer taylori,mosquito,mosquito,probable,review,lit_review,1,1,Africa,"(Higgs and Vanlandingham, 2015)",sylvatic cycle,TRUE,FALSE,aedes furcifer taylori,no_change,Aedes furcifer-taylori,aedes furcifer taylori,infraspecific,FALSE,,aedes furcifer taylori
Chikungunya fever,chikungunya fever,Aedes hensilli,aedes hensilli,mosquito,mosquito,probable,review,lit_review,1,2,"Yap Island, Federated States of Micronesia","(Higgs and Vanlandingham, 2015); (Ledermann et al., 2014)",lab susceptible; outbreak-associated; limited evidence,TRUE,FALSE,aedes hensilli,no_change,Aedes hensilli,aedes hensilli,species,FALSE,,aedes hensilli
Chikungunya fever,chikungunya fever,Aedes luteocephalus,aedes luteocephalus,mosquito,mosquito,probable,review,lit_review,1,1,Africa,"(Higgs and Vanlandingham, 2015)",sylvatic cycle,TRUE,FALSE,aedes luteocephalus,no_change,Aedes luteocephalus,aedes luteocephalus,species,FALSE,,aedes luteocephalus
Chikungunya fever,chikungunya fever,Aedes togoi,aedes togoi,mosquito,mosquito,candidate,review,lit_review,1,1,,"(Higgs and Vanlandingham, 2015)",lab competence,TRUE,FALSE,aedes togoi,no_change,Aedes togoi,aedes togoi,species,FALSE,,aedes togoi
Chikungunya fever,chikungunya fever,Eretmapodites chrysogaster,eretmapodites chrysogaster,mosquito,mosquito,candidate,review,lit_review,1,1,,"(Higgs and Vanlandingham, 2015)",lab competence,TRUE,FALSE,eretmapodites chrysogaster,no_change,Eretmapodites chrysogaster,eretmapodites chrysogaster,species,FALSE,,eretmapodites chrysogaster
Chikungunya fever,chikungunya fever,Opifex fuscus,opifex fuscus,mosquito,mosquito,candidate,review,lit_review,1,1,,"(Higgs and Vanlandingham, 2015)",lab competence,TRUE,FALSE,opifex fuscus,no_change,Opifex fuscus,opifex fuscus,species,FALSE,,opifex fuscus
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Haemaphysalis inermis,haemaphysalis inermis,tick,tick,candidate,review,lit_review,1,2,Iran,Celina et al. 2025; Shahhosseini et al. 2021,potential vector,TRUE,FALSE,haemaphysalis inermis,no_change,Haemaphysalis inermis,haemaphysalis inermis,species,FALSE,,haemaphysalis inermis
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma asiaticum,hyalomma asiaticum,tick,tick,confirmed,review,EFSA; lit_review,2,5,Asia; global; not specified,Celina et al. 2025; de la Fuente et al. 2024; EFSA Appendix G; Parvage et al. 2025; Shahhosseini et al. 2021,confirmed vector; efsa_pathogen=Crimean-Congo haemorrhagic fever virus; match_confidence=exact; match_method=exact_disease; high-capacity species; principal vector,TRUE,TRUE,hyalomma asiaticum,no_change,Hyalomma asiaticum,hyalomma asiaticum,species,FALSE,,hyalomma asiaticum
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma asiaticum kozlovi,hyalomma asiaticum kozlovi,tick,tick,confirmed,review,lit_review,1,1,,Celina et al. 2025,confirmed vector,TRUE,FALSE,hyalomma asiaticum kozlovi,no_change,Hyalomma asiaticum kozlovi,hyalomma asiaticum kozlovi,infraspecific,FALSE,,hyalomma asiaticum kozlovi
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma detritum,hyalomma detritum,tick,tick,confirmed,review,lit_review,1,2,Middle East; Africa,Celina et al. 2025; Shahhosseini et al. 2021,confirmed vector,TRUE,FALSE,hyalomma detritum,no_change,Hyalomma detritum,hyalomma detritum,species,FALSE,,hyalomma detritum
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma nitidum,hyalomma nitidum,tick,tick,probable,review,lit_review,1,2,Central Africa; global,Parvage et al. 2025; Shahhosseini et al. 2021,,TRUE,FALSE,hyalomma nitidum,no_change,Hyalomma nitidum,hyalomma nitidum,species,FALSE,,hyalomma nitidum
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma onatoli,hyalomma onatoli,tick,tick,candidate,review,lit_review,1,1,Arab world,Perveen and Khan 2022,,TRUE,FALSE,hyalomma onatoli,no_change,Hyalomma onatoli,hyalomma onatoli,species,TRUE,Likely spelling or taxonomy issue; manual decision needed.,hyalomma onatoli
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma schulzei,hyalomma schulzei,tick,tick,confirmed,review,lit_review,1,4,Arab world; Arabia peninsula; global,Celina et al. 2025; Parvage et al. 2025; Perveen and Khan 2022; Shahhosseini et al. 2021,confirmed vector,TRUE,FALSE,hyalomma schulzei,no_change,Hyalomma schulzei,hyalomma schulzei,species,FALSE,,hyalomma schulzei
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma spp.,hyalomma spp,tick,tick,confirmed,review,lit_review,1,4,Africa/Asia/Southern Europe,de la Fuente et al. 2017; Hewson 2024; Spengler et al. 2016,genus-level only; natural vector; principal vector,TRUE,FALSE,hyalomma spp,no_change,Hyalomma spp.,hyalomma spp,genus_only,FALSE,,hyalomma spp
