candidate_id_key,candidate_row_id,batch_id,disease_name,entity_type,entity_name,role_assignment,assignment_confidence
source_check_v_batch_1_west_nile_yellow_fever_dengue_plague_plague_vector_oropsylla_montana_primary_vector_high,candidate_001,v_batch_1_west_nile_yellow_fever_dengue_plague,Plague,vector,Oropsylla montana,primary_vector,high
source_check_v_batch_1_west_nile_yellow_fever_dengue_plague_west_nile_fever_vector_culex_quinquefasciatus_main_vector_high,candidate_002,v_batch_1_west_nile_yellow_fever_dengue_plague,West Nile fever,vector,Culex quinquefasciatus,main_vector,high
source_check_v_batch_1_west_nile_yellow_fever_dengue_plague_west_nile_fever_vector_culex_tarsalis_main_vector_high,candidate_003,v_batch_1_west_nile_yellow_fever_dengue_plague,West Nile fever,vector,Culex tarsalis,main_vector,high
source_check_v_batch_1_west_nile_yellow_fever_dengue_plague_yellow_fever_vector_haemagogus_janthinomys_sylvatic_vector_high,candidate_004,v_batch_1_west_nile_yellow_fever_dengue_plague,Yellow fever,vector,Haemagogus janthinomys,sylvatic_vector,high
source_check_v_batch_1_west_nile_yellow_fever_dengue_plague_yellow_fever_vector_haemagogus_leucocelaenus_sylvatic_vector_hi,candidate_005,v_batch_1_west_nile_yellow_fever_dengue_plague,Yellow fever,vector,Haemagogus leucocelaenus,sylvatic_vector,high
source_check_v_batch_2_rvf_chikungunya_zika_vee_rift_valley_fever_host_capra_hircus_amplifying_host_high,candidate_006,v_batch_2_rvf_chikungunya_zika_vee,Rift Valley fever,host,Capra hircus,amplifying_host,high
source_check_v_batch_2_rvf_chikungunya_zika_vee_rift_valley_fever_host_ovis_aries_amplifying_host_high,candidate_007,v_batch_2_rvf_chikungunya_zika_vee,Rift Valley fever,host,Ovis aries,amplifying_host,high
source_check_v_batch_3_cchf_tbe_sfts_oropouche_crimean_congo_hemorrhagic_fever_vector_hyalomma_marginatum_main_vector_high,candidate_008,v_batch_3_cchf_tbe_sfts_oropouche,Crimean-Congo hemorrhagic fever,vector,Hyalomma marginatum,main_vector,high
source_check_n_batch_1_ebola_sudan_marburg_nipah_ebola_virus_disease_host_homo_sapiens_spillover_host_high,candidate_009,n_batch_1_ebola_sudan_marburg_nipah,Ebola virus disease,host,Homo sapiens,spillover_host,high
source_check_n_batch_1_ebola_sudan_marburg_nipah_marburg_virus_disease_host_homo_sapiens_spillover_host_high,candidate_010,n_batch_1_ebola_sudan_marburg_nipah,Marburg virus disease,host,Homo sapiens,spillover_host,high
source_check_n_batch_1_ebola_sudan_marburg_nipah_nipah_virus_disease_host_homo_sapiens_spillover_host_high,candidate_011,n_batch_1_ebola_sudan_marburg_nipah,Nipah virus disease,host,Homo sapiens,spillover_host,high
source_check_n_batch_1_ebola_sudan_marburg_nipah_nipah_virus_disease_host_pteropus_hypomelanus_reservoir_host_high,candidate_012,n_batch_1_ebola_sudan_marburg_nipah,Nipah virus disease,host,Pteropus hypomelanus,reservoir_host,high
source_check_n_batch_1_ebola_sudan_marburg_nipah_nipah_virus_disease_host_pteropus_vampyrus_reservoir_host_high,candidate_013,n_batch_1_ebola_sudan_marburg_nipah,Nipah virus disease,host,Pteropus vampyrus,reservoir_host,high
source_check_n_batch_2_lassa_hantaan_argentine_hf_lassa_fever_host_homo_sapiens_spillover_host_high,candidate_014,n_batch_2_lassa_hantaan_argentine_hf,Lassa fever,host,Homo sapiens,spillover_host,high
source_check_v_batch_1_west_nile_yellow_fever_dengue_plague_dengue_vector_aedes_furcifer_sylvatic_vector_medium,candidate_015,v_batch_1_west_nile_yellow_fever_dengue_plague,Dengue,vector,Aedes furcifer,sylvatic_vector,medium
source_check_v_batch_1_west_nile_yellow_fever_dengue_plague_dengue_vector_aedes_hensilli_epidemic_vector_medium,candidate_016,v_batch_1_west_nile_yellow_fever_dengue_plague,Dengue,vector,Aedes hensilli,epidemic_vector,medium
source_check_v_batch_1_west_nile_yellow_fever_dengue_plague_dengue_vector_aedes_luteocephalus_sylvatic_vector_medium,candidate_017,v_batch_1_west_nile_yellow_fever_dengue_plague,Dengue,vector,Aedes luteocephalus,sylvatic_vector,medium
source_check_v_batch_1_west_nile_yellow_fever_dengue_plague_dengue_vector_aedes_polynesiensis_epidemic_vector_medium,candidate_018,v_batch_1_west_nile_yellow_fever_dengue_plague,Dengue,vector,Aedes polynesiensis,epidemic_vector,medium
source_check_v_batch_1_west_nile_yellow_fever_dengue_plague_dengue_vector_aedes_taylori_sylvatic_vector_medium,candidate_019,v_batch_1_west_nile_yellow_fever_dengue_plague,Dengue,vector,Aedes taylori,sylvatic_vector,medium
source_check_v_batch_1_west_nile_yellow_fever_dengue_plague_plague_host_cynomys_ludovicianus_amplifying_host_medium,candidate_020,v_batch_1_west_nile_yellow_fever_dengue_plague,Plague,host,Cynomys ludovicianus,amplifying_host,medium
source_check_v_batch_1_west_nile_yellow_fever_dengue_plague_plague_vector_oropsylla_hirsuta_candidate_vector_medium,candidate_021,v_batch_1_west_nile_yellow_fever_dengue_plague,Plague,vector,Oropsylla hirsuta,candidate_vector,medium
source_check_v_batch_1_west_nile_yellow_fever_dengue_plague_west_nile_fever_host_turdus_migratorius_amplifying_host_medium,candidate_022,v_batch_1_west_nile_yellow_fever_dengue_plague,West Nile fever,host,Turdus migratorius,amplifying_host,medium
source_check_v_batch_1_west_nile_yellow_fever_dengue_plague_west_nile_fever_vector_culex_salinarius_epidemic_vector_medium,candidate_023,v_batch_1_west_nile_yellow_fever_dengue_plague,West Nile fever,vector,Culex salinarius,epidemic_vector,medium
source_check_v_batch_2_rvf_chikungunya_zika_vee_chikungunya_fever_vector_aedes_hensilli_epidemic_vector_medium,candidate_024,v_batch_2_rvf_chikungunya_zika_vee,Chikungunya fever,vector,Aedes hensilli,epidemic_vector,medium
source_check_v_batch_2_rvf_chikungunya_zika_vee_rift_valley_fever_host_bos_taurus_amplifying_host_medium,candidate_025,v_batch_2_rvf_chikungunya_zika_vee,Rift Valley fever,host,Bos taurus,amplifying_host,medium
source_check_v_batch_2_rvf_chikungunya_zika_vee_rift_valley_fever_vector_aedes_mcintoshi_enzootic_maintenance_vector_medium,candidate_026,v_batch_2_rvf_chikungunya_zika_vee,Rift Valley fever,vector,Aedes mcintoshi,enzootic_maintenance_vector,medium
source_check_v_batch_2_rvf_chikungunya_zika_vee_rift_valley_fever_vector_culex_poicilipes_epidemic_vector_medium,candidate_027,v_batch_2_rvf_chikungunya_zika_vee,Rift Valley fever,vector,Culex poicilipes,epidemic_vector,medium
source_check_v_batch_2_rvf_chikungunya_zika_vee_venezuelan_equine_encephalitis_vector_psorophora_confinnis_bridge_vector_me,candidate_028,v_batch_2_rvf_chikungunya_zika_vee,Venezuelan equine encephalitis,vector,Psorophora confinnis,bridge_vector,medium
source_check_v_batch_3_cchf_tbe_sfts_oropouche_crimean_congo_hemorrhagic_fever_vector_hyalomma_anatolicum_main_vector_mediu,candidate_029,v_batch_3_cchf_tbe_sfts_oropouche,Crimean-Congo hemorrhagic fever,vector,Hyalomma anatolicum,main_vector,medium
source_check_v_batch_3_cchf_tbe_sfts_oropouche_crimean_congo_hemorrhagic_fever_vector_hyalomma_lusitanicum_enzootic_mainten,candidate_030,v_batch_3_cchf_tbe_sfts_oropouche,Crimean-Congo hemorrhagic fever,vector,Hyalomma lusitanicum,enzootic_maintenance_vector,medium
source_check_v_batch_3_cchf_tbe_sfts_oropouche_crimean_congo_hemorrhagic_fever_vector_hyalomma_rufipes_main_vector_medium,candidate_031,v_batch_3_cchf_tbe_sfts_oropouche,Crimean-Congo hemorrhagic fever,vector,Hyalomma rufipes,main_vector,medium
source_check_v_batch_3_cchf_tbe_sfts_oropouche_oropouche_fever_vector_culicoides_sonorensis_competent_vector_only_medium,candidate_032,v_batch_3_cchf_tbe_sfts_oropouche,Oropouche fever,vector,Culicoides sonorensis,competent_vector_only,medium
source_check_v_batch_3_cchf_tbe_sfts_oropouche_severe_fever_with_thrombocytopenia_syndrome_sfts_host_erinaceus_amurensis_am,candidate_033,v_batch_3_cchf_tbe_sfts_oropouche,Severe fever with thrombocytopenia syndrome (SFTS),host,Erinaceus amurensis,amplifying_host,medium
source_check_v_batch_3_cchf_tbe_sfts_oropouche_severe_fever_with_thrombocytopenia_syndrome_sfts_vector_haemaphysalis_flava_,candidate_034,v_batch_3_cchf_tbe_sfts_oropouche,Severe fever with thrombocytopenia syndrome (SFTS),vector,Haemaphysalis flava,competent_vector_only,medium
source_check_v_batch_3_cchf_tbe_sfts_oropouche_severe_fever_with_thrombocytopenia_syndrome_sfts_vector_ixodes_sinensis_cand,candidate_035,v_batch_3_cchf_tbe_sfts_oropouche,Severe fever with thrombocytopenia syndrome (SFTS),vector,Ixodes sinensis,candidate_vector,medium
source_check_v_batch_3_cchf_tbe_sfts_oropouche_tick_borne_encephalitis_host_apodemus_flavicollis_reservoir_host_medium,candidate_036,v_batch_3_cchf_tbe_sfts_oropouche,Tick-borne encephalitis,host,Apodemus flavicollis,reservoir_host,medium
source_check_v_batch_3_cchf_tbe_sfts_oropouche_tick_borne_encephalitis_host_myodes_glareolus_reservoir_host_medium,candidate_037,v_batch_3_cchf_tbe_sfts_oropouche,Tick-borne encephalitis,host,Myodes glareolus,reservoir_host,medium
source_check_v_batch_3_cchf_tbe_sfts_oropouche_tick_borne_encephalitis_vector_dermacentor_reticulatus_candidate_vector_medi,candidate_038,v_batch_3_cchf_tbe_sfts_oropouche,Tick-borne encephalitis,vector,Dermacentor reticulatus,candidate_vector,medium
source_check_v_batch_3_cchf_tbe_sfts_oropouche_tick_borne_encephalitis_vector_haemaphysalis_concinna_candidate_vector_mediu,candidate_039,v_batch_3_cchf_tbe_sfts_oropouche,Tick-borne encephalitis,vector,Haemaphysalis concinna,candidate_vector,medium
source_check_n_batch_1_ebola_sudan_marburg_nipah_ebola_virus_disease_host_gorilla_gorilla_spillover_host_medium,candidate_040,n_batch_1_ebola_sudan_marburg_nipah,Ebola virus disease,host,Gorilla gorilla,spillover_host,medium
source_check_n_batch_1_ebola_sudan_marburg_nipah_ebola_virus_disease_host_pan_troglodytes_spillover_host_medium,candidate_041,n_batch_1_ebola_sudan_marburg_nipah,Ebola virus disease,host,Pan troglodytes,spillover_host,medium
source_check_n_batch_1_ebola_sudan_marburg_nipah_marburg_virus_disease_host_chlorocebus_aethiops_incidental_host_medium,candidate_042,n_batch_1_ebola_sudan_marburg_nipah,Marburg virus disease,host,Chlorocebus aethiops,incidental_host,medium
source_check_n_batch_1_ebola_sudan_marburg_nipah_nipah_virus_disease_host_pteropus_lylei_reservoir_host_medium,candidate_043,n_batch_1_ebola_sudan_marburg_nipah,Nipah virus disease,host,Pteropus lylei,reservoir_host,medium
source_check_n_batch_1_ebola_sudan_marburg_nipah_nipah_virus_disease_host_pteropus_medius_reservoir_host_medium,candidate_044,n_batch_1_ebola_sudan_marburg_nipah,Nipah virus disease,host,Pteropus medius,reservoir_host,medium
source_check_n_batch_1_ebola_sudan_marburg_nipah_sudan_virus_disease_host_homo_sapiens_spillover_host_medium,candidate_045,n_batch_1_ebola_sudan_marburg_nipah,Sudan virus disease,host,Homo sapiens,spillover_host,medium
source_check_n_batch_2_lassa_hantaan_argentine_hf_argentine_hemorrhagic_fever_host_calomys_laucha_reservoir_host_medium,candidate_046,n_batch_2_lassa_hantaan_argentine_hf,Argentine hemorrhagic fever,host,Calomys laucha,reservoir_host,medium
source_check_n_batch_2_lassa_hantaan_argentine_hf_lassa_fever_host_hylomyscus_pamfi_reservoir_host_medium,candidate_047,n_batch_2_lassa_hantaan_argentine_hf,Lassa fever,host,Hylomyscus pamfi,reservoir_host,medium
source_check_n_batch_2_lassa_hantaan_argentine_hf_lassa_fever_host_mastomys_erythroleucus_reservoir_host_medium,candidate_048,n_batch_2_lassa_hantaan_argentine_hf,Lassa fever,host,Mastomys erythroleucus,reservoir_host,medium
