batch_id,source_id,source_title,source_url,doi,pmid,pmcid,source_access,file_name,file_name_piece,local_pdf_exists,local_pdf_path
manual_chikungunya_nhp_2026_06_03,CHIK-ALTHOUSE-2018,Role of monkeys in the sylvatic cycle of chikungunya virus in Senegal,https://doi.org/10.1038/s41467-018-03332-7,10.1038/s41467-018-03332-7,,PMC5817753,local_pdf_text,althouse2018_chikungunya_senegal_monkeys.pdf,althouse2018_chikungunya_senegal_monkeys.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/althouse2018_chikungunya_senegal_monkeys.pdf
manual_chikungunya_nhp_2026_06_03,CHIK-VOURCH-2014,Chikungunya antibodies detected in non-human primates and rats in three Indian Ocean islands after the 2006 chikungunya outbreak,https://doi.org/10.1186/1297-9716-45-52,10.1186/1297-9716-45-52,,,local_pdf_text,vourch2014_chikungunya_indian_ocean_primates_rats.pdf,vourch2014_chikungunya_indian_ocean_primates_rats.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/vourch2014_chikungunya_indian_ocean_primates_rats.pdf
n_batch_1_ebola_sudan_marburg_nipah,EBO1,Ebola disease; How Ebola Disease Spreads,https://www.who.int/news-room/fact-sheets/detail/ebola-virus-disease; https://www.cdc.gov/ebola/causes/index.html,none,none,none,official_page,,,FALSE,
n_batch_1_ebola_sudan_marburg_nipah,EBO5,Wave-Like Spread of Ebola Zaire; Multiple Ebola Virus Transmission Events and Rapid Decline of Central African Wildlife,https://journals.plos.org/plosbiology/article?id=10.1371%2Fjournal.pbio.0030371; https://documentsdelivered.com/source/034/054/034054646.php,10.1371/journal.pbio.0030371; 10.1126/science.1092528,14726594,none,full_text / abstract_only,document_ebola1.pdf,document_ebola1.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/document_ebola1.pdf
n_batch_1_ebola_sudan_marburg_nipah,MAR1,Marburg virus disease; About Marburg,https://www.who.int/news-room/fact-sheets/detail/marburg-virus-disease; https://www.cdc.gov/marburg/about/index.html,none,none,none,official_page,,,FALSE,
n_batch_1_ebola_sudan_marburg_nipah,MAR3,Marburg virus disease; History of Marburg Outbreaks,https://www.who.int/csr/disease/marburg/en/; https://www.cdc.gov/marburg/outbreaks/index.html,none,none,none,official_page,,,FALSE,
n_batch_1_ebola_sudan_marburg_nipah,NIP1,Nipah virus; About Nipah Virus,https://www.who.int/news-room/fact-sheets/detail/nipah-virus; https://www.cdc.gov/nipah-virus/about/index.html,none,none,none,official_page,,,FALSE,
n_batch_1_ebola_sudan_marburg_nipah,NIP3,Isolation of Nipah virus from Malaysian Island flying-foxes,https://pubmed.ncbi.nlm.nih.gov/11880045/,10.1016/S1286-4579(01)01522-2,11880045,none,abstract_only,1-s2.0-S1286457901015222-main.pdf,1-s2.0-S1286457901015222-main.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/1-s2.0-S1286457901015222-main.pdf
n_batch_1_ebola_sudan_marburg_nipah,NIP4,"Characterization of Nipah Virus from Naturally Infected Pteropus vampyrus Bats, Malaysia; Evidence for Nipah virus recrudescence and serological patterns of captive Pteropus vampyrus",https://wwwnc.cdc.gov/eid/article/16/12/09-1790_article; https://pubmed.ncbi.nlm.nih.gov/21524339/,10.3201/eid1612.091790; 10.1017/S0950268811000550,21524339,PMC3423900,official_page / abstract_only,"09-1790_finalD.pdf, evidence-for-nipah-virus-recrudescence-and-serological-patterns-of-captive-pteropus-vampyrus.pdf",09-1790_finalD.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/09-1790_finalD.pdf
n_batch_1_ebola_sudan_marburg_nipah,NIP4,"Characterization of Nipah Virus from Naturally Infected Pteropus vampyrus Bats, Malaysia; Evidence for Nipah virus recrudescence and serological patterns of captive Pteropus vampyrus",https://wwwnc.cdc.gov/eid/article/16/12/09-1790_article; https://pubmed.ncbi.nlm.nih.gov/21524339/,10.3201/eid1612.091790; 10.1017/S0950268811000550,21524339,PMC3423900,official_page / abstract_only,"09-1790_finalD.pdf, evidence-for-nipah-virus-recrudescence-and-serological-patterns-of-captive-pteropus-vampyrus.pdf",evidence-for-nipah-virus-recrudescence-and-serological-patterns-of-captive-pteropus-vampyrus.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/evidence-for-nipah-virus-recrudescence-and-serological-patterns-of-captive-pteropus-vampyrus.pdf
