candidate_query,total_row_count,source_fields,example_reason_flags,taxize_status,taxize_note,matched_name,canonical_form,current_name_string,resolved_name,score,data_source_title,classification_path,resolved_matches_who,resolved_who_host,candidate_query_key,resolved_name_key
Anolis sagrei,451,host_organism_raw,specific_unmatched,matched,,"Anolis sagrei Duméril & Bibron, 1837",Anolis sagrei,Anolis sagrei,Anolis sagrei,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,anolis sagrei,anolis sagrei
Lontra canadensis,451,host_organism_raw,specific_unmatched,matched,,"Lontra canadensis (Schreber, 1777)",Lontra canadensis,Lontra canadensis,Lontra canadensis,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,lontra canadensis,lontra canadensis
Neotoma floridana,451,host_organism_raw,specific_unmatched,matched,,"Neotoma (Neotoma) floridana (Ord, 1818)",Neotoma floridana,Neotoma floridana,Neotoma floridana,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,neotoma floridana,neotoma floridana
Oryzomys palustris,451,host_organism_raw,specific_unmatched,matched,,"Oryzomys palustris (Harlan, 1837)",Oryzomys palustris,Oryzomys palustris,Oryzomys palustris,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,oryzomys palustris,oryzomys palustris
Peromyscus gossypinus,451,host_organism_raw,specific_unmatched,matched,,"Peromyscus gossypinus (Le Conte, 1853)",Peromyscus gossypinus,Peromyscus gossypinus,Peromyscus gossypinus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,peromyscus gossypinus,peromyscus gossypinus
Coereba flaveola,69,host_organism_raw,specific_unmatched,matched,,"Coereba flaveola (Linnaeus, 1758)",Coereba flaveola,Coereba flaveola,Coereba flaveola,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,coereba flaveola,coereba flaveola
Loxigilla noctis,69,host_organism_raw,specific_unmatched,matched,,"Loxigilla noctis (Linnaeus, 1766)",Loxigilla noctis,Loxigilla noctis,Loxigilla noctis,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,loxigilla noctis,loxigilla noctis
Melanospiza bicolor,69,host_organism_raw,specific_unmatched,matched,,"Melanospiza bicolor (Linnaeus, 1766)",Melanospiza bicolor,Melanospiza bicolor,Melanospiza bicolor,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,melanospiza bicolor,melanospiza bicolor
Melopsittacus undulatus,69,host_organism_raw,specific_unmatched,matched,,"Melopsittacus undulatus (Shaw, 1805)",Melopsittacus undulatus,Melopsittacus undulatus,Melopsittacus undulatus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,melopsittacus undulatus,melopsittacus undulatus
Setophaga striata,69,host_organism_raw,specific_unmatched,matched,,"Setophaga striata (J. R. Forster, 1772)",Setophaga striata,Setophaga striata,Setophaga striata,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,setophaga striata,setophaga striata
