analysis_unit_id,readiness_disease_name,pathogen_species_name,pathogen_taxid,pilot_subset,pilot_priority,pilot_next_step,modelling_scope_status,recommended_next_action,readiness_blocker,host_sdm_needed,vector_sdm_needed,direct_vector_evidence_status,country_evidence_status,sdm_availability_status,vectored_status,generalist_status,transmission_complexity,guild,range_limiting_layer,role_assignment_status,evidence_join_status,host_candidate_rows,roster_host_rows,roster_vector_rows,roster_vectors_with_host_vector_evidence,roster_vectors_with_human_biting,roster_taxonomy_caution_rows,host_role_evidence_rows,host_role_evidence_substantive_rows,vector_role_evidence_rows,vector_role_evidence_substantive_rows,host_role_assignment_rows,host_role_substantive_assignment_rows,vector_role_assignment_rows,vector_role_substantive_assignment_rows,direct_disease_vector_rows,direct_vector_species_or_taxa,direct_vector_confirmed_rows,direct_vector_probable_rows,direct_vector_candidate_rows,direct_vector_competence_joined_rows,direct_vector_competent_rows,direct_vector_mixed_competence_rows,direct_vector_not_competent_rows,direct_vector_unclear_competence_rows,direct_vector_transmission_yes_rows,direct_vector_natural_infection_yes_rows,direct_vector_taxonomy_review_needed_rows,genbank_country_rows,genbank_distinct_countries_or_territories,genbank_records_with_country,who_don_focal_country_rows,who_don_distinct_records,who_don_distinct_countries,who_don_high_confidence_rows,who_don_manual_review_rows,host_sdm_species_available,vector_sdm_species_available,host_sdm_projection_species_available,vector_sdm_projection_species_available,host_sdm_comparison_species_available,vector_sdm_comparison_species_available,has_substantive_host_role_evidence,has_substantive_vector_role_evidence,has_direct_vector_evidence,has_genbank_country_evidence,has_who_don_focal_evidence,evidence_qa_matched_disease_name,direct_vector_matched_disease_name,genbank_matched_disease_name,who_don_matched_disease_name,sdm_matched_disease_name
master_10,Marburg virus disease,Orthomarburgvirus marburgense,3052505,who_core,1,ready_for_model_spec_review,include,ready_for_model_spec_review,none,yes,no,not_expected_non_vectored,who_don_and_genbank,required_sdms_available,non_vectored,specialist,complex,bat_reservoir_spillover,reservoir_host,reviewed_assignment_present,matched_primary_name,9,9,0,0,0,0,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,358,67,32,17,1,67,5,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,TRUE,Marburg virus disease,,Marburg virus disease,Marburg virus disease,Marburg virus disease
master_11,Lassa fever,Mammarenavirus lassaense,3052310,who_core,1,ready_for_model_spec_review,include,ready_for_model_spec_review,none,yes,no,not_expected_non_vectored,who_don_and_genbank,required_sdms_available,non_vectored,specialist,mixed,rodent_reservoir_direct_or_environmental,reservoir_host,reviewed_assignment_present,matched_primary_name,14,14,0,0,0,0,4,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,2684,27,21,11,4,27,10,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,TRUE,Lassa fever,,Lassa fever,Lassa fever,Lassa fever
master_12,Nipah virus disease,Henipavirus nipahense,3052225,who_core,1,ready_for_model_spec_review,include,ready_for_model_spec_review,none,yes,no,not_expected_non_vectored,who_don_and_genbank,required_sdms_available,non_vectored,restricted,mixed,bat_reservoir_spillover,mixed,reviewed_assignment_present,matched_primary_name,16,16,0,0,0,0,7,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,372,6,3,4,0,6,12,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,TRUE,Nipah virus disease,,Nipah virus disease,Nipah virus disease,Nipah virus disease
master_13,Hendra,Henipavirus hendraense,3052223,who_core,1,find_or_build_host_sdm,include,find_or_build_host_sdm,missing_required_host_sdm,yes,no,not_expected_non_vectored,genbank_only,missing_required_host_sdm,non_vectored,restricted,mixed,bat_reservoir_spillover,mixed,no_role_evidence_or_assignment,matched_primary_name,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,213,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,Hendra,,Hendra,,
master_16,Influenza (H5N1 avian influenza),Alphainfluenzavirus influenzae,11320; 2955291,who_core,1,ready_for_model_spec_review,include,ready_for_model_spec_review,none,yes,no,not_expected_non_vectored,genbank_only,required_sdms_available,non_vectored,host_group_generalist,mixed,avian_reservoir_non_vectored,mixed,reviewed_assignment_present,matched_primary_name,538,538,0,0,0,0,5,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,95,194591,0,0,0,0,0,71,0,1,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,Influenza (H5N1 avian influenza),,Influenza (H5N1 avian influenza),,Influenza (H5N1 avian influenza)
master_17,Plague,Yersinia pestis,632,who_core,1,ready_for_model_spec_review,include,ready_for_model_spec_review,none,yes,optional,direct_vector_evidence_present,who_don_and_genbank,optional_sdms_missing,vectored,host_group_generalist,mixed,flea_borne_rodent_pathogen,reservoir_host,reviewed_assignment_present,matched_primary_name,37,37,47,11,2,3,3,3,4,4,3,3,4,4,47,47,38,5,3,47,24,17,0,6,37,14,0,36,36,152996,21,19,10,1,21,28,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,Plague,Plague,Plague,Plague,Plague
master_19,Hantavirus pulmonary syndrome,Orthohantavirus sinnombreense,3052499; 44755,who_core,1,curate_role_evidence,include,curate_role_evidence,missing_role_evidence,yes,no,not_expected_non_vectored,who_don_and_genbank,required_sdms_available,non_vectored,specialist,simple,rodent_reservoir_direct_or_environmental,reservoir_host,no_role_evidence_or_assignment,matched_primary_name,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,302,1,1,1,0,1,10,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,Hantavirus pulmonary syndrome,,Hantavirus pulmonary syndrome,Hantavirus pulmonary syndrome,Hantavirus pulmonary syndrome
master_2,Dengue,Orthoflavivirus denguei,12637; 3052464,who_core,1,find_or_build_vector_sdm,include,find_or_build_vector_sdm,missing_required_vector_sdm,no,yes,direct_vector_evidence_present,who_don_and_genbank,missing_required_vector_sdm,vectored,restricted,simple,mosquito_borne_arbovirus,vector,reviewed_assignment_present,matched_primary_name,37,37,16,6,6,0,1,1,6,6,1,1,6,6,16,16,8,2,4,15,3,7,1,4,2,3,0,143,143,53740,47,38,28,1,47,25,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,Dengue,Dengue,Dengue,Dengue,Dengue
master_20,Argentine hemorrhagic fever,Mammarenavirus juninense,2169991,who_core,1,ready_for_model_spec_review,include,ready_for_model_spec_review,none,yes,no,not_expected_non_vectored,genbank_only,required_sdms_available,non_vectored,specialist,mixed,rodent_reservoir_direct_or_environmental,reservoir_host,reviewed_assignment_present,matched_primary_name,8,8,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,178,0,0,0,0,0,2,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,Argentine hemorrhagic fever,,Argentine hemorrhagic fever,,Argentine hemorrhagic fever
master_23,Tick-borne encephalitis,Orthoflavivirus encephalitidis,11084; 3052465,who_core,1,find_or_build_vector_sdm,include,find_or_build_vector_sdm,missing_required_vector_sdm,optional,yes,direct_vector_evidence_present,genbank_only,missing_required_vector_sdm,vectored,restricted,complex,tick_borne_pathogen,vector,reviewed_assignment_present,matched_primary_name,0,84,11,6,6,0,4,4,5,5,3,3,5,5,11,11,8,1,0,11,9,0,0,2,10,8,0,37,37,3428,0,0,0,0,0,26,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,Tick-borne encephalitis,Tick-borne encephalitis,Tick-borne encephalitis,,Tick-borne encephalitis
