analysis_unit_id,readiness_disease_name,disease_name,species_name,tax_id,host_class,host_order,host_family,host_detection_method,host_role_assignment,host_role_confidence,host_role_needs_manual_review,host_role_assignment_status,source_pathogens,in_current_role_review_scope,in_gibb_etal,in_empres_i,taxonomy_caution
master_10,Marburg virus disease,Marburg virus disease,Cavia porcellus,10141,mammalia,rodentia,caviidae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,Orthomarburgvirus marburgense,TRUE,TRUE,TRUE,FALSE
master_10,Marburg virus disease,Marburg virus disease,Chlorocebus aethiops,9534,mammalia,primates,cercopithecidae,Isolation/Observation,incidental_host,medium,TRUE,draft_source_backed,Orthomarburgvirus marburgense,TRUE,TRUE,TRUE,FALSE
master_10,Marburg virus disease,Marburg virus disease,Epomops franqueti,77231,mammalia,chiroptera,pteropodidae,Antibodies,host_presence_only,low,TRUE,candidate_only,Orthomarburgvirus marburgense,TRUE,TRUE,TRUE,FALSE
master_10,Marburg virus disease,Marburg virus disease,Hipposideros caffer,302402,mammalia,chiroptera,hipposideridae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,Orthomarburgvirus marburgense,TRUE,TRUE,TRUE,FALSE
master_10,Marburg virus disease,Marburg virus disease,Homo sapiens,9606,,,,Isolation/Observation; Not specified; PCR/Sequencing,amplifying_host,high,FALSE,draft_source_backed,Orthomarburgvirus marburgense,TRUE,TRUE,TRUE,FALSE
master_10,Marburg virus disease,Marburg virus disease,Hypsignathus monstrosus,448084,mammalia,chiroptera,pteropodidae,Antibodies,host_presence_only,low,TRUE,candidate_only,Orthomarburgvirus marburgense,TRUE,TRUE,TRUE,FALSE
master_10,Marburg virus disease,Marburg virus disease,Mesocricetus auratus,10036,mammalia,rodentia,cricetidae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,Orthomarburgvirus marburgense,TRUE,TRUE,TRUE,FALSE
master_10,Marburg virus disease,Marburg virus disease,Miniopterus inflatus,221087,mammalia,chiroptera,miniopteridae,Antibodies; PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,Orthomarburgvirus marburgense,TRUE,TRUE,TRUE,FALSE
master_10,Marburg virus disease,Marburg virus disease,Mus musculus,10090,mammalia,rodentia,muridae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,Orthomarburgvirus marburgense,TRUE,TRUE,TRUE,FALSE
master_10,Marburg virus disease,Marburg virus disease,Pongo pygmaeus,9600,mammalia,primates,hominidae,Antibodies,host_presence_only,low,TRUE,candidate_only,Orthomarburgvirus marburgense,TRUE,TRUE,TRUE,FALSE
