analysis_unit_id,readiness_disease_name,disease_name,species_name,tax_id,species_role,sdm_needed_for_disease,host_role_assignment,host_role_confidence,host_role_needs_manual_review,host_role_assignment_status,vector_role_assignment,vector_role_confidence,vector_role_needs_manual_review,vector_role_assignment_status,sdm_available,sdm_species
master_10,Marburg virus disease,Marburg virus disease,Cavia porcellus,10141,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,TRUE,Cavia porcellus
master_10,Marburg virus disease,Marburg virus disease,Chlorocebus aethiops,9534,host,yes,incidental_host,medium,TRUE,draft_source_backed,,,,,TRUE,Chlorocebus aethiops
master_10,Marburg virus disease,Marburg virus disease,Epomops franqueti,77231,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,TRUE,Epomops franqueti
master_10,Marburg virus disease,Marburg virus disease,Hipposideros caffer,302402,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,TRUE,Hipposideros caffer
master_10,Marburg virus disease,Marburg virus disease,Homo sapiens,9606,host,yes,amplifying_host,high,FALSE,draft_source_backed,,,,,FALSE,
master_10,Marburg virus disease,Marburg virus disease,Hypsignathus monstrosus,448084,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,TRUE,Hypsignathus monstrosus
master_10,Marburg virus disease,Marburg virus disease,Mesocricetus auratus,10036,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_10,Marburg virus disease,Marburg virus disease,Miniopterus inflatus,221087,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_10,Marburg virus disease,Marburg virus disease,Mus musculus,10090,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,TRUE,Mus musculus
master_10,Marburg virus disease,Marburg virus disease,Pongo pygmaeus,9600,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,TRUE,Pongo pygmaeus
master_10,Marburg virus disease,Marburg virus disease,Rhinolophus eloquens,519038,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_10,Marburg virus disease,Marburg virus disease,Rousettus aegyptiacus,9407,host,yes,reservoir_host,high,FALSE,draft_source_backed,,,,,TRUE,Rousettus aegyptiacus
