analysis_unit_id,readiness_disease_name,pathogen_species_name,pathogen_taxid,analysis_unit_label,family,in_master_who,priority_prototype_status,master_tier,modelling_scope_status,transmission_rule_review_status,recommended_next_action,readiness_blocker,vectored_status,generalist_status,transmission_complexity,guild,range_limiting_layer,host_sdm_needed,vector_sdm_needed,direct_vector_evidence_status,country_evidence_status,sdm_availability_status,role_assignment_status,evidence_join_status,has_direct_vector_evidence,host_sdm_species_available,vector_sdm_species_available,genbank_distinct_countries_or_territories,who_don_distinct_countries
master_2,Dengue,Orthoflavivirus denguei,12637; 3052464,Dengue virus,Flaviviridae,TRUE,both,1,include,reviewed,find_or_build_vector_sdm,missing_required_vector_sdm,vectored,restricted,simple,mosquito_borne_arbovirus,vector,no,yes,direct_vector_evidence_present,who_don_and_genbank,missing_required_vector_sdm,reviewed_assignment_present,matched_primary_name,TRUE,32,0,143,28
master_3,Zika virus disease,Orthoflavivirus zikaense,3048459; 64320,Zika virus,Flaviviridae,TRUE,both,1,include,reviewed,find_or_build_vector_sdm,missing_required_vector_sdm,vectored,restricted,mixed,mosquito_borne_arbovirus,vector,no,yes,direct_vector_evidence_present,who_don_and_genbank,missing_required_vector_sdm,reviewed_assignment_present,matched_primary_name,TRUE,15,0,78,14
master_4,Chikungunya fever,Alphavirus chikungunya,3426298; 37124,Chikungunya virus,Togaviridae,TRUE,both,1,include,reviewed,find_or_build_vector_sdm,missing_required_vector_sdm,vectored,restricted,simple,mosquito_borne_arbovirus,vector,no,yes,direct_vector_evidence_present,who_don_and_genbank,missing_required_vector_sdm,reviewed_assignment_present,matched_primary_name,TRUE,21,0,115,6
master_5,Yellow fever,Orthoflavivirus flavi,11089; 3046277,Yellow fever virus,Flaviviridae,TRUE,priority,1,include,reviewed,find_or_build_vector_sdm,missing_required_vector_sdm,vectored,host_group_generalist,complex,mosquito_borne_arbovirus,host_and_vector,optional,yes,direct_vector_evidence_present,who_don_and_genbank,missing_required_vector_sdm,reviewed_assignment_present,matched_primary_name,TRUE,32,0,42,34
master_6,West Nile fever,Orthoflavivirus nilense,11082; 3048448,West Nile virus,Flaviviridae,TRUE,prototype,1,include,reviewed,find_or_build_vector_sdm,missing_required_vector_sdm,vectored,host_group_generalist,complex,mosquito_borne_arbovirus,vector,optional,yes,direct_vector_evidence_present,who_don_and_genbank,missing_required_vector_sdm,reviewed_assignment_present,matched_primary_name,TRUE,60,0,73,4
master_7,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,Orthonairovirus haemorrhagiae,Nairoviridae,TRUE,both,1,include,reviewed,find_or_build_vector_sdm,missing_required_vector_sdm,vectored,host_group_generalist,mixed,tick_borne_pathogen,vector,optional,yes,direct_vector_evidence_present,who_don_and_genbank,missing_required_vector_sdm,reviewed_assignment_present,matched_primary_name,TRUE,22,0,53,3
master_8,Rift Valley fever,Phlebovirus riftense,3052676,Rift Valley Fever virus,Phenuiviridae,TRUE,prototype,1,include,reviewed,find_or_build_vector_sdm,missing_required_vector_sdm,vectored,host_group_generalist,mixed,livestock_amplified_vector_borne,host_and_vector,yes,yes,direct_vector_evidence_present,who_don_and_genbank,missing_required_vector_sdm,reviewed_assignment_present,matched_primary_name,TRUE,25,0,33,10
master_9,Ebola virus disease,Orthoebolavirus zairense,186538; 3052462,Ebola virus,Filoviridae,TRUE,both,1,include,reviewed,ready_for_model_spec_review,none,non_vectored,restricted,complex,bat_reservoir_spillover,mixed,optional,no,not_expected_non_vectored,who_don_and_genbank,required_sdms_available,reviewed_assignment_present,matched_primary_name,FALSE,15,0,16,18
master_10,Marburg virus disease,Orthomarburgvirus marburgense,3052505,Marburg virus,Filoviridae,TRUE,priority,1,include,reviewed,ready_for_model_spec_review,none,non_vectored,specialist,complex,bat_reservoir_spillover,reservoir_host,yes,no,not_expected_non_vectored,who_don_and_genbank,required_sdms_available,reviewed_assignment_present,matched_primary_name,FALSE,8,0,16,17
master_11,Lassa fever,Mammarenavirus lassaense,3052310,Lassa Fever virus,Arenaviridae,TRUE,both,1,include,reviewed,ready_for_model_spec_review,none,non_vectored,specialist,mixed,rodent_reservoir_direct_or_environmental,reservoir_host,yes,no,not_expected_non_vectored,who_don_and_genbank,required_sdms_available,reviewed_assignment_present,matched_primary_name,FALSE,13,0,11,11
