source_dataset,analysis_unit_id,readiness_disease_name,disease_name,species_role,species_name,tax_id,host_class,host_order,host_family,host_detection_method,host_detection_tier,host_direct_detection_supported,host_role_assignment,host_role_confidence,host_role_assignment_status,host_role_needs_manual_review,modelling_role_proxy,modelling_role_proxy_basis,modelling_role_proxy_confidence,modelling_role_proxy_rule_id,modelling_role_proxy_needs_review,host_role_bucket,host_role_evidence_basis,host_role_weight,role_proxy_applied,group_proxy_applied,vector_group,vector_taxon_rank,vector_join_key,best_evidence_level,best_evidence_basis,has_disease_vector_evidence,has_host_vector_evidence,has_competence_evidence,bites_humans,bites_humans_known,bites_humans_true,vector_competence_status,transmission_demonstrated,natural_infection_reported,vector_role_hint,taxonomy_ok,sdm_needed_for_disease,sdm_available,sdm_species,model_quality_raw,model_quality_tier,model_quality_weight,retained_models,min_boyce,max_boyce,min_test_auc,max_test_auc,min_max_tss,max_max_tss,profile_broad,profile_supported,profile_strong,profile_strict,profile_group_proxy,biological_evidence_tier,no_spatial_layer,missingness_reason,tier_rule_id
chikungunya_delivery,master_4,Chikungunya fever,Chikungunya fever,vector,Aedes aegypti,,,,,,,,,,,,,,,,,,,,,,mosquito,species,aedes aegypti,confirmed,review,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,competent,yes,,,TRUE,yes,TRUE,Aedes aegypti,production_candidate,usable_sdm,1,10,0.989089089837844,0.998631863186319,0.6206,0.6459,0.396384088889467,0.51029561934898,TRUE,TRUE,TRUE,TRUE,,strict,FALSE,tax_id_missing; vector_role_hint_blank; natural_infection_unknown,vector_v0_1
chikungunya_delivery,master_4,Chikungunya fever,Chikungunya fever,vector,Aedes africanus,,,,,,,,,,,,,,,,,,,,,,mosquito,species,aedes africanus,probable,review,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,,,,TRUE,yes,TRUE,Aedes africanus,diagnostic_not_recommended_without_review,diagnostic,0.25,22,-0.475635429482446,0.35672836324292,0.7892,0.9225,0.71394358046125606,0.891378227623656,TRUE,TRUE,FALSE,FALSE,,supported,FALSE,tax_id_missing; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_v0_1
chikungunya_delivery,master_4,Chikungunya fever,Chikungunya fever,vector,Aedes albopictus,,,,,,,,,,,,,,,,,,,,,,mosquito,species,aedes albopictus,confirmed,review,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,competent,yes,,,TRUE,yes,TRUE,Aedes albopictus,production_candidate,usable_sdm,1,10,0.991791179117912,0.99973597359736,0.6885,0.7024,0.639152062866598,0.690237958909483,TRUE,TRUE,TRUE,TRUE,,strict,FALSE,tax_id_missing; vector_role_hint_blank; natural_infection_unknown,vector_v0_1
chikungunya_delivery,master_4,Chikungunya fever,Chikungunya fever,vector,Aedes fulgens,,,,,,,,,,,,,,,,,,,,,,mosquito,species,aedes fulgens,candidate,review,TRUE,FALSE,TRUE,,FALSE,FALSE,competent,yes,,,TRUE,yes,FALSE,,,no_sdm,0,,,,,,,,TRUE,TRUE,TRUE,FALSE,,strong,TRUE,tax_id_missing; bites_humans_unknown; vector_role_hint_blank; natural_infection_unknown; no_sdm,vector_v0_1
chikungunya_delivery,master_4,Chikungunya fever,Chikungunya fever,vector,Aedes furcifer,,,,,,,,,,,,,,,,,,,,,,mosquito,species,aedes furcifer,candidate,review,TRUE,FALSE,TRUE,,FALSE,FALSE,competent,yes,,sylvatic_vector,TRUE,yes,FALSE,,,no_sdm,0,,,,,,,,TRUE,TRUE,TRUE,FALSE,,strong,TRUE,tax_id_missing; bites_humans_unknown; natural_infection_unknown; no_sdm,vector_v0_1
chikungunya_delivery,master_4,Chikungunya fever,Chikungunya fever,vector,Aedes furcifer taylori,,,,,,,,,,,,,,,,,,,,,,mosquito,infraspecific,aedes furcifer taylori,probable,review,TRUE,FALSE,FALSE,,FALSE,FALSE,,,,,TRUE,yes,FALSE,,,no_sdm,0,,,,,,,,TRUE,TRUE,FALSE,FALSE,,supported,TRUE,tax_id_missing; bites_humans_unknown; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown; no_sdm,vector_v0_1
chikungunya_delivery,master_4,Chikungunya fever,Chikungunya fever,vector,Aedes hensilli,,,,,,,,,,,,,,,,,,,,,,mosquito,species,aedes hensilli,probable,review,TRUE,FALSE,TRUE,,FALSE,FALSE,unclear,,no,,TRUE,yes,FALSE,,,no_sdm,0,,,,,,,,TRUE,TRUE,FALSE,FALSE,,supported,TRUE,tax_id_missing; bites_humans_unknown; vector_role_hint_blank; transmission_demonstrated_unknown; no_sdm,vector_v0_1
chikungunya_delivery,master_4,Chikungunya fever,Chikungunya fever,vector,Aedes luteocephalus,,,,,,,,,,,,,,,,,,,,,,mosquito,species,aedes luteocephalus,probable,review,TRUE,FALSE,FALSE,,FALSE,FALSE,,,,,TRUE,yes,FALSE,,,no_sdm,0,,,,,,,,TRUE,TRUE,FALSE,FALSE,,supported,TRUE,tax_id_missing; bites_humans_unknown; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown; no_sdm,vector_v0_1
chikungunya_delivery,master_4,Chikungunya fever,Chikungunya fever,vector,Aedes notoscriptus,,,,,,,,,,,,,,,,,,,,,,mosquito,species,aedes notoscriptus,candidate,lab,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,competent,yes,,,TRUE,yes,TRUE,Aedes notoscriptus,production_candidate,usable_sdm,1,10,0.947878787878788,0.997551755175518,0.8236,0.8292,0.716422677739496,0.740373418437669,TRUE,TRUE,TRUE,FALSE,,strong,FALSE,tax_id_missing; vector_role_hint_blank; natural_infection_unknown,vector_v0_1
chikungunya_delivery,master_4,Chikungunya fever,Chikungunya fever,vector,Aedes procax,,,,,,,,,,,,,,,,,,,,,,mosquito,species,aedes procax,probable,lab,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,competent,yes,,,TRUE,yes,TRUE,Aedes procax,production_candidate,usable_sdm,1,10,0.727924314420367,0.863935095557916,0.7156,0.7738,0.453593020060456,0.569181093707062,TRUE,TRUE,TRUE,FALSE,,strong,FALSE,tax_id_missing; vector_role_hint_blank; natural_infection_unknown,vector_v0_1
