Family,PHEIC risk,Priority Pathogens,Prototype Pathogens
Arenaviridae,High,,
Bacteria,High,Vibrio cholera (0139),
Bacteria,High,Salmonella enterica non typhoidal serovars,
Bacteria,High,Klebsiella pneumoniae,
Nairoviridae,High,Orthonairovirus haemorrhagiae,Orthonairovirus haemorrhagiae
Hantaviridae,High,Orthohantavirus hantanense,
Phenuiviridae,High,Bandavirus dabieense,Bandavirus dabieense
Coronaviridae,High,Subgenus Sarbecoviruses,Subgenus Sarbecoviruses
Filoviridae,High,,
Flaviviridae,High,Orthoflavivirus denguei,Orthoflavivirus denguei
Flaviviridae,High,Orthoflavivirus zikaense,Orthoflavivirus zikaense
Flaviviridae,High,,Orthoflavivirus nilense
Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H1N1),Alphainfluenzavirus influenzae (H1N1)
Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H2Nx),
Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H3N2),
Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H5Nx),Alphainfluenzavirus influenzae (H5Nx)
Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H6Nx),
Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H7Nx),
Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H10Nx),
Paramyxoviridae,High,Henipavirus nipahense,Henipavirus nipahense
Paramyxoviridae,High,Orthopoxvirus vaccinia,Orthopoxvirus vaccinia
Poxviridae,High,Orthopoxvirus monkeypox,Orthopoxvirus monkeypox
Poxviridae,High,Orthopoxvirus vaccinia,Orthopoxvirus vaccinia
Togaviridae,High,Alphavirus chikungunya,Alphavirus chikungunya
Picornaviridae,Medium,Human polioviruses,Enterovirus D68 (EV-D68)
Picornaviridae,Medium,Human polioviruses,Enterovirus A71 (EV-A71)
Retroviridae,Medium,Human immunodeficiency virus 1 (HIV-1),Human immunodeficiency virus 1 (HIV-1)
Adenoviridae,Low-Medium,,Human mastadenovirus B
Pneumoviridae,Low-Medium,,Metapneumovirus hominis
Astroviridae,Low,,Mamastrovirus 9 (GII.B-human)
Bornaviridae,Low,,
Hepdnaviridae,Low,,
Hepeviridae,Low,,Paslahepevirus balayani genotype 3
Parvoviridae,Low,,Carivore protoparvoviruses (CPV)
Picobirnaviridae,Low,,Human picobirnavirus
Spinareoviridae,Low,,Orthoreovirus mammalis
Sedoreoviridae,Low,,Genus Rotavirus
Rhabdoviridae,Low,,Genus Vesiculovirus
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
