ID,bacteria_name,name_type,match_source,dist,PathogenTaxID,Pathogen,PathogenType,PathogenClass,PathogenOrder,PathogenFamily,PathogenGenus,PathogenNCBIResolved,Host,HostTaxID,HostGenus,HostFamily,HostOrder,HostClass,HostNCBIResolved,DetectionMethod,DetectionMethodOriginal,ICTVRatified,Database,DatabaseVersion,DatabaseDOI,PublicationYear,ReferenceText,PMID,ReleaseYear,AssocID,NCBIAccession,PHEIC risk,high_quality_detection,downstream_default_include,downstream_review_reason
B1,Klebsiella pneumoniae,Pathogens,exact,0,573,klebsiella pneumoniae,bacteria/rickettsia,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,TRUE,alces alces,9852,alces,cervidae,artiodactyla,mammalia,TRUE,Not specified,NA,FALSE,GMPD2,Stephens et al. 2017 Ecology,https://doi.org/10.1002/ecy.1799,1995,Gavier-Widen et al 1995,NA,NA,9043,NA,High,FALSE,FALSE,detection_method=Not specified
B1,Klebsiella pneumoniae,Pathogens,exact,0,573,klebsiella pneumoniae,bacteria/rickettsia,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,TRUE,amphiprion nigripes,229073,amphiprion,pomacentridae,NA,actinopteri,TRUE,PCR/Sequencing,NCBI Nucleotide,FALSE,EID2,Wardeh et al. 2015 Sci Data,https://doi.org/10.1038/sdata.2015.49,NA,NCBI Nucleotide,NA,2011,93,325071209,High,TRUE,TRUE,NA
B1,Klebsiella pneumoniae,Pathogens,exact,0,573,klebsiella pneumoniae,bacteria/rickettsia,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,TRUE,bison bison,9901,bison,bovidae,artiodactyla,mammalia,TRUE,Isolation/Observation,Isolation,FALSE,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,1999; NA,"Davidson HJ, 1999, J Am Vet Med Assoc, 215; GMPD",10530331; NA,NA,9759; 9760,NA,High,TRUE,TRUE,NA
B1,Klebsiella pneumoniae,Pathogens,exact,0,573,klebsiella pneumoniae,bacteria/rickettsia,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,TRUE,bison bison,9901,bison,bovidae,artiodactyla,mammalia,TRUE,Not specified,NA,FALSE,GMPD2,Stephens et al. 2017 Ecology,https://doi.org/10.1002/ecy.1799,1999,Davidson et al 1999,NA,NA,9758,NA,High,FALSE,FALSE,detection_method=Not specified
B1,Klebsiella pneumoniae,Pathogens,exact,0,573,klebsiella pneumoniae,bacteria/rickettsia,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,TRUE,bos taurus,9913,bos,bovidae,artiodactyla,mammalia,TRUE,Not specified,CargoCarrier,FALSE,EID2,Wardeh et al. 2015 Sci Data,https://doi.org/10.1038/sdata.2015.49,1975; 1976; 1992; 1991; 1990; 1989; 1987; 1986; 1985; 1971; 1974; 1983; 1984; 1982; 1981; 1980; 1994; 1993; 1996; 1998; 1999; 2000; 2002; 1954; 1956; 2005; 2006; 2007; 2008; 2010; 2011; 2012,"Jasper DE, 1975, J Am Vet Med Assoc, 166; Osinga A, 1976, Tijdschr Diergeneeskd, 101; Nakashima I, 1975, Cell Immunol, 20; Nakashima I, 1975, Immunology, 29; Ashaye AO, 1992, Afr J Med Med Sci, 21; Brogden KA, 1992, Infect Immun, 60; Bellamy W, 1992, Biochim Biophys Acta, 1121; Rose DM, 1991, Zentralbl Veterinarmed A, 38; Todhunter DA, 1991, Vet Immunol Immunopathol, 28; Tyler J, 1991, J Dairy Sci, 74; Athamna A, 1991, Infect Immun, 59; Todhunter D, 1990, J Dairy Sci, 73; Briozzo J, 1989, J Appl Bacteriol, 66; Yokochi T, 1989, Microbiol Immunol, 33; Goldberg I, 1989, Biochim Biophys Acta, 991; Gennaro R, 1989, Infect Immun, 57; Vecht U, 1987, Tijdschr Diergeneeskd, 112; Zehner MM, 1986, J Dairy Sci, 69; Mesta AM, 1985, Rev Latinoam Microbiol, 27; Nakashima I, 1971, J Immunol, 107; Elin RJ, 1974, Infect Immun, 10; Traub WH, 1983, Zentralbl Bakteriol Mikrobiol Hyg A, 254; Schmidt AL, 1984, J Dairy Sci, 67; Robert D, 1982, Microbiol Immunol, 26; McDonald JS, 1981, Am J Vet Res, 42; DeLong TG, 1982, Arch Surg, 117; Ward GE, 1981, Am J Vet Res, 42; Elwing H, 1980, J Immunol Methods, 39; Lim BL, 1994, Biochem Biophys Res Commun, 202; Pohl P, 1993, Epidemiol Infect, 111; Gupta R, 1993, Indian J Med Res, 97; Schuster FL, 1996, J Eukaryot Microbiol, 43; Lin J, 1998, J Dairy Sci, 81; Miglioli PA, 1999, Pharmacol Res, 39; Hochepied T, 2000, J Biol Chem, 275; Sun CQ, 2002, Chem Biol Interact, 140; BARNES LE, 1954, J Am Vet Med Assoc, 125; HIRSCH JG, 1956, J Exp Med, 103; Uguz MT, 2005, Prikl Biokhim Mikrobiol, 41; Sampimon OC, 2006, Tijdschr Diergeneeskd, 131; Kivaria FM, 2007, Vet J, 173; Munoz MA, 2006, J Dairy Sci, 89; Chockalingam A, 2007, Vet Microbiol, 125; Chockalingam A, 2007, Am J Vet Res, 68; Furgani G, 2008, J Appl Microbiol, 104; Godden S, 2008, J Dairy Sci, 91; Kojouri GA, 2007, Pak J Biol Sci, 10; Nam HM, 2010, Foodborne Pathog Dis, 7; Ahmed AM, 2011, Microbiol Immunol, 55; Ajitkumar P, 2012, Vet Microbiol, 155; Wang J, 2011, PLoS One, 6",804464; 818734; 1106873; 1184116; 1288247; 1452351; 1599934; 1649514; 1866891; 1907303; 2019437; 2184175; 2195077; 2542213; 2586346; 2655713; 2777377; 3299869; 3528251; 3892617; 4106090; 4601767; 6372321; 6530497; 6761558; 7023295; 7034674; 7039431; 7462651; 8060356; 8405151; 8486405; 8720945; 9749380; 10208763; 10809735; 12076524; 13162918; 13319581; 16212035; 16430158; 16516507; 16899675; 17560054; 17975968; 17976177; 18096936; 19093453; 19895257; 21338385; 21944716; 21912615,NA,13197; 13198; 13199; 13200; 13201; 13202; 13203; 13204; 13205; 13206; 13207; 13208; 13209; 13210; 13211; 13212; 13213; 13214; 13215; 13216; 13217; 13218; 13219; 13220; 13221; 13222; 13223; 13224; 13225; 13226; 13227; 13228; 13229; 13230; 13231; 13232; 13233; 13234; 13235; 13236; 13237; 13238; 13239; 13240; 13241; 13242; 13243; 13244; 13245; 13246; 13247; 13248,NA,High,FALSE,FALSE,detection_method=Not specified
B1,Klebsiella pneumoniae,Pathogens,exact,0,573,klebsiella pneumoniae,bacteria/rickettsia,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,TRUE,bos taurus,9913,bos,bovidae,artiodactyla,mammalia,TRUE,PCR/Sequencing,NCBI Nucleotide,FALSE,EID2,Wardeh et al. 2015 Sci Data,https://doi.org/10.1038/sdata.2015.49,NA,NCBI Nucleotide,NA,2008; 2010; 2011,13249; 13250; 13251; 13252; 13253; 13254; 13255; 13256; 13257; 13258; 13259; 13260; 13261,195973190; 195973206; 195973207; 195973208; 195973209; 195973210; 195973211; 195973212; 195973213; 195973214; 195973215; 302826889; 326370567,High,TRUE,TRUE,NA
B1,Klebsiella pneumoniae,Pathogens,exact,0,573,klebsiella pneumoniae,bacteria/rickettsia,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,TRUE,canis lupus,9612,canis,canidae,carnivora,mammalia,TRUE,Not specified,CargoCarrier,FALSE,EID2,Wardeh et al. 2015 Sci Data,https://doi.org/10.1038/sdata.2015.49,1976; 1975; 1992; 1987; 1983; 1980; 1999; 2002; 1960; 2003; 2004; 2005; 2006,"Cattanach BM, 1976, Mutat Res, 39; Actor P, 1975, J Antibiot (Tokyo), 28; Klesel N, 1992, J Antibiot (Tokyo), 45; Clark JM, 1987, Antimicrob Agents Chemother, 31; Hara T, 1983, Jpn J Antibiot, 36; Ling GV, 1980, Am J Vet Res, 41; van Geest M, 1999, J Biol Chem, 274; Choi J, 1999, Hepatology, 29; Lobetti RG, 2002, J Am Vet Med Assoc, 220; GUILLOT G, 1960, Rev Corps Sante Armees Terre Mer Air, 1; Schäfer-Somi S, 2003, J Vet Med B Infect Dis Vet Public Health, 50; Skerrett SJ, 2004, Am J Respir Crit Care Med, 169; Sang Y, 2005, Infect Immun, 73; Gatoria IS, 2006, J Small Anim Pract, 47",796692; 808525; 1500360; 3551830; 6674532; 6996543; 9915815; 10216115; 11991409; 13709648; 14535933; 14766658; 15845463; 17201824,NA,20301; 20302; 20303; 20304; 20305; 20306; 20307; 20308; 20309; 20310; 20311; 20312; 20313; 20314; 20317; 20318; 20319; 20320; 20321; 20322; 20323; 20324; 20325; 20326; 20327; 20328; 20329; 20330,NA,High,FALSE,FALSE,detection_method=Not specified
B1,Klebsiella pneumoniae,Pathogens,exact,0,573,klebsiella pneumoniae,bacteria/rickettsia,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,TRUE,canis lupus,9612,canis,canidae,carnivora,mammalia,TRUE,PCR/Sequencing,NCBI Nucleotide,FALSE,EID2,Wardeh et al. 2015 Sci Data,https://doi.org/10.1038/sdata.2015.49,NA,NCBI Nucleotide,NA,2008,20315; 20316; 20331; 20332,170785713; 170785720,High,TRUE,TRUE,NA
B1,Klebsiella pneumoniae,Pathogens,exact,0,573,klebsiella pneumoniae,bacteria/rickettsia,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,TRUE,civettictis civetta,94186,civettictis,viverridae,carnivora,mammalia,TRUE,Isolation/Observation,Isolation,FALSE,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,1988,"Enurah LU, 1988, J Wildl Dis, 24",3045348,NA,24362,NA,High,TRUE,TRUE,NA
B1,Klebsiella pneumoniae,Pathogens,exact,0,573,klebsiella pneumoniae,bacteria/rickettsia,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,TRUE,equus caballus,9796,equus,equidae,perissodactyla,mammalia,TRUE,Not specified,CargoCarrier,FALSE,EID2,Wardeh et al. 2015 Sci Data,https://doi.org/10.1038/sdata.2015.49,1979; 1992; 1989; 1987; 1985; 1984; 1981; 1995; 1993; 1997; 1964; 2008; 1991,"Stratton LG, 1979, J Reprod Fertil Suppl,; Couto MA, 1992, Infect Immun, 60; Wilson WD, 1989, J Am Vet Med Assoc, 195; Gaffin SL, 1987, J Med Microbiol, 24; Adamson PJ, 1985, Am J Vet Res, 46; Dunn DL, 1984, Surgery, 96; Neu HC, 1981, Antimicrob Agents Chemother, 19; Kikuchi N, 1995, J Vet Med Sci, 57; Durando MM, 1995, J Am Vet Med Assoc, 206; Hong CB, 1993, J Vet Diagn Invest, 5; Kim JH, 1997, Antimicrob Agents Chemother, 41; LOWBURY EJ, 1964, J Clin Pathol, 17; Nolan EM, 2008, Biochemistry, 47; Hoffman AM, 1993, Am J Vet Res, 54; Saino Y, 1984, Antimicrob Agents Chemother, 26; Gonçalves ML, 1991, Sci Total Environ, 103",383987; 1639474; 2624660; 3309324; 3994111; 6379963; 7271270; 7756401; 7768709; 8466982; 9333049; 14159449; 18690711; 8291754; 6548350; 1652791,NA,25827; 25828; 25829; 25830; 25831; 25832; 25833; 25834; 25835; 25836; 25837; 25838; 25839; 25840; 25841; 25842,NA,High,FALSE,FALSE,detection_method=Not specified
