Disease_name,country,records_with_country,pathogens,target_ids,in_gibb_etal,in_empres_i
African horse sickness,Chad,20,Orbivirus alphaequi,Orbivirus_alphaequi,FALSE,FALSE
African horse sickness,Ethiopia,10,Orbivirus alphaequi,Orbivirus_alphaequi,FALSE,FALSE
African horse sickness,India,2,Orbivirus alphaequi,Orbivirus_alphaequi,FALSE,FALSE
African horse sickness,Kenya,123,Orbivirus alphaequi,Orbivirus_alphaequi,FALSE,FALSE
African horse sickness,Mozambique,10,Orbivirus alphaequi,Orbivirus_alphaequi,FALSE,FALSE
African horse sickness,Namibia,168,Orbivirus alphaequi,Orbivirus_alphaequi,FALSE,FALSE
African horse sickness,Nigeria,10,Orbivirus alphaequi,Orbivirus_alphaequi,FALSE,FALSE
African horse sickness,Pakistan,7,Orbivirus alphaequi,Orbivirus_alphaequi,FALSE,FALSE
African horse sickness,Senegal,1,Orbivirus alphaequi,Orbivirus_alphaequi,FALSE,FALSE
African horse sickness,South Africa,2296,Orbivirus alphaequi,Orbivirus_alphaequi,FALSE,FALSE
African horse sickness,Spain,3,Orbivirus alphaequi,Orbivirus_alphaequi,FALSE,FALSE
African horse sickness,Sudan,5,Orbivirus alphaequi,Orbivirus_alphaequi,FALSE,FALSE
African horse sickness,Thailand,38,Orbivirus alphaequi,Orbivirus_alphaequi,FALSE,FALSE
African horse sickness,Zimbabwe,54,Orbivirus alphaequi,Orbivirus_alphaequi,FALSE,FALSE
Alkhurma,Egypt,12,Alkhumra hemorrhagic fever virus,Alkhumra_hemorrhagic_fever_virus,FALSE,FALSE
Alkhurma,Saudi Arabia,64,Alkhumra hemorrhagic fever virus,Alkhumra_hemorrhagic_fever_virus,FALSE,FALSE
Andes,Argentina,225,Orthohantavirus andesense,Orthohantavirus_andesense,FALSE,FALSE
Andes,Bolivia,10,Orthohantavirus andesense,Orthohantavirus_andesense,FALSE,FALSE
Andes,Brazil,114,Orthohantavirus andesense,Orthohantavirus_andesense,FALSE,FALSE
Andes,Chile,127,Orthohantavirus andesense,Orthohantavirus_andesense,FALSE,FALSE
Andes,Paraguay,5,Orthohantavirus andesense,Orthohantavirus_andesense,FALSE,FALSE
Andes,Peru,3,Orthohantavirus andesense,Orthohantavirus_andesense,FALSE,FALSE
Andes,Switzerland,12,Orthohantavirus andesense,Orthohantavirus_andesense,FALSE,FALSE
Andes,Uruguay,34,Orthohantavirus andesense,Orthohantavirus_andesense,FALSE,FALSE
Anthrax,Albania,3,Bacillus anthracis,Bacillus_anthracis,FALSE,FALSE
Anthrax,Algeria,138,Bacillus anthracis,Bacillus_anthracis,FALSE,FALSE
Anthrax,Antarctica,2,Bacillus anthracis,Bacillus_anthracis,FALSE,FALSE
Anthrax,Argentina,93,Bacillus anthracis,Bacillus_anthracis,FALSE,FALSE
Anthrax,Atlantic Ocean,1,Bacillus anthracis,Bacillus_anthracis,FALSE,FALSE
Anthrax,Australia,210,Bacillus anthracis,Bacillus_anthracis,FALSE,FALSE
Anthrax,Austria,43,Bacillus anthracis,Bacillus_anthracis,FALSE,FALSE
Anthrax,Azerbaijan,4,Bacillus anthracis,Bacillus_anthracis,FALSE,FALSE
Anthrax,Bangladesh,180,Bacillus anthracis,Bacillus_anthracis,FALSE,FALSE
Anthrax,Belgium,30,Bacillus anthracis,Bacillus_anthracis,FALSE,FALSE
