target_id,query_pathogen_label,query_pathogen_source,pathogen_species_name,pathogen_taxid,source_db,query_used,query_strategy,query_source,retrieval_policy,allow_sampling,analysis_unit_ids,readiness_disease_names,readiness_row_count,manifest_status,manifest_status_reason,qa_flags,existing_genbank_country_evidence,existing_genbank_distinct_countries_or_territories,current_target_id,current_manifest_query_strategy
Alkhumra_hemorrhagic_fever_virus,Alkhumra hemorrhagic fever virus,manual_genbank_readiness_override,Orthoflavivirus kyasanurense,172148,nuccore,txid172148[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_81,Alkhurma,1,ready_for_future_retrieval,manual GenBank query override applied,non_include_scope; duplicate_species_group; shared_species_proxy; match_review_flag; manual_genbank_override; already_has_genbank_country_evidence,TRUE,2,NA,NA
Alphainfluenzavirus_influenzae_H5N1,Alphainfluenzavirus influenzae (H5N1),source_pathogen_concrete_influenza_subtype,Alphainfluenzavirus influenzae,11320; 2955291,nuccore,"((txid11320[Organism:exp] OR txid2955291[Organism:exp])) AND ""H5N1""[All Fields]",influenza_subtype_constrained_full_retrieval,simple_subtype_guardrail,future_full_deterministic_pagination,FALSE,master_16,Influenza (H5N1 avian influenza),1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,duplicate_species_group; already_has_genbank_country_evidence,TRUE,95,NA,NA
Alphainfluenzavirus_influenzae_H7N9,Alphainfluenzavirus influenzae (H7N9),source_pathogen_concrete_influenza_subtype,Alphainfluenzavirus influenzae,11320; 2955291,nuccore,"((txid11320[Organism:exp] OR txid2955291[Organism:exp])) AND ""H7N9""[All Fields]",influenza_subtype_constrained_full_retrieval,simple_subtype_guardrail,future_full_deterministic_pagination,FALSE,who_18,Influenza (H7N9 avian influenza),1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,duplicate_species_group; already_has_genbank_country_evidence,TRUE,20,NA,NA
Alphavirus_barmah,Alphavirus barmah,pathogen_species_name,Alphavirus barmah,11020; 3426294,nuccore,(txid11020[Organism:exp] OR txid3426294[Organism:exp]),taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_48,Barmah Forest virus,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,2,NA,NA
Alphavirus_chikungunya,Alphavirus chikungunya,pathogen_species_name,Alphavirus chikungunya,3426298; 37124,nuccore,(txid3426298[Organism:exp] OR txid37124[Organism:exp]),taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_4,Chikungunya fever,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,115,NA,NA
Alphavirus_everglades,Alphavirus everglades,pathogen_species_name,Alphavirus everglades,2083198,nuccore,txid2083198[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_93,Everglades,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,non_include_scope; already_has_genbank_country_evidence,TRUE,1,NA,NA
Alphavirus_mayaro,Alphavirus mayaro,pathogen_species_name,Alphavirus mayaro,3426306; 59301,nuccore,(txid3426306[Organism:exp] OR txid59301[Organism:exp]),taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_41,Mayaro,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,non_include_scope; already_has_genbank_country_evidence,TRUE,10,NA,NA
Alphavirus_rossriver,Alphavirus rossriver,pathogen_species_name,Alphavirus rossriver,11029; 3426314,nuccore,(txid11029[Organism:exp] OR txid3426314[Organism:exp]),taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_47,Ross River virus,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,7,NA,NA
Alphavirus_venezuelan,Alphavirus venezuelan,pathogen_species_name,Alphavirus venezuelan,11036,nuccore,txid11036[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_25,Venezuelan equine encephalitis,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,non_include_scope; already_has_genbank_country_evidence,TRUE,19,NA,NA
Babesia_microti,Babesia microti,pathogen_species_name,Babesia microti,5868,nuccore,txid5868[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_85,Babesia microti,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,49,NA,NA
