matched_who_host,matched_who_host_tax_id,matched_who_host_class,matched_who_host_order,matched_who_host_family,vector_species_analysis,vector_species_needs_review,vector_name_taxonomy_examples,source_dataset_examples,country_examples,review_reason_examples,record_count
Ardea cinerea,30390,aves,pelecaniformes,ardeidae,Culex pipiens,FALSE,Culex pipiens,MapVEu,United Kingdom,,3
Asio otus,111810,aves,strigiformes,strigidae,Culex pipiens,FALSE,Culex pipiens,MapVEu,United Kingdom,,1
Bos taurus,9913,mammalia,artiodactyla,bovidae,Aedes notoscriptus,FALSE,Aedes notoscriptus,MapVEu,Australia,,1
Bos taurus,9913,mammalia,artiodactyla,bovidae,Anopheles aconitus,FALSE,Anopheles aconitus,MapVEu,Cambodia,,2
Bos taurus,9913,mammalia,artiodactyla,bovidae,Anopheles annularis,FALSE,Anopheles annularis,MapVEu,Cambodia,,1
Bos taurus,9913,mammalia,artiodactyla,bovidae,Anopheles arabiensis,FALSE,Anopheles arabiensis,MapVEu,Ethiopia; Ghana; Kenya; Madagascar,,61
Bos taurus,9913,mammalia,artiodactyla,bovidae,Anopheles argyropus,FALSE,Anopheles argyropus,MapVEu,Cambodia,,1
Bos taurus,9913,mammalia,artiodactyla,bovidae,Anopheles barbirostris sensu lato 245,TRUE,Anopheles barbirostris sensu lato 245,MapVEu,Cambodia,vector_sensu_lato,3
Bos taurus,9913,mammalia,artiodactyla,bovidae,Anopheles barbirostris subgroup clade III,TRUE,Anopheles barbirostris subgroup clade III,MapVEu,Cambodia,vector_group,4
Bos taurus,9913,mammalia,artiodactyla,bovidae,Anopheles campestris,FALSE,Anopheles campestris,MapVEu,Cambodia,,1
Bos taurus,9913,mammalia,artiodactyla,bovidae,Anopheles coluzzii,FALSE,Anopheles coluzzii,MapVEu,Ghana,,2
Bos taurus,9913,mammalia,artiodactyla,bovidae,Anopheles coustani,FALSE,Anopheles coustani,MapVEu,Ethiopia; Kenya; Madagascar,,365
Bos taurus,9913,mammalia,artiodactyla,bovidae,Anopheles crawfordi,FALSE,Anopheles crawfordi,MapVEu,Cambodia,,1
Bos taurus,9913,mammalia,artiodactyla,bovidae,Anopheles darlingi,FALSE,Anopheles darlingi,MapVEu,Peru,,4416
Bos taurus,9913,mammalia,artiodactyla,bovidae,Anopheles dirus,FALSE,Anopheles dirus,MapVEu,Cambodia,,2
Bos taurus,9913,mammalia,artiodactyla,bovidae,Anopheles flavicosta,FALSE,Anopheles flavicosta,MapVEu,Madagascar,,1
Bos taurus,9913,mammalia,artiodactyla,bovidae,Anopheles funestus,FALSE,Anopheles funestus,MapVEu,Kenya; Madagascar,,25
