pathogen,pathogen_raw_examples,pathogen_tax_id,pheic_risk,disease_name,disease_name_raw_examples,host_tax_id,host,pathogen_class,pathogen_order,pathogen_family,pathogen_genus,host_phylum,host_class,host_family,host_order,detection_method,main_source,pathogen_type,is_zoonotic,zoonotic_status,canonicalization_status,pathogen_raw,disease_name_raw,pathogen_family_raw,pathogen_genus_raw,pathogen_type_raw,pathogen_clean,disease_name_clean,pathogen_family_clean,pathogen_genus_clean,pathogen_type_clean
Mammarenavirus juninense,Mammarenavirus juninense,2169991,High,Argentine hemorrhagic fever,Argentine hemorrhagic fever,29095,Akodon azarae,ellioviricetes,bunyavirales,arenaviridae,mammarenavirus,chordata,mammalia,cricetidae,rodentia,Isolation/Observation,VIRION,virus,TRUE,zoonotic,identity,Mammarenavirus juninense,Argentine hemorrhagic fever,arenaviridae,mammarenavirus,virus,mammarenavirus juninense,argentine hemorrhagic fever,arenaviridae,mammarenavirus,virus
Mammarenavirus juninense,Mammarenavirus juninense,2169991,High,Argentine hemorrhagic fever,Argentine hemorrhagic fever,160457,Calomys,ellioviricetes,bunyavirales,arenaviridae,mammarenavirus,,,,,PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Mammarenavirus juninense,Argentine hemorrhagic fever,arenaviridae,mammarenavirus,virus,mammarenavirus juninense,argentine hemorrhagic fever,arenaviridae,mammarenavirus,virus
Mammarenavirus juninense,Mammarenavirus juninense,2169991,High,Argentine hemorrhagic fever,Argentine hemorrhagic fever,56211,Calomys laucha,ellioviricetes,bunyavirales,arenaviridae,mammarenavirus,chordata,mammalia,cricetidae,rodentia,Isolation/Observation; PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Mammarenavirus juninense,Argentine hemorrhagic fever,arenaviridae,mammarenavirus,virus,mammarenavirus juninense,argentine hemorrhagic fever,arenaviridae,mammarenavirus,virus
Mammarenavirus juninense,Mammarenavirus juninense,2169991,High,Argentine hemorrhagic fever,Argentine hemorrhagic fever,56212,Calomys musculinus,ellioviricetes,bunyavirales,arenaviridae,mammarenavirus,chordata,mammalia,cricetidae,rodentia,Isolation/Observation; PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Mammarenavirus juninense,Argentine hemorrhagic fever,arenaviridae,mammarenavirus,virus,mammarenavirus juninense,argentine hemorrhagic fever,arenaviridae,mammarenavirus,virus
Mammarenavirus juninense,Mammarenavirus juninense,2169991,High,Argentine hemorrhagic fever,Argentine hemorrhagic fever,9606,Homo sapiens,ellioviricetes,bunyavirales,arenaviridae,mammarenavirus,,,,,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Mammarenavirus juninense,Argentine hemorrhagic fever,arenaviridae,mammarenavirus,virus,mammarenavirus juninense,argentine hemorrhagic fever,arenaviridae,mammarenavirus,virus
Mammarenavirus juninense,Mammarenavirus juninense,2169991,High,Argentine hemorrhagic fever,Argentine hemorrhagic fever,10090,Mus musculus,ellioviricetes,bunyavirales,arenaviridae,mammarenavirus,chordata,mammalia,muridae,rodentia,Antibodies; Isolation/Observation,VIRION,virus,TRUE,zoonotic,identity,Mammarenavirus juninense,Argentine hemorrhagic fever,arenaviridae,mammarenavirus,virus,mammarenavirus juninense,argentine hemorrhagic fever,arenaviridae,mammarenavirus,virus
Mammarenavirus juninense,Mammarenavirus juninense,2169991,High,Argentine hemorrhagic fever,Argentine hemorrhagic fever,399317,Necromys obscurus,ellioviricetes,bunyavirales,arenaviridae,mammarenavirus,chordata,mammalia,cricetidae,rodentia,Isolation/Observation,VIRION,virus,TRUE,zoonotic,identity,Mammarenavirus juninense,Argentine hemorrhagic fever,arenaviridae,mammarenavirus,virus,mammarenavirus juninense,argentine hemorrhagic fever,arenaviridae,mammarenavirus,virus
Mammarenavirus juninense,Mammarenavirus juninense,2169991,High,Argentine hemorrhagic fever,Argentine hemorrhagic fever,218824,Oligoryzomys flavescens,ellioviricetes,bunyavirales,arenaviridae,mammarenavirus,chordata,mammalia,cricetidae,rodentia,Isolation/Observation; PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Mammarenavirus juninense,Argentine hemorrhagic fever,arenaviridae,mammarenavirus,virus,mammarenavirus juninense,argentine hemorrhagic fever,arenaviridae,mammarenavirus,virus
Mammarenavirus juninense,Mammarenavirus juninense,2169991,High,Argentine hemorrhagic fever,Argentine hemorrhagic fever,470561,galictis cuja,ellioviricetes,bunyavirales,arenaviridae,mammarenavirus,,,,,Antibodies,VIRION,virus,TRUE,zoonotic,identity,Mammarenavirus juninense,Argentine hemorrhagic fever,arenaviridae,mammarenavirus,virus,mammarenavirus juninense,argentine hemorrhagic fever,arenaviridae,mammarenavirus,virus
Mammarenavirus juninense,Mammarenavirus juninense,2169991,High,Argentine hemorrhagic fever,Argentine hemorrhagic fever,56230,oxymycterus rufus,ellioviricetes,bunyavirales,arenaviridae,mammarenavirus,,,,,Antibodies,VIRION,virus,TRUE,zoonotic,identity,Mammarenavirus juninense,Argentine hemorrhagic fever,arenaviridae,mammarenavirus,virus,mammarenavirus juninense,argentine hemorrhagic fever,arenaviridae,mammarenavirus,virus
