efsa_pathogen_raw,vector_species_raw,vector_group_raw,vector_status_raw,field_results_raw,laboratory_results_raw,vn_database_species_raw,vn_priority_species_raw,efsa_pathogen_standardized,efsa_pathogen_clean,vector_species,vector_species_clean,vector_group,vector_status,field_results,laboratory_results,vn_database_species,vn_priority_species,efsa_pathogen_id,alias_source,alias_raw,alias_disease_candidate,alias_disease_candidate_clean,appendix_a_alias_match_count,abbreviation,species_name,isolate_virus_name,pathogen_family,pathogen_genus,oie_notifiable,appendix_a_match_status
African horse sickness virus,Culicoides obsoletus s.l.,BM,Potential,,Positive,YES,YES,African horse sickness virus,african horse sickness virus,Culicoides obsoletus s.l.,culicoides obsoletus s l,biting_midge,potential,,positive,yes,yes,efsa_ahsv,species_name,African horse sickness virus,African horse sickness,african horse sickness,1,AHSV,African horse sickness virus,African horse sickness virus,Reoviridae,Orbivirus,yes,matched_to_appendix_a
African horse sickness virus,Culicoides scoticus,BM,Potential,,Positive,YES,YES,African horse sickness virus,african horse sickness virus,Culicoides scoticus,culicoides scoticus,biting_midge,potential,,positive,yes,yes,efsa_ahsv,species_name,African horse sickness virus,African horse sickness,african horse sickness,1,AHSV,African horse sickness virus,African horse sickness virus,Reoviridae,Orbivirus,yes,matched_to_appendix_a
African swine fever virus,Ornithodoros erraticus,T,Potential,,Positive,YES,YES,African swine fever virus,african swine fever virus,Ornithodoros erraticus,ornithodoros erraticus,tick,potential,,positive,yes,yes,efsa_asfv,species_name,African swine fever virus,African swine fever,african swine fever,1,ASFV,African swine fever virus,African swine fever virus,Asfarviridae,Asfivirus,yes,matched_to_appendix_a
African swine fever virus,Ornithodoros moubata,T,Potential,,Positiveb,NO,NO,African swine fever virus,african swine fever virus,Ornithodoros moubata,ornithodoros moubata,tick,potential,,positive,no,no,efsa_asfv,species_name,African swine fever virus,African swine fever,african swine fever,1,ASFV,African swine fever virus,African swine fever virus,Asfarviridae,Asfivirus,yes,matched_to_appendix_a
African swine fever virus,Ornithodoros moubata s.l.,T,Potential,Positive,,NO,NO,African swine fever virus,african swine fever virus,Ornithodoros moubata s.l.,ornithodoros moubata s l,tick,potential,positive,,no,no,efsa_asfv,species_name,African swine fever virus,African swine fever,african swine fever,1,ASFV,African swine fever virus,African swine fever virus,Asfarviridae,Asfivirus,yes,matched_to_appendix_a
African swine fever virus,Ornithodoros porcinus porcinus*,T,Potential,Positivec,,NO,NO,African swine fever virus,african swine fever virus,Ornithodoros porcinus porcinus,ornithodoros porcinus porcinus,tick,potential,positive,,no,no,efsa_asfv,species_name,African swine fever virus,African swine fever,african swine fever,1,ASFV,African swine fever virus,African swine fever virus,Asfarviridae,Asfivirus,yes,matched_to_appendix_a
Akabane virus,Culicoides imicola,BM,Potential,Positive,,YES,YES,Akabane virus,akabane virus,Culicoides imicola,culicoides imicola,biting_midge,potential,positive,,yes,yes,efsa_akav,species_name,Akabane virus,Akabane,akabane,1,AKAV,Akabane virus,Akabane virus,Bunyaviridae,Orthobunyavirus,no,matched_to_appendix_a
Akabane virus,Culicoides oxystoma,BM,Potential,,Positive,YES,YES,Akabane virus,akabane virus,Culicoides oxystoma,culicoides oxystoma,biting_midge,potential,,positive,yes,yes,efsa_akav,species_name,Akabane virus,Akabane,akabane,1,AKAV,Akabane virus,Akabane virus,Bunyaviridae,Orthobunyavirus,no,matched_to_appendix_a
Akabane virus,Culicoides tainanus,BM,Potential,,Positive,NO,NO,Akabane virus,akabane virus,Culicoides tainanus,culicoides tainanus,biting_midge,potential,,positive,no,no,efsa_akav,species_name,Akabane virus,Akabane,akabane,1,AKAV,Akabane virus,Akabane virus,Bunyaviridae,Orthobunyavirus,no,matched_to_appendix_a
Bluetongue virus,Culicoides fulvus,BM,Potential,Positive,,NO,NO,Bluetongue virus,bluetongue virus,Culicoides fulvus,culicoides fulvus,biting_midge,potential,positive,,no,no,efsa_btv,species_name,Bluetongue virus,Bluetongue,bluetongue,1,BTV,Bluetongue virus,Bluetongue virus,Reoviridae,Orbivirus,yes,matched_to_appendix_a
Bluetongue virus,Culicoides imicola,BM,Highly likely,Positive,Positive,YES,YES,Bluetongue virus,bluetongue virus,Culicoides imicola,culicoides imicola,biting_midge,highly_likely,positive,positive,yes,yes,efsa_btv,species_name,Bluetongue virus,Bluetongue,bluetongue,1,BTV,Bluetongue virus,Bluetongue virus,Reoviridae,Orbivirus,yes,matched_to_appendix_a
Bluetongue virus,Culicoides obsoletus complex,BM,Potential,Positive,,YES,YES,Bluetongue virus,bluetongue virus,Culicoides obsoletus complex,culicoides obsoletus complex,biting_midge,potential,positive,,yes,yes,efsa_btv,species_name,Bluetongue virus,Bluetongue,bluetongue,1,BTV,Bluetongue virus,Bluetongue virus,Reoviridae,Orbivirus,yes,matched_to_appendix_a
Bluetongue virus,Culicoides obsoletus s.l.,BM,Potential,,Positive,YES,YES,Bluetongue virus,bluetongue virus,Culicoides obsoletus s.l.,culicoides obsoletus s l,biting_midge,potential,,positive,yes,yes,efsa_btv,species_name,Bluetongue virus,Bluetongue,bluetongue,1,BTV,Bluetongue virus,Bluetongue virus,Reoviridae,Orbivirus,yes,matched_to_appendix_a
Bluetongue virus,Culicoides orientalis,BM,Potential,Positive,,NO,NO,Bluetongue virus,bluetongue virus,Culicoides orientalis,culicoides orientalis,biting_midge,potential,positive,,no,no,efsa_btv,species_name,Bluetongue virus,Bluetongue,bluetongue,1,BTV,Bluetongue virus,Bluetongue virus,Reoviridae,Orbivirus,yes,matched_to_appendix_a
Bluetongue virus,Culicoides oxystoma,BM,Potential,Positive,,YES,NO,Bluetongue virus,bluetongue virus,Culicoides oxystoma,culicoides oxystoma,biting_midge,potential,positive,,yes,no,efsa_btv,species_name,Bluetongue virus,Bluetongue,bluetongue,1,BTV,Bluetongue virus,Bluetongue virus,Reoviridae,Orbivirus,yes,matched_to_appendix_a
Bluetongue virus,Culicoides pulicaris,BM,Potential,Positive,,YES,YES,Bluetongue virus,bluetongue virus,Culicoides pulicaris,culicoides pulicaris,biting_midge,potential,positive,,yes,yes,efsa_btv,species_name,Bluetongue virus,Bluetongue,bluetongue,1,BTV,Bluetongue virus,Bluetongue virus,Reoviridae,Orbivirus,yes,matched_to_appendix_a
Bluetongue virus,Culicoides scoticus,BM,Potential,,Positive,YES,YES,Bluetongue virus,bluetongue virus,Culicoides scoticus,culicoides scoticus,biting_midge,potential,,positive,yes,yes,efsa_btv,species_name,Bluetongue virus,Bluetongue,bluetongue,1,BTV,Bluetongue virus,Bluetongue virus,Reoviridae,Orbivirus,yes,matched_to_appendix_a
Bluetongue virus,Culicoides sonorensis,BM,Potential,,Positiveb,NO,NO,Bluetongue virus,bluetongue virus,Culicoides sonorensis,culicoides sonorensis,biting_midge,potential,,positive,no,no,efsa_btv,species_name,Bluetongue virus,Bluetongue,bluetongue,1,BTV,Bluetongue virus,Bluetongue virus,Reoviridae,Orbivirus,yes,matched_to_appendix_a
Bluetongue virus,Culicoides tainanus,BM,Potential,Positive,,NO,NO,Bluetongue virus,bluetongue virus,Culicoides tainanus,culicoides tainanus,biting_midge,potential,positive,,no,no,efsa_btv,species_name,Bluetongue virus,Bluetongue,bluetongue,1,BTV,Bluetongue virus,Bluetongue virus,Reoviridae,Orbivirus,yes,matched_to_appendix_a
Bovine ephemeral fever virus,Culicoides sonorensis,BM,Potential,,Positive,NO,NO,Bovine ephemeral fever virus,bovine ephemeral fever virus,Culicoides sonorensis,culicoides sonorensis,biting_midge,potential,,positive,no,no,efsa_befv,species_name,Bovine ephemeral fever virus,Bovine ephemeral fever,bovine ephemeral fever,1,BEFV,Bovine ephemeral fever virus,Bovine ephemeral fever virus,Rhabdoviridae,Ephemerovirus,no,matched_to_appendix_a
Cache Valley virus,Anopheles quadrimaculatus,M,Potential,,Positive,NO,NO,Cache Valley virus,cache valley virus,Anopheles quadrimaculatus,anopheles quadrimaculatus,mosquito,potential,,positive,no,no,efsa_cvv,isolate_virus_name,Cache Valley virus,Cache Valley,cache valley,1,CVV,Bunyamwera virus,Cache Valley virus,Bunyaviridae,Orthobunyavirus,no,matched_to_appendix_a
Cache Valley virus,Culex tarsalis,M,Potential,,Positive,NO,NO,Cache Valley virus,cache valley virus,Culex tarsalis,culex tarsalis,mosquito,potential,,positive,no,no,efsa_cvv,isolate_virus_name,Cache Valley virus,Cache Valley,cache valley,1,CVV,Bunyamwera virus,Cache Valley virus,Bunyaviridae,Orthobunyavirus,no,matched_to_appendix_a
Cache Valley virus,Culex univittatus,M,Potential,Positive,,YES,YES,Cache Valley virus,cache valley virus,Culex univittatus,culex univittatus,mosquito,potential,positive,,yes,yes,efsa_cvv,isolate_virus_name,Cache Valley virus,Cache Valley,cache valley,1,CVV,Bunyamwera virus,Cache Valley virus,Bunyaviridae,Orthobunyavirus,no,matched_to_appendix_a
Cache Valley virus,Aedes aegypti,M,Potential,,Positive,YES,YES,Cache Valley virus,cache valley virus,Aedes aegypti,aedes aegypti,mosquito,potential,,positive,yes,yes,efsa_cvv,isolate_virus_name,Cache Valley virus,Cache Valley,cache valley,1,CVV,Bunyamwera virus,Cache Valley virus,Bunyaviridae,Orthobunyavirus,no,matched_to_appendix_a
Cache Valley virus,Aedes albopictus,M,Potential,,Positive,YES,YES,Cache Valley virus,cache valley virus,Aedes albopictus,aedes albopictus,mosquito,potential,,positive,yes,yes,efsa_cvv,isolate_virus_name,Cache Valley virus,Cache Valley,cache valley,1,CVV,Bunyamwera virus,Cache Valley virus,Bunyaviridae,Orthobunyavirus,no,matched_to_appendix_a
Cache Valley virus,Aedes japonicus,M,Potential,,Positive,YES,YES,Cache Valley virus,cache valley virus,Aedes japonicus,aedes japonicus,mosquito,potential,,positive,yes,yes,efsa_cvv,isolate_virus_name,Cache Valley virus,Cache Valley,cache valley,1,CVV,Bunyamwera virus,Cache Valley virus,Bunyaviridae,Orthobunyavirus,no,matched_to_appendix_a
