combined_pathogen,combined_disease_name,efsa_pathogen,efsa_pathogen_clean,efsa_abbreviation,vector_species,vector_group,vector_status,field_results,laboratory_results,vn_database_species,vn_priority_species,source,match_method,match_confidence,review_needed,vector_species_raw,vector_group_raw,vector_status_raw,field_results_raw,laboratory_results_raw
,,African horse sickness virus,african horse sickness virus,AHSV,Culicoides obsoletus s.l.,biting_midge,potential,,positive,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Culicoides obsoletus s.l.,BM,Potential,,Positive
,,African horse sickness virus,african horse sickness virus,AHSV,Culicoides scoticus,biting_midge,potential,,positive,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Culicoides scoticus,BM,Potential,,Positive
,,African swine fever virus,african swine fever virus,ASFV,Ornithodoros erraticus,tick,potential,,positive,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Ornithodoros erraticus,T,Potential,,Positive
,,African swine fever virus,african swine fever virus,ASFV,Ornithodoros moubata,tick,potential,,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Ornithodoros moubata,T,Potential,,Positiveb
,,African swine fever virus,african swine fever virus,ASFV,Ornithodoros moubata s.l.,tick,potential,positive,,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Ornithodoros moubata s.l.,T,Potential,Positive,
,,African swine fever virus,african swine fever virus,ASFV,Ornithodoros porcinus porcinus,tick,potential,positive,,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Ornithodoros porcinus porcinus*,T,Potential,Positivec,
,,Akabane virus,akabane virus,AKAV,Culicoides imicola,biting_midge,potential,positive,,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Culicoides imicola,BM,Potential,Positive,
,,Akabane virus,akabane virus,AKAV,Culicoides oxystoma,biting_midge,potential,,positive,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Culicoides oxystoma,BM,Potential,,Positive
,,Akabane virus,akabane virus,AKAV,Culicoides tainanus,biting_midge,potential,,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Culicoides tainanus,BM,Potential,,Positive
,,Bluetongue virus,bluetongue virus,BTV,Culicoides fulvus,biting_midge,potential,positive,,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Culicoides fulvus,BM,Potential,Positive,
,,Bluetongue virus,bluetongue virus,BTV,Culicoides imicola,biting_midge,highly_likely,positive,positive,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Culicoides imicola,BM,Highly likely,Positive,Positive
,,Bluetongue virus,bluetongue virus,BTV,Culicoides obsoletus complex,biting_midge,potential,positive,,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Culicoides obsoletus complex,BM,Potential,Positive,
,,Bluetongue virus,bluetongue virus,BTV,Culicoides obsoletus s.l.,biting_midge,potential,,positive,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Culicoides obsoletus s.l.,BM,Potential,,Positive
,,Bluetongue virus,bluetongue virus,BTV,Culicoides orientalis,biting_midge,potential,positive,,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Culicoides orientalis,BM,Potential,Positive,
,,Bluetongue virus,bluetongue virus,BTV,Culicoides oxystoma,biting_midge,potential,positive,,yes,no,EFSA Appendix G,unmatched,unmatched,TRUE,Culicoides oxystoma,BM,Potential,Positive,
,,Bluetongue virus,bluetongue virus,BTV,Culicoides pulicaris,biting_midge,potential,positive,,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Culicoides pulicaris,BM,Potential,Positive,
,,Bluetongue virus,bluetongue virus,BTV,Culicoides scoticus,biting_midge,potential,,positive,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Culicoides scoticus,BM,Potential,,Positive
,,Bluetongue virus,bluetongue virus,BTV,Culicoides sonorensis,biting_midge,potential,,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Culicoides sonorensis,BM,Potential,,Positiveb
,,Bluetongue virus,bluetongue virus,BTV,Culicoides tainanus,biting_midge,potential,positive,,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Culicoides tainanus,BM,Potential,Positive,
,,Bovine ephemeral fever virus,bovine ephemeral fever virus,BEFV,Culicoides sonorensis,biting_midge,potential,,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Culicoides sonorensis,BM,Potential,,Positive
,,Cache Valley virus,cache valley virus,CVV,Anopheles quadrimaculatus,mosquito,potential,,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Anopheles quadrimaculatus,M,Potential,,Positive
,,Cache Valley virus,cache valley virus,CVV,Culex tarsalis,mosquito,potential,,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Culex tarsalis,M,Potential,,Positive
,,Cache Valley virus,cache valley virus,CVV,Culex univittatus,mosquito,potential,positive,,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Culex univittatus,M,Potential,Positive,
,,Cache Valley virus,cache valley virus,CVV,Aedes aegypti,mosquito,potential,,positive,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Aedes aegypti,M,Potential,,Positive
,,Cache Valley virus,cache valley virus,CVV,Aedes albopictus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Aedes albopictus,M,Potential,,Positive
,,Cache Valley virus,cache valley virus,CVV,Aedes japonicus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Aedes japonicus,M,Potential,,Positive
,,Cache Valley virus,cache valley virus,CVV,Aedes triseriatus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Aedes triseriatus,M,Potential,,Positive
,,Cache Valley virus,cache valley virus,CVV,Anopheles gambiae,mosquito,potential,positive,,yes,no,EFSA Appendix G,unmatched,unmatched,TRUE,Anopheles gambiae,M,Potential,Positive,
Orthonairovirus haemorrhagiae,Crimean-Congo hemorrhagic fever,Crimean-Congo haemorrhagic fever virus,crimean congo hemorrhagic fever virus,CCHFV,Hyalomma aegyptium,tick,potential,positive,,yes,no,EFSA Appendix G,exact_disease,exact,FALSE,Hyalomma aegyptium,T,Potential,Positive,
Orthonairovirus haemorrhagiae,Crimean-Congo hemorrhagic fever,Crimean-Congo haemorrhagic fever virus,crimean congo hemorrhagic fever virus,CCHFV,Hyalomma anatolicum,tick,potential,positive,,yes,no,EFSA Appendix G,exact_disease,exact,FALSE,Hyalomma anatolicum,T,Potential,Positive,
Orthonairovirus haemorrhagiae,Crimean-Congo hemorrhagic fever,Crimean-Congo haemorrhagic fever virus,crimean congo hemorrhagic fever virus,CCHFV,Hyalomma asiaticum,tick,potential,positive,,no,no,EFSA Appendix G,exact_disease,exact,FALSE,Hyalomma asiaticum,T,Potential,Positive,
Orthonairovirus haemorrhagiae,Crimean-Congo hemorrhagic fever,Crimean-Congo haemorrhagic fever virus,crimean congo hemorrhagic fever virus,CCHFV,Hyalomma marginatum,tick,potential,positive,,yes,yes,EFSA Appendix G,exact_disease,exact,FALSE,Hyalomma marginatum,T,Potential,Positive,
,,Eastern equine encephalitis virus,eastern equine encephalitis virus,EEEV,Culiseta melanura,mosquito,potential,positive,,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Culiseta melanura,M,Potential,Positive,
,,Ehrlichia ruminantium,ehrlichia ruminantium,Cowdr,Amblyomma hebraeum,tick,highly_likely,positive,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Amblyomma hebraeum,T,Highly likely,Positive,Positive
,,Ehrlichia ruminantium,ehrlichia ruminantium,Cowdr,Amblyomma variegatum,tick,potential,positive,,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Amblyomma variegatum,T,Potential,Positive,
,,Epizootic hemorrhagic disease virus,epizootic hemorrhagic disease virus,EHDV/IBAV,Culicoldes insignis,biting_midge,potential,,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Culicoldes insignis,BM,Potential,,Positive
,,Epizootic hemorrhagic disease virus,epizootic hemorrhagic disease virus,EHDV/IBAV,Culicoldes obsoletus s.l.,biting_midge,potential,,positive,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Culicoldes obsoletus s.l.,BM,Potential,,Positive
,,Epizootic hemorrhagic disease virus,epizootic hemorrhagic disease virus,EHDV/IBAV,Culicoldes scoticus,biting_midge,potential,,positive,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Culicoldes scoticus,BM,Potential,,Positive
,,Epizootic hemorrhagic disease virus,epizootic hemorrhagic disease virus,EHDV/IBAV,Culicoldes sonorensis,biting_midge,potential,,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Culicoldes sonorensis,BM,Potential,,Positive
,,Getah virus,getah virus,GETV,Aedes vexans nipponii,mosquito,potential,,positive,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Aedes vexans nipponii,M,Potential,,Positive
,,Getah virus,getah virus,GETV,Anopheles sinensis,mosquito,potential,positive,,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Anopheles sinensis,M,Potential,Positive,
,,Getah virus,getah virus,GETV,Culex tritaeniorhynchus,mosquito,highly_likely,positive,positive,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Culex tritaeniorhynchus,M,Highly likely,Positive,Positive
,,Hepatozoon canis,hepatozoon canis,hepat,Rhipicephalus sanguineus,tick,potential,positive,,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Rhipicephalus sanguineus,T,Potential,Positive,
,,Highlands J virus,highlands j virus,HJV,Culex tarsalis,mosquito,potential,,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Culex tarsalis,M,Potential,,Positive
,,Japanese encephalitis virus,japanese encephalitis virus,JEV,Aedes aegypti,mosquito,potential,,positive,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Aedes aegypti,M,Potential,,Positive
,,Japanese encephalitis virus,japanese encephalitis virus,JEV,Aedes albopictus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Aedes albopictus,M,Potential,,Positive
,,Japanese encephalitis virus,japanese encephalitis virus,JEV,Aedes japonicus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Aedes japonicus,M,Potential,,Positive
,,Japanese encephalitis virus,japanese encephalitis virus,JEV,Aedes notoscriptus,mosquito,potential,,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Aedes notoscriptus,M,Potential,,Positive
,,Japanese encephalitis virus,japanese encephalitis virus,JEV,Aedes purpureus,mosquito,potential,,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Aedes purpureus,M,Potential,,Positive
,,Japanese encephalitis virus,japanese encephalitis virus,JEV,Aedes vigilax,mosquito,potential,positive,,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Aedes vigilax,M,Potential,Positive,
,,Japanese encephalitis virus,japanese encephalitis virus,JEV,Anopheles sinensis,mosquito,potential,positive,,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Anopheles sinensis,M,Potential,Positive,
,,Japanese encephalitis virus,japanese encephalitis virus,JEV,Culex annulirostris,mosquito,potential,,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Culex annulirostris,M,Potential,,Positive
,,Japanese encephalitis virus,japanese encephalitis virus,JEV,Culex annulus,mosquito,potential,positive,,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Culex annulus,M,Potential,Positive,
,,Japanese encephalitis virus,japanese encephalitis virus,JEV,Culex gelidus,mosquito,potential,,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Culex gelidus,M,Potential,,Positive
,,Japanese encephalitis virus,japanese encephalitis virus,JEV,Culex pipiens,mosquito,highly_likely,positive,positive,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Culex pipiens,M,Highly likely,Positive,Positive
,,Japanese encephalitis virus,japanese encephalitis virus,JEV,Culex pipiens biotype pipiens,mosquito,potential,,positive,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Culex pipiens biotype pipiens,M,Potential,,Positive
,,Japanese encephalitis virus,japanese encephalitis virus,JEV,Culex quinquefasciatus,mosquito,potential,,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Culex quinquefasciatus,M,Potential,,Positive
,,Japanese encephalitis virus,japanese encephalitis virus,JEV,Culex sitiens,mosquito,potential,,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Culex sitiens,M,Potential,,Positive
,,Japanese encephalitis virus,japanese encephalitis virus,JEV,Culex sitiens group,mosquito,potential,positive,,yes,no,EFSA Appendix G,unmatched,unmatched,TRUE,Culex sitiens group,M,Potential,Positive,
,,Japanese encephalitis virus,japanese encephalitis virus,JEV,Culex tritaeniorhynchus,mosquito,highly_likely,positive,positive,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Culex tritaeniorhynchus,M,Highly likely,Positive,Positive
,,Japanese encephalitis virus,japanese encephalitis virus,JEV,Culex vishnui,,potential,positive,,yes,no,EFSA Appendix G,unmatched,unmatched,TRUE,Culex vishnui,,Potential,Positive,
,,Japanese encephalitis virus,japanese encephalitis virus,JEV,Culiseta annulata,mosquito,potential,,positive,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Culiseta annulata,M,Potential,,Positive
,,Japanese encephalitis virus,japanese encephalitis virus,JEV,Mansonia septempunctata,mosquito,potential,,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Mansonia septempunctata,M,Potential,,Positive
,,Japanese encephalitis virus,japanese encephalitis virus,JEV,Mansonia uniformis,mosquito,potential,,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Mansonia uniformis,M,Potential,,Positive
,,Leishmania infantum,leishmania infantum,CanL,Phlebotomus papatasi,sand_fly,potential,positive,,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Phlebotomus papatasi,SF,Potential,Positive,
,,Leishmania infantum,leishmania infantum,CanL,Evandromyia cortelezii,sand_fly,potential,positive,,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Evandromyia cortelezii,SF,Potential,Positive,
,,Leishmania infantum,leishmania infantum,CanL,Evandromyia edwardsi,sand_fly,potential,positive,,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Evandromyia edwardsi,SF,Potential,Positive,
,,Leishmania infantum,leishmania infantum,CanL,Expapillata firmatoi,sand_fly,potential,positive,,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Expapillata firmatoi,SF,Potential,Positive,
,,Leishmania infantum,leishmania infantum,CanL,Lutzomyia cavernicola,sand_fly,potential,positive,,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Lutzomyia cavernicola,SF,Potential,Positive,
,,Leishmania infantum,leishmania infantum,CanL,Lutzomyia cortelezzii s.l.,sand_fly,potential,positive,,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Lutzomyia cortelezzii s.l.,SF,Potential,Positive,
,,Leishmania infantum,leishmania infantum,CanL,Lutzomyia cruzi,sand_fly,potential,,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Lutzomyia cruzi,SF,Potential,,Positive
,,Leishmania infantum,leishmania infantum,CanL,Lutzomyia lloydi,sand_fly,potential,positive,,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Lutzomyia lloydi,SF,Potential,Positive,
,,Leishmania infantum,leishmania infantum,CanL,Lutzomyia longipalpis,sand_fly,highly_likely,positive,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Lutzomyia longipalpis,SF,Highly likely,Positive,Positive'
,,Leishmania infantum,leishmania infantum,CanL,Lutzomyia migonei,sand_fly,potential,positive,,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Lutzomyia migonei,SF,Potential,Positive,
,,Leishmania infantum,leishmania infantum,CanL,Lutzomyia renei,sand_fly,potential,positive,,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Lutzomyia renei,SF,Potential,Positive,
,,Leishmania infantum,leishmania infantum,CanL,Micropygomyia quinquefer,sand_fly,potential,positive,,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Micropygomyia quinquefer,SF,Potential,Positive,
,,Leishmania infantum,leishmania infantum,CanL,Nyssomyla whitmani,sand_fly,potential,positive,,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Nyssomyla whitmani,SF,Potential,Positive,
,,Leishmania infantum,leishmania infantum,CanL,Phlebotomus longicuspis,sand_fly,potential,positive,,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Phlebotomus longicuspis,SF,Potential,Positive,
,,Leishmania infantum,leishmania infantum,CanL,Phlebotomus neglectus,sand_fly,potential,positive,,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Phlebotomus neglectus,SF,Potential,Positive,
,,Leishmania infantum,leishmania infantum,CanL,Phlebotomus perfiliewi,sand_fly,potential,positive,,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Phlebotomus perfiliewi,SF,Potential,Positive,
,,Leishmania infantum,leishmania infantum,CanL,Phlebotomus perniciosus,sand_fly,highly_likely,positive,positive,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Phlebotomus perniciosus,SF,Highly likely,Positive,Positive
,,Leishmania infantum,leishmania infantum,CanL,Phlebotomus tobbi,sand_fly,potential,positive,,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Phlebotomus tobbi,SF,Potential,Positive,
,,Leishmania infantum,leishmania infantum,CanL,Pintomyia fischeri,sand_fly,potential,,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Pintomyia fischeri,SF,Potential,,Positive
,,Leishmania infantum,leishmania infantum,CanL,Psathyromyia lutziana,sand_fly,potential,positive,,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Psathyromyia lutziana,SF,Potential,Positive,
,,Leishmania infantum,leishmania infantum,CanL,Sergentomyia minuta,sand_fly,potential,positive,,yes,no,EFSA Appendix G,unmatched,unmatched,TRUE,Sergentomyia minuta,SF,Potential,Positive,
,,Leishmania infantum,leishmania infantum,CanL,Phlebotomus mascittii,sand_fly,potential,positive,,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Phlebotomus mascittii,SF,Potential,Positive,
Phlebovirus riftense,Rift Valley fever,Rift Valley fever virus,rift valley fever virus,RVFV,Aedes aegypti,mosquito,highly_likely,positive,positive,yes,yes,EFSA Appendix G,exact_disease,exact,FALSE,Aedes aegypti,M,Highly likely,Positive,Positive
Phlebovirus riftense,Rift Valley fever,Rift Valley fever virus,rift valley fever virus,RVFV,Aedes albopictus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,exact_disease,exact,FALSE,Aedes albopictus,M,Potential,,Positive
