disease_name,disease_name_clean,pathogen,pathogen_tax_id,pathogen_type,pheic_risk,pathogen_family,pathogen_genus,screen_status,priority_tier,likely_vector_group,screening_source_key,screening_basis,disease_rows_in_network,host_count_in_network,candidate_vector_species,candidate_vector_genus,candidate_vector_family,candidate_vector_group,vector_status,evidence_type,evidence_strength,source_org,source_title,source_url,source_accessed,notes,next_action
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,3426298,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,10,10,,,,,,,,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,37124,virus,High,togaviridae,alphavirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,24,24,,,,,,,,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,High,nairoviridae,orthonairovirus,clear,1_high,tick,WHO_CCHF_fact_sheet,Recognised tick-borne disease in the first-pass screening.,58,58,,,,,,,,,,,,Start species-level lookup with Hyalomma and related ticks.,prioritise_vector_lookup
Dengue,Dengue,Orthoflavivirus denguei,12637,virus,High,flaviviridae,orthoflavivirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,38,38,,,,,,,,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup
Dengue,Dengue,Orthoflavivirus denguei,3052464,virus,High,flaviviridae,orthoflavivirus,clear,1_high,mosquito,WHO_vector_borne_diseases_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,24,24,,,,,,,,,,,,Start species-level lookup with Aedes vectors.,prioritise_vector_lookup
Oropouche fever,Oropouche fever,Orthobunyavirus oropoucheense,3052429,virus,Low,peribunyaviridae,orthobunyavirus,clear,1_high,biting_midge_primary_mosquito_secondary,PAHO_Oropouche_disease_page,Recognised vector-borne disease in the first-pass screening.,8,8,,,,,,,,,,,,Start species-level lookup with Culicoides and documented mosquito vectors.,prioritise_vector_lookup
Plague,Plague,Yersinia pestis,632,bacteria,High,yersiniaceae,yersinia,clear,1_high,flea,WHO_plague_fact_sheet,Recognised flea-borne disease in the first-pass screening.,52,52,,,,,,,,,,,,Start species-level lookup with Xenopsylla and related flea vectors.,prioritise_vector_lookup
Rift Valley fever,Rift Valley fever,Phlebovirus riftense,3052676,virus,High,phenuiviridae,phlebovirus,clear,1_high,mosquito,WHO_Rift_Valley_fever_fact_sheet,Recognised mosquito-borne disease in the first-pass screening.,41,41,,,,,,,,,,,,Start species-level lookup with mosquito vectors and note livestock context.,prioritise_vector_lookup
Severe fever with thrombocytopenia syndrome (SFTS),Severe fever with thrombocytopenia syndrome (SFTS),Bandavirus dabieense,1933190,virus,High,phenuiviridae,bandavirus,clear,1_high,tick,CDC_EID_SFTS_tickborne_article,Recognised tick-borne zoonosis in the first-pass screening.,5,5,,,,,,,,,,,,Start species-level lookup with Haemaphysalis and related ticks.,prioritise_vector_lookup
Severe fever with thrombocytopenia syndrome (SFTS),Severe fever with thrombocytopenia syndrome (SFTS),Bandavirus dabieense,2748958,virus,High,phenuiviridae,bandavirus,clear,1_high,tick,CDC_EID_SFTS_tickborne_article,Recognised tick-borne zoonosis in the first-pass screening.,36,34,,,,,,,,,,,,Start species-level lookup with Haemaphysalis and related ticks.,prioritise_vector_lookup
