vector_species_taxonomy_cleaned,vector_species_original_examples,vector_species_clean_examples,disease_examples,review_needed_any,review_notes,official_correct_name,official_taxon_level,official_synonyms,official_iucn_name,official_name_status,helper_iucn_name,helper_itis_name,helper_gbif_name,helper_note,gbif_usage_key,gbif_scientific_name,gbif_canonical_name,gbif_rank,gbif_status,gbif_match_type,gbif_note,itis_tsn,itis_scientific_name,itis_name_usage,itis_accepted_name,itis_note
aedes aedimorphus dentatus,Aedes (Aedimorphus) dentatus,aedes aedimorphus dentatus,Rift Valley fever,FALSE,,Aedes dentatus,species,Aedes dentatus,,suggested_change,,,Aedes dentatus,"# A tibble: 3 × 30; # currentCanonicalFull <chr>, taxonomicStatus <chr>,; # currentCardinality <dbl>, currentCanonicalSimple <chr>,; # currentRecordId <chr>, currentNameId <chr>, currentName <chr>,; # ℹ 25 more variables: entryDate <chr>, sortScore <dbl>,; # isSynonym <lgl>, editDistance <dbl>, stemEditDistance <dbl>, …; # matchedCanonicalSimple <chr>, matchedCanonicalFull <chr>,; # matchedNameID <chr>, matchedName <chr>, matchedCardinality <dbl>,; <chr> <chr> <chr> <chr> <chr>; 1 Aedes aedimorph… 1 Catalogue of Life Curated 89VB2; 2 Aedes aedimorph… 1 Catalogue of Life Curated 87MTJ; 3 Aedes aedimorph… 12 EOL AutoCur… bare-na…; IUCN Category: NA; IUCN Class: NA; IUCN Date: NA; IUCN Family: NA; IUCN ID: NA; IUCN Latest: NA; IUCN Name: NA; IUCN Number of Synonyms: NA; IUCN Order: NA; IUCN Phylum: NA; IUCN Present: No; IUCN Status: NA; IUCN Synonyms: NA; NULL; submittedName dataSourceId dataSourceTitleShort curation recordId",7924646,"Aedes Meigen, 1818",Aedes,GENUS,ACCEPTED,HIGHERRANK,,,,,,ITIS lookup skipped by VECTOR_AUDIT_SKIP_ITIS
aedes aedimorphus vexans arabiensis,Aedes (Aedimorphus) vexans arabiensis,aedes aedimorphus vexans arabiensis,Rift Valley fever,FALSE,,,species,Aedes arabiensis; Aedes cantans; Aedes caspius; Aedes cinereus; Aedes communis; Aedes flavescens; Aedes stimulans; Wyeomyia smithii,,no_official_name_returned,,,,"# A tibble: 2 × 30; # currentCanonicalFull <chr>, taxonomicStatus <chr>,; # currentCardinality <dbl>, currentCanonicalSimple <chr>,; # currentRecordId <chr>, currentNameId <chr>, currentName <chr>,; # ℹ 25 more variables: entryDate <chr>, sortScore <dbl>,; # isSynonym <lgl>, editDistance <dbl>, stemEditDistance <dbl>, …; # matchedCanonicalSimple <chr>, matchedCanonicalFull <chr>,; # matchedNameID <chr>, matchedName <chr>, matchedCardinality <dbl>,; <chr> <chr> <chr> <chr> <chr>; 1 Aedes aedimorph… 1 Catalogue of Life Curated 657VP; 2 Aedes aedimorph… 12 EOL AutoCur… bare-na…; IUCN Category: NA; IUCN Class: NA; IUCN Date: NA; IUCN Family: NA; IUCN ID: NA; IUCN Latest: NA; IUCN Name: NA; IUCN Number of Synonyms: NA; IUCN Order: NA; IUCN Phylum: NA; IUCN Present: No; IUCN Status: NA; IUCN Synonyms: NA; NULL; submittedName dataSourceId dataSourceTitleShort curation recordId",7924646,"Aedes Meigen, 1818",Aedes,GENUS,ACCEPTED,HIGHERRANK,,,,,,ITIS lookup skipped by VECTOR_AUDIT_SKIP_ITIS
aedes aegypti,Aedes aegypti,aedes aegypti,Chikungunya fever; Dengue; Oropouche fever; Rift Valley fever; Yellow fever; Zika virus disease,FALSE,,Aedes aegypti,species,Aedes aegypti; Culex aegypti,Aedes aegypti,exact_match,Aedes aegypti,,Aedes aegypti,"# A tibble: 6 × 30; # currentCanonicalFull <chr>, taxonomicStatus <chr>,; # currentCardinality <dbl>, currentCanonicalSimple <chr>,; # currentRecordId <chr>, currentNameId <chr>, currentName <chr>,; # ℹ 25 more variables: entryDate <chr>, sortScore <dbl>,; # isSynonym <lgl>, editDistance <dbl>, stemEditDistance <dbl>, …; # matchedCanonicalSimple <chr>, matchedCanonicalFull <chr>,; # matchedNameID <chr>, matchedName <chr>, matchedCardinality <dbl>,; <chr> <chr> <chr> <chr> <chr>; 1 Aedes aegypti 1 Catalogue of Life Curated 89W72; 1 aegypti Linnaeus in Hasselquist, 1762 NA; 1 Culex aegypti Linnaeus in Hasselquist, 1762 ACCEPTED Culex; 1 NA NA NA; 2 Aedes aegypti 12 EOL AutoCurated bare-na…; 3 Aedes aegypti 12 EOL AutoCurated bare-na…; 4 Aedes aegypti 12 EOL AutoCurated bare-na…; 5 Aedes aegypti 12 EOL AutoCurated bare-na…; 6 Aedes aegypti 12 EOL AutoCurated bare-na…; IUCN Category: NA; IUCN Class: INSECTA; IUCN Date: NA; IUCN Family: CULICIDAE; IUCN ID: 84625756; IUCN Latest: NA; IUCN Name: Aedes aegypti; IUCN Number of Synonyms: 1; IUCN Order: DIPTERA; IUCN Phylum: ARTHROPODA; IUCN Present: Yes; IUCN Status: ACCEPTED; IUCN Synonyms: Culex aegypti; name status genus_name; species_name species_author infrarank_author; submittedName dataSourceId dataSourceTitleShort curation recordId; subpopulation_name infra_type infra_name",1651891,"Aedes aegypti (Linnaeus, 1762)",Aedes aegypti,SPECIES,ACCEPTED,EXACT,,,,,,ITIS lookup skipped by VECTOR_AUDIT_SKIP_ITIS
aedes africanus,Aedes africanus,aedes africanus,Chikungunya fever; Rift Valley fever; Yellow fever; Zika virus disease,FALSE,,Aedes africanus,species,Aedes africanus,,exact_match,,,Aedes africanus,"# A tibble: 3 × 30; # currentCanonicalFull <chr>, taxonomicStatus <chr>,; # currentCardinality <dbl>, currentCanonicalSimple <chr>,; # currentRecordId <chr>, currentNameId <chr>, currentName <chr>,; # ℹ 25 more variables: entryDate <chr>, sortScore <dbl>,; # isSynonym <lgl>, editDistance <dbl>, stemEditDistance <dbl>, …; # matchedCanonicalSimple <chr>, matchedCanonicalFull <chr>,; # matchedNameID <chr>, matchedName <chr>, matchedCardinality <dbl>,; <chr> <chr> <chr> <chr> <chr>; 1 Aedes africanus 1 Catalogue of Life Curated 64WGK; 2 Aedes africanus 12 EOL AutoCura… bare-na…; 3 Aedes africanus 12 EOL AutoCura… bare-na…; IUCN Category: NA; IUCN Class: NA; IUCN Date: NA; IUCN Family: NA; IUCN ID: NA; IUCN Latest: NA; IUCN Name: NA; IUCN Number of Synonyms: NA; IUCN Order: NA; IUCN Phylum: NA; IUCN Present: No; IUCN Status: NA; IUCN Synonyms: NA; NULL; submittedName dataSourceId dataSourceTitleShort curation recordId",1651242,"Aedes africanus (Theobald, 1901)",Aedes africanus,SPECIES,ACCEPTED,EXACT,,,,,,ITIS lookup skipped by VECTOR_AUDIT_SKIP_ITIS
aedes albopictus,Aedes albopictus; Stegomyia albopicta,aedes albopictus; stegomyia albopicta,Chikungunya fever; Dengue; Oropouche fever; Rift Valley fever; West Nile fever; Yellow fever; Zika virus disease,FALSE,Old genus usage normalized to the Aedes spelling used elsewhere in the table.,Aedes albopictus,species,Aedes albopictus,Aedes albopictus,exact_match,Aedes albopictus,,Aedes albopictus,"# A tibble: 3 × 30; # currentCanonicalFull <chr>, taxonomicStatus <chr>,; # currentCardinality <dbl>, currentCanonicalSimple <chr>,; # currentRecordId <chr>, currentNameId <chr>, currentName <chr>,; # ℹ 25 more variables: entryDate <chr>, sortScore <dbl>,; # isSynonym <lgl>, editDistance <dbl>, stemEditDistance <dbl>, …; # matchedCanonicalSimple <chr>, matchedCanonicalFull <chr>,; # matchedNameID <chr>, matchedName <chr>, matchedCardinality <dbl>,; <chr> <chr> <chr> <chr> <chr>; 1 Aedes albopictus 1 Catalogue of Life Curated 89W76; 2 Aedes albopictus 12 EOL AutoCur… bare-na…; 3 Aedes albopictus 12 EOL AutoCur… bare-na…; IUCN Category: NA; IUCN Class: INSECTA; IUCN Date: NA; IUCN Family: CULICIDAE; IUCN ID: 84626137; IUCN Latest: NA; IUCN Name: Aedes albopictus; IUCN Number of Synonyms: NA; IUCN Order: DIPTERA; IUCN Phylum: ARTHROPODA; IUCN Present: Yes; IUCN Status: NA; IUCN Synonyms: NA; NULL; submittedName dataSourceId dataSourceTitleShort curation recordId",1651430,"Aedes albopictus (Skuse, 1894)",Aedes albopictus,SPECIES,ACCEPTED,EXACT,,,,,,ITIS lookup skipped by VECTOR_AUDIT_SKIP_ITIS
aedes alternans,Aedes alternans,aedes alternans,West Nile fever,FALSE,,Aedes alternans,species,Aedes alternans,,exact_match,,,Aedes alternans,"# A tibble: 2 × 30; # currentCanonicalFull <chr>, taxonomicStatus <chr>,; # currentCardinality <dbl>, currentCanonicalSimple <chr>,; # currentRecordId <chr>, currentNameId <chr>, currentName <chr>,; # ℹ 25 more variables: entryDate <chr>, sortScore <dbl>,; # isSynonym <lgl>, editDistance <dbl>, stemEditDistance <dbl>, …; # matchedCanonicalSimple <chr>, matchedCanonicalFull <chr>,; # matchedNameID <chr>, matchedName <chr>, matchedCardinality <dbl>,; <chr> <chr> <chr> <chr> <chr>; 1 Aedes alternans 1 Catalogue of Life Curated 89VQW; 2 Aedes alternans 12 EOL AutoCura… bare-na…; IUCN Category: NA; IUCN Class: NA; IUCN Date: NA; IUCN Family: NA; IUCN ID: NA; IUCN Latest: NA; IUCN Name: NA; IUCN Number of Synonyms: NA; IUCN Order: NA; IUCN Phylum: NA; IUCN Present: No; IUCN Status: NA; IUCN Synonyms: NA; NULL; submittedName dataSourceId dataSourceTitleShort curation recordId",1651028,"Aedes alternans (Westwood, 1836)",Aedes alternans,SPECIES,ACCEPTED,EXACT,,,,,,ITIS lookup skipped by VECTOR_AUDIT_SKIP_ITIS
aedes angustivittatus,Aedes (Ochlerotatus) angustivittatus,aedes ochlerotatus angustivittatus,Venezuelan equine encephalitis,FALSE,,Aedes angustivittatus,species,Aedes angustivittatus,,exact_match,,,Aedes angustivittatus,"# A tibble: 3 × 30; # currentCanonicalFull <chr>, taxonomicStatus <chr>,; # currentCardinality <dbl>, currentCanonicalSimple <chr>,; # currentRecordId <chr>, currentNameId <chr>, currentName <chr>,; # ℹ 25 more variables: entryDate <chr>, sortScore <dbl>,; # isSynonym <lgl>, editDistance <dbl>, stemEditDistance <dbl>, …; # matchedCanonicalSimple <chr>, matchedCanonicalFull <chr>,; # matchedNameID <chr>, matchedName <chr>, matchedCardinality <dbl>,; <chr> <chr> <chr> <chr> <chr>; 1 Aedes angustivi… 1 Catalogue of Life Curated 6587N; 2 Aedes angustivi… 1 Catalogue of Life Curated 87MNT; 3 Aedes angustivi… 12 EOL AutoCur… bare-na…; IUCN Category: NA; IUCN Class: NA; IUCN Date: NA; IUCN Family: NA; IUCN ID: NA; IUCN Latest: NA; IUCN Name: NA; IUCN Number of Synonyms: NA; IUCN Order: NA; IUCN Phylum: NA; IUCN Present: No; IUCN Status: NA; IUCN Synonyms: NA; NULL; submittedName dataSourceId dataSourceTitleShort curation recordId",1651587,"Aedes angustivittatus Dyar & Knab, 1907",Aedes angustivittatus,SPECIES,ACCEPTED,EXACT,,,,,,ITIS lookup skipped by VECTOR_AUDIT_SKIP_ITIS
aedes apicoargenteus,Aedes apicoargenteus,aedes apicoargenteus,Zika virus disease,FALSE,,Aedes apicoargenteus,species,Aedes apicoargenteus,,exact_match,,,Aedes apicoargenteus,"# A tibble: 2 × 30; # currentCanonicalFull <chr>, taxonomicStatus <chr>,; # currentCardinality <dbl>, currentCanonicalSimple <chr>,; # currentRecordId <chr>, currentNameId <chr>, currentName <chr>,; # ℹ 25 more variables: entryDate <chr>, sortScore <dbl>,; # isSynonym <lgl>, editDistance <dbl>, stemEditDistance <dbl>, …; # matchedCanonicalSimple <chr>, matchedCanonicalFull <chr>,; # matchedNameID <chr>, matchedName <chr>, matchedCardinality <dbl>,; <chr> <chr> <chr> <chr> <chr>; 1 Aedes apicoarge… 1 Catalogue of Life Curated 64VVP; 2 Aedes apicoarge… 12 EOL AutoCur… bare-na…; IUCN Category: NA; IUCN Class: NA; IUCN Date: NA; IUCN Family: NA; IUCN ID: NA; IUCN Latest: NA; IUCN Name: NA; IUCN Number of Synonyms: NA; IUCN Order: NA; IUCN Phylum: NA; IUCN Present: No; IUCN Status: NA; IUCN Synonyms: NA; NULL; submittedName dataSourceId dataSourceTitleShort curation recordId",1651743,"Aedes apicoargenteus (Theobald, 1909)",Aedes apicoargenteus,SPECIES,ACCEPTED,EXACT,,,,,,ITIS lookup skipped by VECTOR_AUDIT_SKIP_ITIS
aedes atlanticus,Aedes atlanticus,aedes atlanticus,Rift Valley fever,FALSE,,Aedes atlanticus,species,Aedes atlanticus; Cedrus atlantica,,exact_match,,,Aedes atlanticus,"# A tibble: 3 × 30; # currentCanonicalFull <chr>, taxonomicStatus <chr>,; # currentCardinality <dbl>, currentCanonicalSimple <chr>,; # currentRecordId <chr>, currentNameId <chr>, currentName <chr>,; # ℹ 25 more variables: entryDate <chr>, sortScore <dbl>,; # isSynonym <lgl>, editDistance <dbl>, stemEditDistance <dbl>, …; # matchedCanonicalSimple <chr>, matchedCanonicalFull <chr>,; # matchedNameID <chr>, matchedName <chr>, matchedCardinality <dbl>,; <chr> <chr> <chr> <chr> <chr>; 1 Aedes atlanticus 1 Catalogue of Life Curated 64W86; 2 Aedes atlanticus 1 Catalogue of Life Curated 87M2Y; 3 Aedes atlanticus 12 EOL AutoCur… bare-na…; IUCN Category: NA; IUCN Class: NA; IUCN Date: NA; IUCN Family: NA; IUCN ID: NA; IUCN Latest: NA; IUCN Name: NA; IUCN Number of Synonyms: NA; IUCN Order: NA; IUCN Phylum: NA; IUCN Present: No; IUCN Status: NA; IUCN Synonyms: NA; NULL; submittedName dataSourceId dataSourceTitleShort curation recordId",1651446,"Aedes atlanticus Dyar & Knab, 1906",Aedes atlanticus,SPECIES,ACCEPTED,EXACT,,,,,,ITIS lookup skipped by VECTOR_AUDIT_SKIP_ITIS
aedes australis,Aedes australis,aedes australis,West Nile fever,FALSE,,Aedes australis,species,Acetes sibogae; Aedes australis,,exact_match,,,Aedes australis,"# A tibble: 2 × 30; # currentCanonicalFull <chr>, taxonomicStatus <chr>,; # currentCardinality <dbl>, currentCanonicalSimple <chr>,; # currentRecordId <chr>, currentNameId <chr>, currentName <chr>,; # ℹ 25 more variables: entryDate <chr>, sortScore <dbl>,; # isSynonym <lgl>, editDistance <dbl>, stemEditDistance <dbl>, …; # matchedCanonicalSimple <chr>, matchedCanonicalFull <chr>,; # matchedNameID <chr>, matchedName <chr>, matchedCardinality <dbl>,; <chr> <chr> <chr> <chr> <chr>; 1 Aedes australis 1 Catalogue of Life Curated 6587W; 2 Aedes australis 12 EOL AutoCura… bare-na…; IUCN Category: NA; IUCN Class: NA; IUCN Date: NA; IUCN Family: NA; IUCN ID: NA; IUCN Latest: NA; IUCN Name: NA; IUCN Number of Synonyms: NA; IUCN Order: NA; IUCN Phylum: NA; IUCN Present: No; IUCN Status: NA; IUCN Synonyms: NA; NULL; submittedName dataSourceId dataSourceTitleShort curation recordId",1651684,"Aedes australis (Erichson, 1842)",Aedes australis,SPECIES,ACCEPTED,EXACT,,,,,,ITIS lookup skipped by VECTOR_AUDIT_SKIP_ITIS
