raw_host_label,source_field,scientific_name_clean,host_binomial,host_infraspecific_epithet,host_authorship_year_suffix,host_canonicalization_flag,review_bucket,package_check_target,suggested_who_host,fuzzy_score,reason_flag,row_count
,host_scientific_name,,,,,missing,drop_from_species_level,FALSE,,,missing_host_label,158053
,verbatim_host_name,,,,,,drop_from_species_level,FALSE,,,missing_host_label,155154
Deer,verbatim_host_name,,,,,,drop_from_species_level,FALSE,,,drop_from_species_level,492
Taurotragus oryx_Pallas 1766,host_scientific_name,Taurotragus oryx Pallas 1766,Taurotragus oryx,,Pallas 1766,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.5,needs_binomialization,428
Felis silvestris lybica_Forster 1780,host_scientific_name,Felis silvestris lybica Forster 1780,Felis silvestris,lybica,Forster 1780,trinomial_and_suffix,manual_crosswalk_candidate,TRUE,,0.5,needs_binomialization,410
eland,verbatim_host_name,,,,,,drop_from_species_level,FALSE,,,drop_from_species_level,398
Hyaena brunnea_Thunberg 1820,host_scientific_name,Hyaena brunnea Thunberg 1820,Hyaena brunnea,,Thunberg 1820,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.4736842105263158,needs_binomialization,382
hedgehog,verbatim_host_name,,,,,,drop_from_species_level,FALSE,,,drop_from_species_level,382
African wild cat,verbatim_host_name,,,,,,drop_from_species_level,FALSE,,,drop_from_species_level,377
brown hyaena,verbatim_host_name,,,,,,drop_from_species_level,FALSE,,,drop_from_species_level,377
Odocoileus spp.,host_scientific_name,Odocoileus spp.,,,,non_actionable,drop_from_species_level,FALSE,,0.5789473684210527,drop_from_species_level,352
Ovis canadensis,host_scientific_name,Ovis canadensis,Ovis canadensis,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5333333333333333,needs_manual_synonym_map,346
Spermophilus richardsonii_Sabine 1822,host_scientific_name,Spermophilus richardsonii Sabine 1822,Spermophilus richardsonii,,Sabine 1822,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.6,needs_binomialization,334
Sturnella magna,host_scientific_name,Sturnella magna,Sturnella magna,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.47058823529411764,needs_manual_synonym_map,332
Rabbit,verbatim_host_name,,,,,,drop_from_species_level,FALSE,,,drop_from_species_level,329
Meadowlarks,verbatim_host_name,,,,,,drop_from_species_level,FALSE,,,drop_from_species_level,312
