raw_host_label,source_field,scientific_name_clean,host_binomial,host_infraspecific_epithet,host_authorship_year_suffix,host_canonicalization_flag,review_bucket,package_check_target,suggested_who_host,fuzzy_score,reason_flag,row_count
Taurotragus oryx_Pallas 1766,host_scientific_name,Taurotragus oryx Pallas 1766,Taurotragus oryx,,Pallas 1766,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.5,needs_binomialization,428
Felis silvestris lybica_Forster 1780,host_scientific_name,Felis silvestris lybica Forster 1780,Felis silvestris,lybica,Forster 1780,trinomial_and_suffix,manual_crosswalk_candidate,TRUE,,0.5,needs_binomialization,410
Hyaena brunnea_Thunberg 1820,host_scientific_name,Hyaena brunnea Thunberg 1820,Hyaena brunnea,,Thunberg 1820,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.4736842105263158,needs_binomialization,382
Ovis canadensis,host_scientific_name,Ovis canadensis,Ovis canadensis,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5333333333333333,needs_manual_synonym_map,346
Spermophilus richardsonii_Sabine 1822,host_scientific_name,Spermophilus richardsonii Sabine 1822,Spermophilus richardsonii,,Sabine 1822,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.6,needs_binomialization,334
Sturnella magna,host_scientific_name,Sturnella magna,Sturnella magna,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.47058823529411764,needs_manual_synonym_map,332
Thryothorus ludovicianus,host_scientific_name,Thryothorus ludovicianus,Thryothorus ludovicianus,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.6666666666666667,needs_manual_synonym_map,300
Genetta genetta_Linnaeus 1758,host_scientific_name,Genetta genetta Linnaeus 1758,Genetta genetta,,Linnaeus 1758,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.625,needs_binomialization,192
Neotoma floridana,host_scientific_name,Neotoma floridana,Neotoma floridana,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.7058823529411764,needs_manual_synonym_map,167
Atelerix algirus_Lereboullet 1842,host_scientific_name,Atelerix algirus Lereboullet 1842,Atelerix algirus,,Lereboullet 1842,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.7,needs_binomialization,166
Zonotrichia albicollis,host_scientific_name,Zonotrichia albicollis,Zonotrichia albicollis,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.4545454545454546,needs_manual_synonym_map,163
