Host,HostTaxID,correct_name,type,taxon_level,Genus,Family,Order,Class,Phylum,host_species,Spp_syn,IUCN_spp,Or_name,IUCN_Present,IUCN_id,IUCN_name,IUCN_latest,IUCN_date,IUCN_Category,IUCN_N_syn,IUCN_syn,IUCN_status,IUCN_Phylum,IUCN_Class,IUCN_Order,IUCN_Family,ITIS_Present,ITIS_is_valid,ITIS_id,ITIS_name,ITIS_Phylum,ITIS_N_syn,ITIS_syn,ITIS_Class,ITIS_Order,ITIS_Family,ITIS_species_in_genus,GBIF_Present,GBIF_id,GBIF_name,GBIF_N_syn,GBIF_syn,GBIF_Phylum,GBIF_Status,GBIF_Class,GBIF_Order,GBIF_Family
Accipiter cooperii,261198,Accipiter cooperii,host,species,Accipiter,ACCIPITRIDAE,ACCIPITRIFORMES,AVES,CHORDATA,Accipiter cooperii,Accipiter cooperii; Astur cooperii; Falco cooperii,Accipiter cooperii,Accipiter cooperii,Yes,22695656,Accipiter cooperii,TRUE,2024,LC,,,,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Yes,valid,175309,Astur cooperii,CHORDATA,2,Accipiter cooperii;Falco cooperii,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,,Yes,2480621,Accipiter cooperii,,,CHORDATA,ACCEPTED,AVES,ACCIPITRIFORMES,ACCIPITRIDAE
Accipiter nisus,211598,Accipiter nisus,host,species,Accipiter,ACCIPITRIDAE,ACCIPITRIFORMES,AVES,CHORDATA,Accipiter nisus,Accipiter nisus; Falco nisus; Accipiter granti; Accipiter melaschistos; Falco nisosimilis; Accipiter wolterstorffi,Accipiter nisus,Accipiter nisus,Yes,22695624,Accipiter nisus,TRUE,2022; 2021,LC,,,,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Yes,valid,175333,Accipiter nisus,CHORDATA,5,Falco nisus;Accipiter granti;Accipiter melaschistos;Falco nisosimilis;Accipiter wolterstorffi,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,,Yes,2480637,Accipiter nisus,,,CHORDATA,ACCEPTED,AVES,ACCIPITRIFORMES,ACCIPITRIDAE
Accipiter striatus,56330,Accipiter striatus,host,species,Accipiter,ACCIPITRIDAE,ACCIPITRIFORMES,AVES,CHORDATA,Accipiter striatus,Accipiter striatus; Falco velox; Accipiter fringilloides,Accipiter striatus,Accipiter striatus,Yes,22734130,Accipiter striatus,TRUE,2024,LC,,,,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Yes,valid,175304,Accipiter striatus,CHORDATA,2,Falco velox;Accipiter fringilloides,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,,Yes,9740253,Accipiter striatus,,,CHORDATA,ACCEPTED,AVES,ACCIPITRIFORMES,ACCIPITRIDAE
Accipiter trivirgatus,210844,Accipiter trivirgatus,host,species,Accipiter,ACCIPITRIDAE,ACCIPITRIFORMES,AVES,CHORDATA,Accipiter trivirgatus,Accipiter trivirgatus; Lophospiza trivirgata; Falco trivirgatus,Accipiter trivirgatus,Accipiter trivirgatus,Yes,22695462,Accipiter trivirgatus,TRUE,2016,LC,,,,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Yes,valid,175347,Lophospiza trivirgata,CHORDATA,2,Accipiter trivirgatus;Falco trivirgatus,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,,Yes,2480603,Accipiter trivirgatus,1,Accipiter trivirgatus,CHORDATA,ACCEPTED-SYNONYM,AVES,ACCIPITRIFORMES,ACCIPITRIDAE
Acerodon celebensis,58057,Acerodon celebensis,host,species,Acerodon,PTEROPODIDAE,CHIROPTERA,MAMMALIA,CHORDATA,Acerodon celebensis,Acerodon celebensis; Pteropus celebensis,Acerodon celebensis,Acerodon celebensis,Yes,137,Acerodon celebensis,TRUE,2022,VU,,,,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Yes,valid,631539,Acerodon celebensis,CHORDATA,1,Pteropus celebensis,MAMMALIA,CHIROPTERA,PTEROPODIDAE,,Yes,5218704,Acerodon celebensis,,,CHORDATA,ACCEPTED,MAMMALIA,CHIROPTERA,PTEROPODIDAE
Acinonyx jubatus,32536,Acinonyx jubatus,host,species,Acinonyx,FELIDAE,CARNIVORA,MAMMALIA,CHORDATA,Acinonyx jubatus,,Acinonyx jubatus,Acinonyx jubatus,Yes,219,Acinonyx jubatus,TRUE,2024; 2010,VU; EN,1,Felis jubata,ACCEPTED,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Yes,valid,183813,Acinonyx jubatus,CHORDATA,4,Felis jubata;Acinonyx rex;Cynailurus soemmeringii;Felis venatica,MAMMALIA,CARNIVORA,FELIDAE,,Yes,2435270,Acinonyx jubatus,,,CHORDATA,ACCEPTED,MAMMALIA,CARNIVORA,FELIDAE
Acrocephalus dumetorum,68474,Acrocephalus dumetorum,host,species,Acrocephalus,ACROCEPHALIDAE,PASSERIFORMES,AVES,CHORDATA,Acrocephalus dumetorum,Acrocephalus dumetorum,Acrocephalus dumetorum,Acrocephalus dumetorum,Yes,22714736,Acrocephalus dumetorum,TRUE,2021; 2017,LC,,,,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Yes,valid,558416,Acrocephalus dumetorum,CHORDATA,,,AVES,PASSERIFORMES,ACROCEPHALIDAE,,Yes,2493145,Acrocephalus dumetorum,,,CHORDATA,ACCEPTED,AVES,PASSERIFORMES,ACROCEPHALIDAE
Actitis macularius,190659,Actitis macularius,host,species,Actitis,SCOLOPACIDAE,CHARADRIIFORMES,AVES,CHORDATA,Actitis macularius,,Actitis macularius,Actitis macularius,Yes,22693277,Actitis macularius,TRUE,2024,LC,0,,ACCEPTED;ACCEPTED;ACCEPTED,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Yes,valid,726049,Actitis macularius,CHORDATA,2,Actitis macularia;Tringa macularia,AVES,CHARADRIIFORMES,SCOLOPACIDAE,,Yes,2481798,Actitis macularius,1,Actitis macularius,CHORDATA,ACCEPTED-SYNONYM,AVES,CHARADRIIFORMES,SCOLOPACIDAE
Aechmophorus occidentalis,57236,Aechmophorus occidentalis,host,species,Aechmophorus,PODICIPEDIDAE,PODICIPEDIFORMES,AVES,CHORDATA,Aechmophorus occidentalis,Aechmophorus occidentalis; Podiceps occidentalis,Aechmophorus occidentalis,Aechmophorus occidentalis,Yes,22696631,Aechmophorus occidentalis,TRUE,2019,LC,,,,CHORDATA,AVES,PODICIPEDIFORMES,PODICIPEDIDAE,Yes,valid,174503,Aechmophorus occidentalis,CHORDATA,1,Podiceps occidentalis,AVES,PODICIPEDIFORMES,PODICIPEDIDAE,,Yes,2482033,Aechmophorus occidentalis,,,CHORDATA,ACCEPTED,AVES,PODICIPEDIFORMES,PODICIPEDIDAE
Aegithalos caudatus,73327,Aegithalos caudatus,host,species,Aegithalos,AEGITHALIDAE,PASSERIFORMES,AVES,CHORDATA,Aegithalos caudatus,Aegithalos caudatus,Aegithalos caudatus,Aegithalos caudatus,Yes,103871923,Aegithalos caudatus,TRUE,2024; 2021,LC,,,,CHORDATA,AVES,PASSERIFORMES,AEGITHALIDAE,Yes,valid,558441,Aegithalos caudatus,CHORDATA,,,AVES,PASSERIFORMES,AEGITHALIDAE,,No,,,,,,,,,
Aegypius monachus,8959,Aegypius monachus,host,species,Aegypius,ACCIPITRIDAE,ACCIPITRIFORMES,AVES,CHORDATA,Aegypius monachus,Aegypius monachus; Vultur monachus,Aegypius monachus,Aegypius monachus,Yes,22695231,Aegypius monachus,TRUE,2022; 2021,LC; NT,,,,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Yes,valid,175494,Aegypius monachus,CHORDATA,1,Vultur monachus,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,,Yes,5229165,Aegypius monachus,,,CHORDATA,ACCEPTED,AVES,ACCIPITRIFORMES,ACCIPITRIDAE
Agelaius phoeniceus,39638,Agelaius phoeniceus,host,species,Agelaius,ICTERIDAE,PASSERIFORMES,AVES,CHORDATA,Agelaius phoeniceus,Agelaius phoeniceus; Oriolus phoeniceus; Psarocolius gubernator,Agelaius phoeniceus,Agelaius phoeniceus,Yes,22724191,Agelaius phoeniceus,TRUE,2018,LC,,,,CHORDATA,AVES,PASSERIFORMES,ICTERIDAE,Yes,valid,179045,Agelaius phoeniceus,CHORDATA,2,Oriolus phoeniceus;Psarocolius gubernator,AVES,PASSERIFORMES,ICTERIDAE,,Yes,9409198,Agelaius phoeniceus,,,CHORDATA,ACCEPTED,AVES,PASSERIFORMES,ICTERIDAE
Agropsar sturninus,2675479,Agropsar sturninus,host,species,Agropsar,STURNIDAE,PASSERIFORMES,AVES,CHORDATA,Agropsar sturninus,,Agropsar sturninus,Agropsar sturninus,Yes,22710870,Agropsar sturninus,TRUE,2024,LC,1,Sturnus sturninus,NEW,CHORDATA,AVES,PASSERIFORMES,STURNIDAE,Yes,valid,915880,Agropsar sturninus,CHORDATA,1,Sturnus sturninus,AVES,PASSERIFORMES,STURNIDAE,,Yes,6100940,Agropsar sturninus,,,CHORDATA,ACCEPTED,AVES,PASSERIFORMES,STURNIDAE
Ailuropoda melanoleuca,9646,Ailuropoda melanoleuca,host,species,Ailuropoda,URSIDAE,CARNIVORA,MAMMALIA,CHORDATA,Ailuropoda melanoleuca,,Ailuropoda melanoleuca,Ailuropoda melanoleuca,Yes,712,Ailuropoda melanoleuca,TRUE,2016,VU,1,Ursus melanoleucus,ACCEPTED,CHORDATA,MAMMALIA,CARNIVORA,URSIDAE,Yes,valid,621845,Ailuropoda melanoleuca,CHORDATA,1,Ursus melanoleucus,MAMMALIA,CARNIVORA,URSIDAE,,Yes,2433399,Ailuropoda melanoleuca,,,CHORDATA,ACCEPTED,MAMMALIA,CARNIVORA,URSIDAE
Ailurus fulgens,9649,Ailurus fulgens,host,species,Ailurus,AILURIDAE,CARNIVORA,MAMMALIA,CHORDATA,Ailurus fulgens,,Ailurus fulgens,Ailurus fulgens,Yes,714,Ailurus fulgens,TRUE,2015,EN,1,Ailurus styani,ACCEPTED,CHORDATA,MAMMALIA,CARNIVORA,AILURIDAE,Yes,valid,621846,Ailurus fulgens,CHORDATA,1,Ailurus ochraceus,MAMMALIA,CARNIVORA,AILURIDAE,,Yes,5219446,Ailurus fulgens,,,CHORDATA,ACCEPTED,MAMMALIA,CARNIVORA,AILURIDAE
Aix galericulata,8832,Aix galericulata,host,species,Aix,ANATIDAE,ANSERIFORMES,AVES,CHORDATA,Aix galericulata,Aix galericulata; Anas galericulata,Aix galericulata,Aix galericulata,Yes,22680107,Aix galericulata,TRUE,2018,LC,,,,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Yes,valid,175123,Aix galericulata,CHORDATA,1,Anas galericulata,AVES,ANSERIFORMES,ANATIDAE,,Yes,2498388,Aix galericulata,,,CHORDATA,ACCEPTED,AVES,ANSERIFORMES,ANATIDAE
Aix sponsa,8833,Aix sponsa,host,species,Aix,ANATIDAE,ANSERIFORMES,AVES,CHORDATA,Aix sponsa,Aix sponsa; Anas sponsa,Aix sponsa,Aix sponsa,Yes,22680104,Aix sponsa,TRUE,2021,LC,,,,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Yes,valid,175122,Aix sponsa,CHORDATA,1,Anas sponsa,AVES,ANSERIFORMES,ANATIDAE,,Yes,2498387,Aix sponsa,,,CHORDATA,ACCEPTED,AVES,ANSERIFORMES,ANATIDAE
Akodon azarae,29095,Akodon azarae,host,species,Akodon,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,Akodon azarae,Akodon azarae,Akodon azarae,Akodon azarae,Yes,726,Akodon azarae,TRUE,2016,LC,,,,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Yes,valid,633031,Akodon azarae,CHORDATA,,,MAMMALIA,RODENTIA,CRICETIDAE,,Yes,2437878,Akodon azarae,,,CHORDATA,ACCEPTED,MAMMALIA,RODENTIA,CRICETIDAE
Alca torda,28689,Alca torda,host,species,Alca,ALCIDAE,CHARADRIIFORMES,AVES,CHORDATA,Alca torda,Alca torda; Alca islandica,Alca torda,Alca torda,Yes,22694852,Alca torda,TRUE,2021,LC,,,,CHORDATA,AVES,CHARADRIIFORMES,ALCIDAE,Yes,valid,176971,Alca torda,CHORDATA,1,Alca islandica,AVES,CHARADRIIFORMES,ALCIDAE,,Yes,8277073,Alca torda,,,CHORDATA,ACCEPTED,AVES,CHARADRIIFORMES,ALCIDAE
