Family,PHEIC risk,Pathogens,previous_name,msl39_viral_name,Disease_name,in_gibb_etal,in_empres_i,ID,VirusTaxID,Virion_VirusName,Virion_VirusFamily,Virion_Database,matched_name_type,matched_virus_name,matched_disease_name,match_source,fuzzy_scores,num_virion_matches
Arenaviridae,High,Mammarenavirus juninense,Junin virus,Mammarenavirus juninense,Argentine hemorrhagic fever,TRUE,FALSE,1,2169991,mammarenavirus juninense,arenaviridae,HP3; Shaw; EID2; GenBank,Pathogens; msl39_viral_name,Mammarenavirus juninense,Argentine hemorrhagic fever,exact,NA,2
Arenaviridae,High,Mammarenavirus lassaense,Lassa Fever virus,Mammarenavirus lassaense,Lassa fever,TRUE,FALSE,2,3052310,mammarenavirus lassaense,arenaviridae,HP3; Shaw; EID2; GenBank,Pathogens; msl39_viral_name,Mammarenavirus lassaense,Lassa fever,exact,NA,2
Arenaviridae,High,Mammarenavirus lujoense,Lujo virus,Mammarenavirus lujoense,Lujo hemorrhagic fever,FALSE,FALSE,3,3052314,mammarenavirus lujoense,arenaviridae,Shaw; GenBank,Pathogens; msl39_viral_name,Mammarenavirus lujoense,Lujo hemorrhagic fever,exact,NA,2
Bornaviridae,Low,Orthobornavirus bornaense,Mammalian Bornavirus 1 (BoDV-1),Orthobornavirus bornaense,Borna disease (encephalitis),FALSE,FALSE,4,1714619,orthobornavirus bornaense,bornaviridae,GenBank,Pathogens; msl39_viral_name,Orthobornavirus bornaense,Borna disease (encephalitis),exact,NA,2
Coronaviridae,High,MERS-like bat merbecoviruses,Middle East Respiratory Syndrome Coronavirus,subgenus Merbecovirus,Middle East Respiratory Syndrome (MERS),FALSE,FALSE,5,1335626; 3433633,middle east respiratory syndrome-related coronavirus; betacoronavirus cameli,coronaviridae,PREDICT; GenBank,msl39_viral_name,subgenus Merbecovirus,Middle East Respiratory Syndrome (MERS),manual,NA,2
Coronaviridae,High,Middle East respiratory syndrome-related coronavirus (MERS-CoV),Middle East Respiratory Syndrome Coronavirus,subgenus Merbecovirus,Middle East Respiratory Syndrome (MERS),FALSE,FALSE,6,1335626; 3433633,middle east respiratory syndrome-related coronavirus; betacoronavirus cameli,coronaviridae,PREDICT; GenBank,msl39_viral_name,subgenus Merbecovirus,Middle East Respiratory Syndrome (MERS),manual,NA,2
Coronaviridae,High,SARS-like bat sarbecoviruses,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,Severe Acute Respiratory Syndrome (SARS); COVID-19,FALSE,FALSE,7,694009; 3418604,severe acute respiratory syndrome-related coronavirus; betacoronavirus pandemicum,coronaviridae,PREDICT; GenBank; Shaw; EID2; HP3,msl39_viral_name,subgenus Sarbecovirus,Severe Acute Respiratory Syndrome (SARS); COVID-19,manual,NA,3
Coronaviridae,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,Severe Acute Respiratory Syndrome (SARS); COVID-19,FALSE,FALSE,8,694009; 3418604,severe acute respiratory syndrome-related coronavirus; betacoronavirus pandemicum,coronaviridae,PREDICT; GenBank; Shaw; EID2; HP3,msl39_viral_name,subgenus Sarbecovirus,Severe Acute Respiratory Syndrome (SARS); COVID-19,manual,NA,3
Coronaviridae,High,Severe acute respiratory syndrome-related coronavirus (SARS-CoV-1),Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,Severe Acute Respiratory Syndrome (SARS); COVID-19,FALSE,FALSE,9,694009; 3418604,severe acute respiratory syndrome-related coronavirus; betacoronavirus pandemicum,coronaviridae,PREDICT; GenBank; Shaw; EID2; HP3,msl39_viral_name,subgenus Sarbecovirus,Severe Acute Respiratory Syndrome (SARS); COVID-19,manual,NA,3
Filoviridae,High,Orthoebolavirus zairense,Ebola virus,Orthoebolavirus zairense,Ebola virus disease,TRUE,TRUE,10,186538; 3052462,orthoebolavirus zairense,filoviridae,EID2; HP3; Shaw; GMPD2; GenBank,Pathogens; msl39_viral_name,Orthoebolavirus zairense,Ebola virus disease,exact,NA,4
Filoviridae,High,Orthomarburgvirus marburgense,Marburg virus,Orthomarburgvirus marburgense,Marburg virus disease,TRUE,TRUE,11,3052505,orthomarburgvirus marburgense,filoviridae,HP3; Shaw; EID2; GMPD2; GenBank,Pathogens; msl39_viral_name,Orthomarburgvirus marburgense,Marburg virus disease,exact,NA,2
Filoviridae,High,Orthoebolavirus sudanense,Sudan ebolavirus,Orthoebolavirus sudanense,Sudan virus disease (Ebola virus disease),TRUE,FALSE,12,186540; 3052460,orthoebolavirus sudanense,filoviridae,EID2; HP3; Shaw; GenBank,Pathogens; msl39_viral_name,Orthoebolavirus sudanense,Sudan virus disease (Ebola virus disease),exact,NA,4
Flaviviridae,High,Orthoflavivirus denguei,Dengue virus,Orthoflavivirus denguei,Dengue,TRUE,FALSE,13,12637; 3052464,orthoflavivirus denguei; dengue virus,flaviviridae,HP3; Shaw; EID2; GMPD2; GenBank; PREDICT,Pathogens; msl39_viral_name; previous_name,Orthoflavivirus denguei; Dengue virus,Dengue,exact,NA,5
Flaviviridae,High,Orthoflavivirus encephalitidis,Tick-borne encephalitis virus,Orthoflavivirus encephalitidis,Tick-borne encephalitis,FALSE,FALSE,14,11084; 3052465,orthoflavivirus encephalitidis,flaviviridae,Shaw; GMPD2; EID2; HP3; GenBank,Pathogens; msl39_viral_name,Orthoflavivirus encephalitidis,Tick-borne encephalitis,exact,NA,4
Flaviviridae,High,Orthoflavivirus nilense,West Nile virus,Orthoflavivirus nilense,West Nile fever,TRUE,TRUE,15,11082; 3048448,orthoflavivirus nilense; west nile virus,flaviviridae,EID2; Shaw; HP3; GMPD2; GenBank; PREDICT,Pathogens; msl39_viral_name; previous_name,Orthoflavivirus nilense; West Nile virus,West Nile fever,exact,NA,5
Flaviviridae,High,Orthoflavivirus flavi,Yellow fever virus,Orthoflavivirus flavi,Yellow fever,TRUE,FALSE,16,11089; 3046277,orthoflavivirus flavi; yellow fever virus,flaviviridae,GMPD2; EID2; HP3; Shaw; GenBank; PREDICT,Pathogens; msl39_viral_name; previous_name,Orthoflavivirus flavi; Yellow fever virus,Yellow fever,exact,NA,5
Flaviviridae,High,Orthoflavivirus zikaense,Zika virus,Orthoflavivirus zikaense,Zika virus disease,TRUE,FALSE,17,3048459; 64320,orthoflavivirus zikaense; zika virus,flaviviridae,GenBank; HP3; EID2; Shaw; GMPD2; PREDICT,Pathogens; msl39_viral_name; previous_name,Orthoflavivirus zikaense; Zika virus,Zika virus disease,exact,NA,5
Hantaviridae,High,Orthohantavirus sinnombreense,Sinnombre virus,Orthohantavirus sinnombreense,Hantavirus pulmonary syndrome,FALSE,FALSE,18,3052499; 44755,orthohantavirus sinnombreense,hantaviridae,Shaw; HP3; EID2; GenBank; EID2; HP3; Shaw,Pathogens; msl39_viral_name,Orthohantavirus sinnombreense,Hantavirus pulmonary syndrome,exact,NA,4
Hantaviridae,High,Orthohantavirus hantanense,Hantaan orthohantavirus,Orthohantavirus hantanense,Hemorrhagic fever with renal syndrome (Hantaan virus),TRUE,FALSE,19,3052480,orthohantavirus hantanense,hantaviridae,EID2; HP3; Shaw; GenBank,Pathogens; msl39_viral_name,Orthohantavirus hantanense,Hemorrhagic fever with renal syndrome (Hantaan virus),exact,NA,2
Hepeviridae,Low,Paslahepevirus balayani genotype 3,Hepatitis E virus,Paslahepevirus balayani,Hepatitis E,FALSE,FALSE,20,1678143,paslahepevirus balayani,hepeviridae,EID2; Shaw; HP3; GMPD2; GenBank,msl39_viral_name,Paslahepevirus balayani,Hepatitis E,exact,NA,1
Nairoviridae,High,Orthonairovirus haemorrhagiae,NA,NA,Crimean-Congo hemorrhagic fever,TRUE,TRUE,21,3052518,orthonairovirus haemorrhagiae,nairoviridae,Shaw; GMPD2; HP3; EID2; GenBank,Pathogens,Orthonairovirus haemorrhagiae,Crimean-Congo hemorrhagic fever,exact,NA,1
Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H5N1),Influenza A,Alphainfluenzavirus influenzae,Influenza (H5N1 avian influenza),TRUE,TRUE,22,11320; 2955291,alphainfluenzavirus influenzae,orthomyxoviridae,Shaw; EID2; GMPD2; HP3; GenBank,msl39_viral_name,Alphainfluenzavirus influenzae,Influenza (H5N1 avian influenza),exact,NA,2
Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H7N9),Influenza A,Alphainfluenzavirus influenzae,Influenza (H7N9 avian influenza),FALSE,FALSE,23,11320; 2955291,alphainfluenzavirus influenzae,orthomyxoviridae,Shaw; EID2; GMPD2; HP3; GenBank,msl39_viral_name,Alphainfluenzavirus influenzae,Influenza (H7N9 avian influenza),exact,NA,2
Paramyxoviridae,High,Henipavirus nipahense,Nipah virus,Henipavirus nipahense,Nipah virus disease,TRUE,TRUE,24,3052225,henipavirus nipahense,paramyxoviridae,Shaw; EID2; HP3; GenBank,Pathogens; msl39_viral_name,Henipavirus nipahense,Nipah virus disease,exact,NA,2
Peribunyaviridae,Low,Orthobunyavirus oropoucheense,Oropouche virus,Orthobunyavirus oropoucheense,Oropouche fever,TRUE,TRUE,25,3052429,orthobunyavirus oropoucheense,peribunyaviridae,HP3; EID2; Shaw; GenBank,Pathogens; msl39_viral_name,Orthobunyavirus oropoucheense,Oropouche fever,exact,NA,2
Phenuiviridae,High,Phlebovirus riftense,Rift Valley Fever virus,Phlebovirus riftense,Rift Valley fever,TRUE,TRUE,26,3052676,phlebovirus riftense,phenuiviridae,Shaw; GMPD2; HP3; EID2; GenBank,Pathogens; msl39_viral_name,Phlebovirus riftense,Rift Valley fever,exact,NA,2
Phenuiviridae,High,Bandavirus dabieense,SFTS virus,Bandavirus dabieense,Severe fever with thrombocytopenia syndrome (SFTS),FALSE,FALSE,27,1933190; 2748958,bandavirus dabieense,phenuiviridae,Shaw; GenBank,Pathogens; msl39_viral_name,Bandavirus dabieense,Severe fever with thrombocytopenia syndrome (SFTS),exact,NA,4
Poxviridae,High,Orthopoxvirus monkeypox,Monkeypox virus,Orthopoxvirus monkeypox,Mpox (Monkeypox),TRUE,TRUE,28,10244; 3431483,orthopoxvirus monkeypox; monkeypox virus,poxviridae,GMPD2; Shaw; EID2; HP3; GenBank; PREDICT,Pathogens; msl39_viral_name; previous_name,Orthopoxvirus monkeypox; Monkeypox virus,Mpox (Monkeypox),exact,NA,5
Rhabdoviridae,Low,Vesicular stomatitis Indiana virus,Genus Vesiculovirus,Genus Vesiculovirus,Vesicular stomatitis,FALSE,TRUE,29,11276,vesicular stomatitis virus,rhabdoviridae,EID2; GenBank,Pathogens,Vesicular stomatitis Indiana virus,Vesicular stomatitis,fuzzy,0.091,1
Rhabdoviridae,Low,Vesicular stomatitis New Jersey virus,Genus Vesiculovirus,Genus Vesiculovirus,Vesicular stomatitis,FALSE,TRUE,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Togaviridae,High,Alphavirus chikungunya,Chikungunya virus,Alphavirus chikungunya,Chikungunya fever,TRUE,FALSE,31,3426298; 37124,alphavirus chikungunya; chikungunya virus,togaviridae,GenBank; Shaw; GMPD2; HP3; EID2; PREDICT,Pathogens; msl39_viral_name; previous_name,Alphavirus chikungunya; Chikungunya virus,Chikungunya fever,exact,NA,5
