Family,PHEIC risk,Pathogens,is_priority_pathogen,is_prototype_pathogen,priority_prototype_status,region_africa,region_americas,region_europe,region_mediterranean,region_se_asia,region_western_pacific,previous_name,msl39_viral_name
Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H10N1),TRUE,FALSE,priority,priority,priority,priority,priority,priority,none,Influenza A,Alphainfluenzavirus influenzae
Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H10Nx),TRUE,FALSE,priority,none,none,none,none,none,priority,Influenza A,Alphainfluenzavirus influenzae
Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H1N1),TRUE,TRUE,both,both,both,both,both,both,both,Influenza A,Alphainfluenzavirus influenzae
Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H2N1),TRUE,FALSE,priority,priority,priority,priority,priority,priority,none,Influenza A,Alphainfluenzavirus influenzae
Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H2Nx),TRUE,FALSE,priority,none,none,none,none,none,priority,Influenza A,Alphainfluenzavirus influenzae
Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H3N1),TRUE,FALSE,priority,priority,priority,priority,priority,priority,none,Influenza A,Alphainfluenzavirus influenzae
Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H3N2),TRUE,FALSE,priority,none,none,none,none,none,priority,Influenza A,Alphainfluenzavirus influenzae
Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H5N1),TRUE,TRUE,both,both,both,both,both,both,none,Influenza A,Alphainfluenzavirus influenzae
Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H5Nx),TRUE,TRUE,both,none,none,none,none,none,both,Influenza A,Alphainfluenzavirus influenzae
Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H6N1),TRUE,FALSE,priority,priority,priority,priority,priority,priority,none,Influenza A,Alphainfluenzavirus influenzae
Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H6Nx),TRUE,FALSE,priority,none,none,none,none,none,priority,Influenza A,Alphainfluenzavirus influenzae
Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H7N1),TRUE,FALSE,priority,priority,priority,priority,priority,priority,none,Influenza A,Alphainfluenzavirus influenzae
